WLTW,20180119,130,0.30,-3
WLTW,20180119,125,0.25,-1
MDT,20180216,70,0.24,-1
NKE,20180105,50,0.3,-2
PM,20171222,96,0.15,-3
PM,20171222,97,0.1,-1
PM,20171222,97.5,0.1,-1
TXN,20180112,85,0.2,-3
CSCO,20180216,34,0.22,-2
BLK,20180119,460,1.28,-1
NVDA,20180216,140,0.65,-2
TIF,20180216,82.5,0.6,-2
TIF,20180216,80,0.42,-1
TDG,20180119,230,0.64,-2
TIF,20180119,80,0.2,-1
TDG,20180119,228,0.54,-1
CAT,20180216,125,0.82,-2
TXN,20180126,85,0.35,-1
CAT,20180126,125,0.38,-1
CPB,20180216,44,0.43,-1
EBAY,20180216,32,0.18,-1
T,20180216,33,0.16,-1
AAPL,20180216,145,0.7,-1
ADP,20180216,105,0.52,-1
RTN,20180216,165,0.71,-1
CSCO,20180216,33,0.14,-1
CPB,20180216,43,0.31,-1
EBAY,20180216,31,0.12,-1
NVDA,20180216,135,0.48,-1
IBM,20180216,135,0.53,-1
GLW,20180216,28,0.11,-1
RHT,20171229,95,0.14,-1
