Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;152.5;11976.3;-1;-1;-1;-1;-1.0002343051817;0.0234305181699315;-42.689380487765;0.9999;2.34305181699315;-0.0651438890176203;-2.37938054636858
20180706;155;12177.28;0.01;0.04;0.06;0.019;0.0185156948183007;0.0484305181699315;0.382314613139867;0.9999;4.84305181699315;0.00118599900456215;0.0433186136416324
20180706;157.5;12381.2;-1;-1;-1;-1;-1.00081930086021;0.0739199486900796;-13.5392315416275;0.9998;4.09650430105749;-0.0630503549470944;-2.30291421444262
20180706;160;12590.32;-1;-1;-1;-1;-1.00166641664558;0.106060817373848;-9.44426454036141;0.9994;2.77736107596956;-0.0620555954879267;-2.26658062519652
20180706;162.5;12802.37;0.05;0.08;0.12;0.059;0.0554590390411883;0.153802449677498;0.360586188044976;0.9989;3.21905541710153;0.0033789095653482;0.123414671874343
20180706;165;13012.79;-1;-1;-1;-1;-1.00690628838547;0.221715743567465;-4.54142891336483;0.9983;4.06252257968819;-0.0603549972711975;-2.20446627533049
20180706;167.5;14557.99;-1;-1;-1;-1;-1.0133673026244;0.312759538587848;-3.24008440222124;0.9964;3.7131396178884;-0.0542950294681498;-1.98312595132417
20180706;170;16536.23;-1;-1;-1;-1;-1.0267196723808;0.439486954581074;-2.33617781296713;0.9923;3.47008732218158;-0.0484294996173265;-1.76888747352285
20180706;172.5;18529.26;-1;-1;-1;-1;-1.05252937396056;0.619257446684543;-1.69966365296973;0.9859;3.72548751493303;-0.0443068374931991;-1.6183072394391
20180706;175;20539.56;0.2;0.22;0.66;0.206;0.103047039614625;0.865824827027745;0.119016036960238;0.972;3.67689144233481;0.00391326254795175;0.142931914563938
20180706;177.5;22596.16;0.31;0.33;1.05;0.316;0.111110483824107;1.20778931311732;0.0919949221419498;0.9437;3.63924540276897;0.00383543829494937;0.140089383723026
20180706;180;24732.94;0.53;0.55;1.69;0.536;0.131524888366386;1.67469399602353;0.0785366691937063;0.8896;3.66372383726099;0.00414788589329782;0.151501532252703
20180713;152.5;12015.43;0.04;0.08;0.09;0.052;0.0462206303085067;0.255352965767404;0.181006827822036;0.9993;8.25624241641897;0.00300048284918935;0.0644662565097889
20180713;155;12214.6;0.05;0.1;0.11;0.065;0.0574109329528918;0.313833967511388;0.182934095401284;0.9992;9.48633380888529;0.00366614770055962;0.078768261625259
20180713;157.5;12419.81;-1;-1;-1;-1;-1.01000547523884;0.376851566665093;-2.68011483719379;0.9987;7.69651941449363;-0.0634312659119823;-1.36283940437362
20180713;160;12630.07;-1;-1;-1;-1;-1.01417394574578;0.448988463070272;-2.25879733926938;0.9978;6.44270261171839;-0.0626327231505216;-1.34568247827812
20180713;162.5;12842.58;-1;-1;-1;-1;-1.0210299136082;0.536661673618952;-1.90255791274032;0.9964;5.84164266894513;-0.0620127211677403;-1.33236155332454
20180713;165;13062.41;-1;-1;-1;-1;-1.03388498212119;0.64894567002088;-1.59317648592666;0.993;4.84071173159824;-0.0617367152045087;-1.32643148402628
20180713;167.5;14619.51;-1;-1;-1;-1;-1.05656013595101;0.800042195227395;-1.32063051455768;0.9883;4.83419965393255;-0.0563710347365807;-1.21114826103153
20180713;170;16626.68;0.22;0.25;0.55;0.229;0.134105668545527;1.00200530979034;0.133837283330951;0.98;4.74471657272363;0.00629123922908911;0.135169125201459
20180713;172.5;18655.44;0.3;0.33;0.77;0.309;0.149982348014223;1.26848955304414;0.118236959582594;0.9662;4.70466425993422;0.00627089103505971;0.134731938267974
20180713;175;20728.33;0.44;0.47;1.11;0.449;0.181907557041438;1.6145385837773;0.112668448353743;0.9448;4.83863121301743;0.00684511943279182;0.147069404283954
20180713;177.5;22862.99;0.65;0.67;1.61;0.656;0.208669012149893;2.05580276640668;0.101502447394126;0.9078;4.85174607212697;0.00711900890814879;0.152954000217726
20180713;180;25101.56;0.99;1.02;2.35;0.999;0.258697534827723;2.60583152163043;0.0992763855530691;0.8549;5.10201561111149;0.00803870664475133;0.172713976587966
20180720;2.5;1962.23;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238504150889549;0.0362973504635033
20180720;5;1962.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238502935420744;0.0362971654843444
20180720;7.5;1962.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238502935420744;0.0362971654843444
20180720;10;1962.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238502935420744;0.0362971654843444
20180720;12.5;1962.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238502935420744;0.0362971654843444
20180720;15;1962.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238502935420744;0.0362971654843444
20180720;17.5;1962.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238502935420744;0.0362971654843444
20180720;20;1962.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238502935420744;0.0362971654843444
20180720;22.5;1962.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238502935420744;0.0362971654843444
20180720;25;1962.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238502935420744;0.0362971654843444
20180720;30;2354.68;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00198753121443253;0.0302477406696451
20180720;35;2747.12;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00170360231806401;0.0259266977780366
20180720;40;3139.57;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00149064999347044;0.0226858295881283
20180720;45;3532.01;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00132502456108561;0.0201652175390217
20180720;50;3924.45;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00119252379314299;0.0181487214768949
20180720;55;4316.9;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00108411128355996;0.0164988185966782
20180720;60;4709.34;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000993769827619157;0.015123934564079
20180720;65;5101.78;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000917326893750809;0.0139605686642701
20180720;70;5494.22;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000851804259749337;0.0129633960780602
20180720;75;5886.67;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000795016537363229;0.0120991579279966
20180720;80;6279.11;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000745328557709612;0.0113429689876432
20180720;85;6671.55;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000701486161386784;0.0106757425186051
20180720;90;7064.47;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000662470079142526;0.0100819665169503
20180720;95;7456.82;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000627613379429837;0.00955149111819784
20180720;100;7849.86;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000596188976618691;0.00907325098791571
20180720;105;8242.26;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000567805432005299;0.00864128891833065
20180720;110;8635.21;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000541967132241138;0.00824806229379482
20180720;115;9027.93;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.000518391259125846;0.00788926697482147
20180720;120;9423.32;0.01;0.02;0.01;0.013;0.013;0;∞;1;0;0.00107605387485515;0.0163761949079518
20180720;125;9820.25;0.02;0.03;0.02;0.023;0.023;0;∞;1;0;0.00182683740230646;0.0278021817163514
20180720;130;10220.66;0.02;0.04;0.04;0.026;0.026;0;∞;1;0;0.00198421628348854;0.0301972915643412
20180720;135;10617.6;0.02;0.05;0.05;0.029;0.029;0;∞;1;0;0.00213042495479204;0.0324224047807414
20180720;140;11016.93;0.02;0.06;0.05;0.032;0.0315552738285951;0.0444726171404861;0.709543891444799;0.9999;4.44726171404861;0.00223411727099148;0.0340004722179016
20180720;145;11421.19;0.04;0.08;0.08;0.052;0.0508026072740221;0.0970625952974767;0.523400462539897;0.9997;3.99130908659286;0.00346951882192112;0.052801739571112
