Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;125;9839.48;0.05;0.1;0.05;0.065;0.065;0;∞;1;0;0.00515271132214304;0.188202781041275
20180706;130;10321.35;0.05;0.15;0.15;0.08;0.08;0;∞;1;0;0.00604572076327225;0.220819950878519
20180706;135;10792.2;0.1;0.25;0.25;0.145;0.145;0;∞;1;0;0.0104797909601379;0.382774364819036
20180706;138;11088.03;0.2;0.3;0.35;0.23;0.23;0;∞;1;0;0.0161796099036529;0.590960251730921
20180706;139;11204.97;0.2;0.3;0.4;0.23;0.23;0;∞;1;0;0.0160107523714923;0.584792730368756
20180706;140;11567.67;0.2;0.35;0.4;0.245;0.24493599221351;0.00640077864899325;38.2665931202034;0.9999;0.640077864899325;0.0165158648134445;0.603241962311061
20180706;141;12393.6;0.25;0.4;0.5;0.295;0.294590609069507;0.0205745736770643;14.3181877638565;0.9994;0.68231821748905;0.0185402687737393;0.677183316960827
20180706;142;13219.54;0.25;0.4;0.55;0.295;0.293923508397681;0.0432053816867973;6.8029374333128;0.9992;1.34561450289908;0.0173425351071362;0.633436094788149
20180706;143;14047.99;0.25;0.45;0.6;0.31;0.307759907914602;0.0713717509593356;4.31206890370322;0.9986;1.60006577528452;0.0170880480533791;0.624140955149672
20180706;144;14704.93;0.3;0.5;0.65;0.36;0.356125277893953;0.105398416703405;3.37884845932841;0.9981;2.0393274242351;0.0188901080628934;0.689961196997183
20180706;145;15538.91;-1;-1;-1;-1;-1.00628816119185;0.145359747006213;-6.92274293205005;0.9973;2.32894858957319;-0.0505122151894593;-1.844958659795
20180706;146;16383.18;-1;-1;-1;-1;-1.00999341509719;0.192398969772942;-5.24947413330293;0.9954;2.17248154286766;-0.0480855892308947;-1.75632614665843
20180706;147;17240.67;-1;-1;-1;-1;-1.01591356879539;0.249967284477621;-4.06418612306982;0.9934;2.4111467871807;-0.0459618207216081;-1.67875550185673
20180706;148;18098.46;0.7;0.85;1.05;0.745;0.720769059748853;0.318726813615632;2.26140076378407;0.9896;2.32989810107181;0.0310634090748111;1.13459101645748
20180706;149;18995.7;0.8;0.95;1.2;0.845;0.807977999389408;0.401418917466672;2.01280498808702;0.9843;2.35808921086572;0.0331771316415683;1.21179473320828
20180706;150;19885.55;0.95;1.1;1.4;0.995;0.938062801741916;0.501831254275848;1.86927935187209;0.9756;2.33349173188867;0.0367950087052505;1.34393769295928
20180706;152.5;22267.66;1.4;1.55;2;1.445;1.27829043084048;0.858544189937144;1.48890464325904;0.9274;2.29627505729363;0.0447764397361724;1.6354594613637
20180706;155;24791.06;2.15;2.3;2.85;2.195;1.70686328791425;1.42484052835282;1.19793285911614;0.7984;2.42131305598091;0.0537029624619969;1.96150070392444
20180713;125;9871.73;0.05;0.15;0.1;0.08;0.0799742538283637;0.00257461716363551;31.0625808597638;0.9999;0.257461716363551;0.0063190462042746;0.135766566241841
20180713;130;10313.74;0.1;0.2;0.2;0.13;0.129330753194441;0.0544964566220362;2.37319563896462;0.9998;3.34623402779663;0.00978093179502913;0.210146196360846
20180713;135;10852.09;0.2;0.3;0.35;0.23;0.227359970100798;0.13039024885234;1.74368844374453;0.9992;3.3000373740028;0.016341624210509;0.351104602522847
20180713;139;11283.65;0.3;0.4;0.5;0.33;0.320325909315581;0.246859050536038;1.29760650306324;0.9969;3.12067441432876;0.0221430307804791;0.475749528974706
20180713;140;11666.83;0.35;0.45;0.55;0.38;0.366935188042356;0.288988681571926;1.26972165846236;0.9962;3.43810840990623;0.0245318948397326;0.527074975894844
20180713;141;12490.58;0.4;0.5;0.55;0.43;0.412711283239924;0.337082383091324;1.22436325344274;0.9954;3.75841668697308;0.0257726063102867;0.553732026754836
20180713;142;13337.08;0.45;0.55;0.65;0.48;0.45746542788736;0.391172941564948;1.16947104280066;0.9941;3.81941900214236;0.0267542095985134;0.574822062109236
20180713;143;14183.66;0.5;0.6;0.75;0.53;0.500835730960153;0.451778651765448;1.1085865367985;0.9926;3.94111743781715;0.0275423882234148;0.591756311682485
20180713;144;15030.24;0.55;0.65;0.8;0.58;0.542409150815369;0.519526243764756;1.04404571920138;0.9904;3.91571345673242;0.0281485284091264;0.604779411849024
20180713;145;15876.9;0.6;0.75;0.9;0.645;0.596763958631297;0.595404638020657;1.00228301985547;0.9883;4.12273857852159;0.0293178068598034;0.629901703267246
20180713;146;16723.56;0.7;0.85;0.95;0.745;0.683277404208028;0.67995233418287;1.00489015164446;0.984;3.85766223699828;0.0318685958780464;0.684706155556261
20180713;147;17625.56;0.8;0.9;1.1;0.83;0.749332395664601;0.775342381421562;0.966453548290146;0.9786;3.76951422128034;0.0331608906961474;0.712471489809874
20180713;148;18527.63;0.9;1.05;1.25;0.945;0.83914152314587;0.884192953287438;0.949047965182185;0.9709;3.63774834550274;0.0353272592368143;0.75901655507332
20180713;149;19432.69;1.05;1.2;1.4;1.095;0.956107391748382;1.00853906749043;0.948012251154022;0.9622;3.67440762570418;0.0383767643884474;0.824536070169436
20180713;150;20368.98;1.2;1.35;1.6;1.245;1.06158470908729;1.15004309444302;0.923082547268743;0.9469;3.45414860475917;0.0406518182593377;0.873416271719006
20180713;152.5;22791.63;1.7;1.85;2.2;1.745;1.3599775776072;1.60147720141874;0.849201959542354;0.885;3.34802106428526;0.0465426347537939;0.999982196695484
20180713;155;25414.17;2.45;2.6;3.05;2.495;1.69149587291483;2.21740601157609;0.762826412521785;0.7711;3.51028452199726;0.0519146122369357;1.11540071291416
20180720;110;8638.7;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00270874089851482;0.0412236505492725
20180720;115;9043.03;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00258762826176624;0.039380467608755
20180720;120;9470.56;0.05;0.15;0.05;0.08;0.0791597625405598;0.0594302916075683;1.3319766805667;0.9998;4.2011872972009;0.00651963714728978;0.0992207278353163
20180720;125;9888.48;0.05;0.2;0.2;0.095;0.0928687044745237;0.133120306937952;0.697629885407419;0.9995;4.26259105095255;0.00732545239411199;0.111484228622892
20180720;130;10335.83;0.05;0.3;0.25;0.125;0.11853148729116;0.240083704990735;0.493709005764194;0.9988;5.39042725736672;0.00894505425177318;0.136132544394173
20180720;135;10798.42;0.15;0.4;0.35;0.225;0.209917904936511;0.400467945188805;0.524181541764955;0.9975;6.03283802539541;0.0151629558630317;0.230761234540514
20180720;140;11580.12;0.35;0.55;0.6;0.41;0.3727500708537;0.632199432397821;0.589608360513588;0.9926;5.03377420895939;0.0251072575470622;0.382101075794353
20180720;145;15779.61;0.65;0.9;1;0.725;0.617664274757912;1.02421199383606;0.603062919078429;0.9775;4.77047667742614;0.0305316883187336;0.464654131600726
20180720;148;18411.56;0.95;1.25;1.5;1.04;0.837006194185043;1.38485046384596;0.604401858566403;0.9551;4.52102017405249;0.0354595064983268;0.539649364521411
20180720;149;19320.25;1.1;1.4;1.65;1.19;0.935568841361254;1.53275883980828;0.610382283933378;0.9413;4.33443200406721;0.0377709240957947;0.574826251082876
20180720;150;20248.46;1.3;1.55;1.8;1.375;1.05320364800572;1.698164592043;0.620201158910428;0.9235;4.20648826136309;0.0405709296136331;0.617438835057478
20180720;152.5;22658.62;1.9;2.05;2.5;1.945;1.3659544304734;2.20041897505011;0.62077015603008;0.8622;4.20207234779823;0.0470215951266783;0.715609900834135
20180720;155;25231.63;2.65;2.85;3.35;2.71;1.66863224901294;2.83490114001327;0.588603329217021;0.7599;4.33722511864664;0.0515833956914434;0.785034803179155
20180727;125;9987.88;-1;-1;-1;-1;-1.00389418068205;0.198938297400714;-5.04625903508132;0.9993;5.56311526006654;-0.0783987653968606;-0.923714485845269
20180727;130;10458.89;-1;-1;-1;-1;-1.00954132403207;0.318655675534578;-3.16812597904764;0.9978;4.33696546912386;-0.075289273789572;-0.887077653278747
20180727;135;10988.69;-1;-1;-1;-1;-1.02693748309048;0.520353361306569;-1.97353867478038;0.9951;5.49744552866962;-0.0728941517879361;-0.858857707759473
20180727;140;11822.95;-1;-1;-1;-1;-1.06635427871239;0.840547290104246;-1.26864281316063;0.9884;5.7201964407237;-0.0703509984729419;-0.828893619104581
20180727;141;12664.9;0.6;0.75;0.8;0.645;0.565594789777517;0.921954689678287;0.613473521106421;0.9857;5.55281190367017;0.0348335901607169;0.410418348587156
20180727;142;13506.85;0.65;0.8;0.9;0.695;0.599842856634896;1.01065198517464;0.593520683117487;0.983;5.59747902147668;0.0346400106742297;0.408137545121367
20180727;143;14378.47;0.75;0.85;1;0.78;0.666227259312535;1.10723078221612;0.601705868381913;0.9798;5.63231389541908;0.0361413462116468;0.425826667864645
20180727;144;15250.09;0.8;0.95;1.1;0.845;0.709123660609713;1.21221106738311;0.584983654818919;0.9759;5.63802238133972;0.0362697174426889;0.427339170836843
20180727;145;15956.18;0.9;1.05;1.2;0.945;0.782115550256556;1.3263139226723;0.589691125823911;0.9697;5.37572441397506;0.0382328432745252;0.450469226000656
20180727;146;16836.86;1.05;1.15;1.35;1.08;0.883468084613336;1.45100008058482;0.608868391142515;0.9628;5.28311600501784;0.0409283622954875;0.482228526723446
20180727;147;17718.8;1.15;1.3;1.5;1.195;0.957554865029622;1.58752412835867;0.603174999311431;0.9544;5.20713015285917;0.0421525608237073;0.496652349705132
20180727;148;18608.43;1.25;1.45;1.65;1.31;1.02064874921943;1.73721357420248;0.587520592963355;0.9427;5.04976004852652;0.0427820092501708;0.504068673504029
20180727;149;19530.36;1.4;1.6;1.85;1.46;1.10768252951565;1.90189320170698;0.58241047842302;0.9306;5.07662061216638;0.0442384253553037;0.521228543904022
20180727;150;20454.61;1.6;1.75;2.1;1.645;1.21662063937377;2.08235555078283;0.584252117231566;0.9164;5.12415503141425;0.0463936539837005;0.546622003791826
20180727;152.5;22868.7;-1;-1;-1;-1;-1.70618500590049;2.60689995657679;-0.654488102466707;0.8579;4.96963410204424;-0.0581941389148653;-0.685658362537243
20180727;155;25432.92;-1;-1;-1;-1;-2.17210415066863;3.24347920486344;-0.669683390419665;0.765;4.98767723688779;-0.0666160723000557;-0.784887755083721
20180803;125;10026.97;0.15;0.25;0.3;0.18;0.174274232183242;0.198746484106964;0.876866994484535;0.9986;4.08983415482705;0.0135568273469382;0.130306083907084
20180803;130;10498.06;0.25;0.35;0.4;0.28;0.264108667802477;0.377879992204904;0.698922073808196;0.9974;6.11205084520133;0.0196231266430113;0.188614394904208
20180803;135;11029.9;0.4;0.5;0.55;0.43;0.393585295919841;0.624961006912683;0.629775764513947;0.9938;5.8733393677675;0.0278331200480037;0.267527555198246
20180803;140;11935.74;0.65;0.8;0.85;0.695;0.609378164310603;0.979189585668792;0.622329090535;0.9853;5.82461467274812;0.039822831945256;0.38277077284223
20180803;141;12770.15;0.7;0.85;0.95;0.745;0.642857128902351;1.06905119076141;0.60133428076956;0.9813;5.46218562019512;0.0392656750738115;0.377415468966044
20180803;142;13630;0.8;0.9;1.05;0.83;0.707074944332415;1.16728765240885;0.605741817685876;0.9771;5.36790636102991;0.0404635698150612;0.38892944407766
20180803;143;14494.63;0.85;1;1.15;0.895;0.747040403762298;1.27512241957638;0.585857790823316;0.9725;5.38034895409826;0.0402005097704869;0.386400952465009
20180803;144;15364.13;0.95;1.1;1.25;0.995;0.816417441357963;1.39334254932589;0.585941656452646;0.966;5.25242819535402;0.0414475537670673;0.398387342458456
20180803;145;16245.25;1.05;1.2;1.35;1.095;0.87842861083818;1.52326677239766;0.576674176024669;0.9582;5.18113371200527;0.0421769019531112;0.40539772206247
20180803;146;17126.45;1.15;1.3;1.5;1.195;0.931176539152466;1.66622944888575;0.558852527648679;0.9474;5.01565514919266;0.042409121594897;0.407629780593056
20180803;147;18028.52;1.25;1.45;1.65;1.31;0.989085611710754;1.82377426285322;0.542328966833523;0.9371;5.10197755626781;0.042792574051247;0.411315465058368
20180803;148;18951.71;1.4;1.6;1.8;1.46;1.06988363796644;1.99645334397225;0.535892131512445;0.924;5.13311002675739;0.0440334533197174;0.4232426006586
20180803;149;19889.41;1.55;1.8;2;1.625;1.15061877445616;2.18511141772865;0.526572130428107;0.9076;5.13399594744421;0.0451236433899146;0.433721335478061
20180803;150;20611.67;1.75;1.95;2.2;1.81;1.23537349257156;2.39076190543799;0.516727947589258;0.8906;5.25252749020515;0.0467497938888898;0.449351637313606
20180803;152.5;23043.03;2.3;2.55;2.9;2.375;1.45778293177898;2.97849705285564;0.489435747596704;0.8304;5.40811950602016;0.0493455368841513;0.474301509129902
20180803;155;25625.84;3.1;3.4;3.75;3.19;1.75153840553792;3.66658534646419;0.477702887027296;0.7473;5.69236879486379;0.0533133726082571;0.512439719609629
20180817;90;7065.8;-1;0.15;-1;0.045;0.045;0;∞;1;0;0.00496759036485607;0.0348925457839169
20180817;95;7462.83;0.05;0.15;0.05;0.08;0.08;0;∞;1;0;0.00836143929313679;0.0587310711888117
20180817;100;7867.33;0.05;0.15;0.05;0.08;0.08;0;∞;1;0;0.00793153458670222;0.055711403996019
20180817;105;8279.46;-1;-1;-1;-1;-1.00010134364434;0.0101343644343174;-98.6841700953398;0.9999;1.01343644343174;-0.0942185901064306;-0.661795000699496
20180817;110;8710;-1;-1;-1;-1;-1.00060134364434;0.0601343644343174;-16.6394266083458;0.9999;6.01343644343174;-0.0896060904756128;-0.6293966258888
