Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;190;14946.32;0.03;0.09;0.1;0.048;0.0476775115150189;0.0322488484981099;1.47842523796821;0.9999;3.22488484981099;0.00248813480386575;0.0908791237111965
20180706;195;15348.82;0.15;0.11;0.15;0.138;0.137177511515019;0.0822488484981099;1.66783503988109;0.9999;8.22488484981099;0.00697111953763969;0.25462014111229
20180706;200;15761.09;0.07;0.12;0.19;0.085;0.0836307413988591;0.132331057006585;0.631981209027124;0.9998;6.84629300570467;0.00413879866754838;0.151169621332205
20180706;205;16175.72;0.08;0.15;0.24;0.101;0.0978453502053276;0.196573114148926;0.497755507557349;0.9994;5.25774965778737;0.00471814380813686;0.172330202592199
20180706;207.5;16383.5;0.1;0.23;0.26;0.139;0.133841095535601;0.2425555766168;0.551795581872145;0.999;5.15890446439912;0.00637202395811449;0.232738175070132
20180706;210;16591.81;0.12;0.56;0.28;0.252;0.243584070555622;0.303143368642882;0.803527623401771;0.9982;4.67551635798801;0.011451166270189;0.418253848018654
20180706;212.5;16807.75;-1;-1;-1;-1;-1.0136203046667;0.382232859996099;-2.65183978341643;0.9973;5.04455728396205;-0.047039243065849;-1.71810835298014
20180706;215;17022.42;-1;-1;-1;-1;-1.02209487043447;0.483125970359132;-2.11558668575547;0.9957;5.13834196150518;-0.0468343513401084;-1.71062468269746
20180706;217.5;18232.02;-1;-1;-1;-1;-1.03503709301706;0.611232790588514;-1.69335989324214;0.9937;5.56144333604188;-0.0442808274976283;-1.61735722435087
20180706;220;20229.07;-1;-1;-1;-1;-1.05465973738982;0.769849141455925;-1.36995637274501;0.9904;5.69372264477264;-0.0406659621605965;-1.48532426791579
20180706;222.5;22235.24;-1;-1;-1;-1;-1.08342806323512;0.963715767234985;-1.12421950544983;0.9857;5.83413029616216;-0.0380060610689785;-1.38817138054444
20180706;225;24262.71;0.34;0.43;0.89;0.367;0.238761781354949;1.20035106114603;0.198909959830412;0.9784;5.9369545669005;0.00767573735402436;0.28035630685574
20180706;227.5;26318.82;0.43;0.55;1.15;0.466;0.266456439728328;1.49103453728388;0.178705746289227;0.9656;5.80068489161836;0.00789685947121095;0.28843279218598
20180706;230;28408.91;0.58;0.72;1.49;0.622;0.314521885892108;1.84712964292473;0.170276021012849;0.9431;5.40383328836366;0.00863556789035004;0.315414117195035
20180706;232.5;30557.55;0.8;0.99;1.97;0.857;0.373473261334979;2.28482940449375;0.163457832169194;0.9132;5.57058454683204;0.00953313154494662;0.348197629679175
20180706;235;32792.07;1.09;1.28;2.62;1.147;0.39262815224843;2.81651801220522;0.139401967445974;0.8687;5.745406304277;0.00933914689599574;0.341112340376245
20180706;237.5;35146.6;1.51;1.83;3.44;1.606;0.439837332355717;3.44516892758718;0.127667856526198;0.7974;5.75598552637849;0.00976120362246873;0.35652796231067
20180713;195;15433.17;0.14;0.2;0.24;0.158;0.152778882629336;0.193082192656064;0.79126345380529;0.999;5.2211173706643;0.00772151984659547;0.165899124939353
