Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;1280;100549.97;0.01;0.39;0.25;0.124;0.124;0;∞;1;0;0.000961909784756773;0.0351337548882411
20180706;1290;101341.52;0.27;0.39;0.27;0.306;0.306;0;∞;1;0;0.00235520446111327;0.0860238429421623
20180706;1300;102131.1;0.28;0.54;0.28;0.358;0.358;0;∞;1;0;0.00273413289389814;0.0998642039496294
20180706;1310;102920.7;0.3;0.46;0.3;0.348;0.348;0;∞;1;0;0.00263737032492006;0.0963299511177052
20180706;1320;103711.61;0.31;0.58;0.31;0.391;0.391;0;∞;1;0;0.00294065437803926;0.107407401157884
20180706;1330;104504.61;0.01;0.51;0.33;0.16;0.16;0;∞;1;0;0.00119420569102167;0.0436183628645665
20180706;1340;105300.66;0.05;0.33;0.36;0.134;0.134;0;∞;1;0;0.000992586371253514;0.0362542172100346
20180706;1350;106096.4;0.43;0.66;0.43;0.499;0.499;0;∞;1;0;0.00366855048804672;0.133993806575906
20180706;1360;106905.11;0.5;0.69;0.5;0.557;0.557;0;∞;1;0;0.00406397785849526;0.148436791281539
20180706;1370;107717.73;0.57;0.74;0.57;0.621;0.621;0;∞;1;0;0.00449675276298526;0.164243894668037
20180706;1380;108531.51;0.27;0.5;0.64;0.339;0.339;0;∞;1;0;0.00243634314126837;0.0889874332348274
20180706;1390;109344.97;0.04;0.55;0.71;0.193;0.193;0;∞;1;0;0.00137674371303957;0.0502855641187702
20180706;1400;110177.76;0.25;0.37;0.78;0.286;0.286;0;∞;1;0;0.00202472803948819;0.073953191642306
20180706;1405;110594.04;0.26;0.62;0.81;0.368;0.368;0;∞;1;0;0.0025954382351888;0.0947983815402711
20180706;1410;111009.86;0.28;0.63;0.85;0.385;0.384444482749746;0.0405611258522072;9.47815117732552;0.9998;2.7775862512691;0.00270126182074999;0.0986635880028936
20180706;1415;111423.21;0.37;0.64;0.88;0.451;0.449051006305985;0.117244764006136;3.83003036521515;0.9997;6.49664564671525;0.00314350829525257;0.1148166404841
20180706;1420;111837.19;0.39;0.72;0.92;0.489;0.485551006305985;0.201818911650419;2.40587466424868;0.9997;11.4966456467153;0.0033864386696292;0.123689672408207
20180706;1425;112250.3;0.07;0.92;0.96;0.325;0.320051006305985;0.287597655088901;1.11284289229358;0.9997;16.4966456467153;0.00222395650540505;0.0812300113599195
20180706;1427.5;112456.54;-1;-1;-1;-1;-1.00569899369401;0.330646420147808;-3.04161464456334;0.9997;18.9966456467153;-0.00697554108530577;-0.254781638140793
20180706;1430;112662.54;0.42;0.67;1.01;0.495;0.488551006305985;0.373752523771385;1.30715105646971;0.9997;21.4966456467153;0.00338240008541143;0.123542163119652
20180706;1432.5;112873.29;-1;-1;-1;-1;-1.00719899369401;0.416898180398273;-2.41593521164284;0.9997;23.9966456467153;-0.00696015164509984;-0.254219538837272
20180706;1435;113086.21;0.44;0.71;1.05;0.521;0.513051006305985;0.460072262300494;1.11515309299583;0.9997;26.4966456467153;0.00353871426868642;0.129251538663771
20180706;1437.5;113298.81;-1;-1;-1;-1;-1.00886138209964;0.503526567929644;-2.00359116351652;0.9996;22.1534552490875;-0.00694545580873899;-0.253682773414192
20180706;1440;113511.09;0.46;0.72;1.09;0.538;0.528118367305205;0.548028806779416;0.963668991067791;0.9995;19.7632653895906;0.00362900511745645;0.132549411915097
20180706;1442.5;113723.06;-1;-1;-1;-1;-1.0111316326948;0.594009866220352;-1.70221353245959;0.9995;22.2632653895906;-0.00693511653223137;-0.253305131339751
20180706;1445;113934.72;0.48;0.75;1.15;0.561;0.548486828337894;0.641698633599321;0.854742085488639;0.9994;20.8552861035105;0.00375495482065131;0.137149724824289
20180706;1447.5;114146.11;-1;-1;-1;-1;-1.01401317166211;0.69141871064391;-1.46656889096589;0.9994;23.3552861035105;-0.00692910405704095;-0.253085525683421
20180706;1450;114357.37;0.51;0.79;1.23;0.594;0.578301222507971;0.743086479565862;0.778242154057002;0.9993;22.4268249886124;0.00394443273359835;0.14407040559468
20180706;1452.5;114568.36;-1;-1;-1;-1;-1.01744877749203;0.796866787655643;-1.27681162429335;0.9993;24.9268249886124;-0.00692695650390546;-0.253007086305147
20180706;1455;114779.08;0.54;0.83;1.3;0.627;0.607801222507971;0.852385234444267;0.713059304581035;0.9993;27.4268249886124;0.00413041255911981;0.150863318721851
