Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180720;120;9420.07;-1;0.05;-1;0.015;0.0132118207980794;0.0697295951395011;0.189472214368201;0.9989;1.62561745629142;0.00109396429352457;0.016648769092077
20180720;125;9816.81;-1;0.05;-1;0.015;0.00404524884796096;0.249074245331706;0.0162411366240363;0.9975;4.38190046081562;0.000321417456527074;0.00489157191652141
20180720;130;10212.93;-1;0.1;-1;0.03;0.00168535283644784;0.497263812729923;0.00338925293436383;0.9952;5.89888482574003;0.00012871675537082;0.00195890812079967
20180720;135;10626.16;0.05;0.15;0.05;0.08;0.0138393877647081;0.832405064572496;0.0166257851540291;0.989;6.01460111229927;0.00101586296992256;0.0154601645735089
20180720;140;11905.9;0.1;0.2;0.25;0.13;-0.0230489603567084;1.30696686446209;-0.0176354588501329;0.974;5.88649847525801;-0.00151002352432261;-0.0229806705107847
20180720;145;16060.6;0.4;0.5;0.55;0.43;0.0597174819912713;2.01002897606046;0.0297097617509545;0.9317;5.42141314800481;0.00290024257830913;0.0441380667386421
20180720;150;20479.62;0.95;1.1;1.3;0.995;0.0651139051568301;3.06313383763063;0.0212572837519879;0.8296;5.4570780213801;0.00247997013725486;0.0377420455263475
20180720;155;25562.57;2.45;2.6;3;2.495;0.24689243521933;4.49708453134715;0.0549005546812281;0.624;5.97900948079966;0.00753351871392732;0.114650737927581
20180817;120;9459.9;0.1;0.15;0.1;0.115;0.0700155642343928;0.836520995832648;0.0836985139442931;0.994;7.49740596093453;0.00577301452476521;0.040549876060971
20180817;125;9915.44;0.25;0.25;0.25;0.25;0.165073415243198;1.15190454584918;0.143304769338771;0.9893;7.93706399596276;0.0129855320479671;0.0912108765484612
20180817;130;10402.77;0.4;0.45;0.4;0.415;0.253737201112753;1.58090237038608;0.160501499564952;0.9787;7.57102342193649;0.0190252227885407;0.133633896606048
20180817;135;10936.71;0.1;0.75;0.65;0.295;-0.0138123872682424;2.16901564663842;-0.00636804408933105;0.9605;7.818035120715;-0.000985091683808848;-0.00691932187521504
20180817;140;12397.48;0.3;1.2;1;0.57;-0.0137970928173528;2.96162513349741;-0.00465862227508169;0.9255;7.83620258815239;-0.000868058056761149;-0.00609727317753865
20180817;145;16794.65;1.25;1.5;1.6;1.325;0.221686809887619;4.00696188975636;0.0553254101204088;0.8583;7.78626104525322;0.0102958806353418;0.0723186615780497
20180817;150;21567.09;2.25;2.5;2.75;2.325;0.257239425955953;5.32863515591497;0.0482749181411695;0.7503;8.28097947154204;0.00930337622023385;0.0653472723930849
20180817;155;26881.06;3.9;4.3;4.55;4.02;0.351040637244157;6.87675313313367;0.0510474391690415;0.6024;9.22776499687083;0.0101860453810394;0.0715471745273968
20180921;105;8246.82;-1;0.1;-1;0.03;-0.00592082680786502;0.836950250427666;-0.00707428763518452;0.9969;11.5873634864081;-0.000560003117581652;-0.00235104757122642
20180921;110;8657.15;0.05;0.1;0.05;0.065;0.0108032379278508;1.07033251568785;0.0100933474126105;0.9957;12.6038981563138;0.000973360237921672;0.00408643479196426
20180921;115;9076.94;0.1;0.2;0.1;0.13;0.0463029850019919;1.34788397574385;0.0343523521573426;0.9923;10.8697422075335;0.00397891010644046;0.0167045622572112
20180921;120;9529.66;0.1;0.25;0.2;0.145;0.0106345900726556;1.69523679831565;0.0062732180443593;0.987;10.3358007636419;0.000870438216753941;0.00365433975482043
20180921;125;10030.79;0.25;0.35;0.4;0.28;0.0567983485534399;2.14287727199527;0.0265056470082181;0.9775;9.9200733976249;0.0044166722533004;0.0185424085117008
20180921;130;10573.24;0.4;0.55;0.6;0.445;0.0741903701062171;2.72223598363387;0.0272534675730726;0.9622;9.8097785686186;0.0054731084022352;0.0229776188955909
20180921;135;11199.9;0.7;0.8;0.85;0.73;0.105053048315158;3.46780941676107;0.0302937779127658;0.9349;9.59979956505134;0.00731625975998205;0.0307156767509591
20180921;140;12779.07;1.2;1.3;1.45;1.23;0.179938966912141;4.41698034797598;0.0407380048667401;0.8925;9.76800961011962;0.010982989700461;0.0461096205527973
20180921;145;17316.17;1.9;2.05;2.3;1.945;0.205730627414117;5.59162687647028;0.0367926243934189;0.8287;10.1533530215171;0.00926705439961674;0.038905650798391
20180921;150;22198.56;3.1;3.3;3.55;3.16;0.336183058870807;6.98080746484576;0.0481581909490802;0.7309;10.4935597960951;0.0118126034264938;0.0495925678336422
20180921;155;27565.05;4.9;5.2;5.45;4.99;0.507639443065127;8.52172104436648;0.059570061073604;0.6032;11.296271564856;0.0143645219432143;0.0603062257443566
