Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;282.5;22251.7;-1;-1;-1;-1;-1.01200603812232;0.425165547272405;-2.38026351056599;0.9988;10.0050317686037;-0.0354743552059129;-1.29570082389597
20180706;285;22469.46;0.11;0.17;0.29;0.128;0.11242018729754;0.498990323137148;0.225295325550114;0.9983;9.16459570732919;0.00390253019396468;0.14253991533456
20180706;287.5;22683.27;-1;-1;-1;-1;-1.02046698581396;0.581607254897922;-1.75456371498162;0.9977;8.89868948433141;-0.0350903661127734;-1.28167562226905
20180706;290;22897.88;0.15;0.21;0.39;0.168;0.140942417621089;0.675424779728691;0.208672263516455;0.997;9.01919412630371;0.00480110323507894;0.175360295661258
20180706;292.5;23117.7;-1;-1;-1;-1;-1.03563727099082;0.781993936613737;-1.32435460494161;0.9962;9.37822920811143;-0.0349427958392419;-1.27628561802831
20180706;295;23340.52;0.2;0.3;0.53;0.23;0.183212676936548;0.903025308058025;0.202887643681384;0.9946;8.66431908582443;0.00612265228069073;0.223629874552229
20180706;297.5;24908.4;-1;-1;-1;-1;-1.06307248096036;1.0425428827837;-1.01969185010581;0.9924;8.29901065267875;-0.0332898353627322;-1.21591123662379
20180706;300;26918.38;0.31;0.41;0.73;0.34;0.255698445274906;1.20417625058539;0.212343039609527;0.9903;8.69088193042209;0.00740924183826911;0.270622558142779
20180706;302.5;28925.58;-1;-1;-1;-1;-1.11443619136475;1.39141452719425;-0.800937585158024;0.9857;8.00253086466803;-0.0300516093113606;-1.09763503009745
20180706;305;30996.19;0.48;0.59;1.03;0.513;0.358992698577639;1.61008284069462;0.222965358989083;0.9818;8.46193963859128;0.00903382979942239;0.329960633423903
20180706;307.5;32998.27;0.6;0.71;1.21;0.633;0.424950105870862;1.86289830618301;0.228112347550288;0.9745;8.15881937761325;0.0100448018208007;0.366886386504745
20180706;310;35126.99;0.75;0.88;1.46;0.789;0.506954090657561;2.15629440203867;0.235104302166838;0.9654;8.15161587694912;0.0112569904427592;0.411161575921779
20180706;312.5;37186.08;0.94;1.05;1.74;0.973;0.587861411309999;2.49693556047251;0.235433152787793;0.9519;8.00703926590438;0.0123307404497005;0.450380294925312
20180706;315;39382.55;1.19;1.32;2.12;1.229;0.703723768207008;2.89250689147761;0.243291993626856;0.9353;8.11864345893341;0.0139377602314087;0.509076692452204
20180706;317.5;41549.75;1.51;1.64;2.57;1.549;0.836429176556916;3.34761414579474;0.249858299113604;0.9132;8.2093412839065;0.015702014036532;0.57351606268433
20180706;320;43839.16;1.91;2.05;3.09;1.952;0.990572870028086;3.86633160512763;0.256204839935189;0.8867;8.48567634573622;0.0176245812789731;0.643737831214493
20180706;322.5;46129.83;2.42;2.56;3.64;2.462;1.17474910308845;4.44982325779341;0.263999047834316;0.8494;8.54748271521611;0.0198635958643029;0.725517838943662
20180706;325;48568.64;3;3.2;4.42;3.06;1.34041722795025;5.09613293308502;0.263026346751675;0.8041;8.77785999004466;0.0215267596086939;0.786264894707545
20180706;327.5;51108.73;3.75;3.95;5.32;3.81;1.53737135228492;5.80436892423061;0.264864513671261;0.7524;9.17862943342116;0.0234627167370866;0.856975728822086
20180706;330;53780.06;4.7;4.9;6.24;4.76;1.78687325343569;6.5621617706015;0.272299482381078;0.686;9.46855651772075;0.0259159461272419;0.946579932297509
20180713;285;22615.77;0.29;0.36;0.52;0.311;0.262522368901455;0.921587816863111;0.28485876668273;0.9945;8.81411474518994;0.009054188636652;0.194531905855126
20180713;290;23085.79;0.39;0.48;0.69;0.417;0.330195759896244;1.22494576206346;0.269559494079166;0.9896;8.34656154843807;0.0111563300506099;0.239697032410899
20180713;295;23582.55;0.54;0.63;0.92;0.567;0.416588994382038;1.62743967264493;0.255978148612412;0.9839;9.34229848558767;0.0137788074494908;0.296041730642737
20180713;300;27150.58;0.76;0.85;1.24;0.787;0.539646207716827;2.13633448318966;0.25260379962182;0.9762;10.3930164824863;0.0155033167622616;0.333093320436239
20180713;305;31324.04;1.08;1.17;1.67;1.107;0.705677511514493;2.76465514029825;0.255249742084781;0.9606;10.1858499615611;0.0175720775155856;0.37754125368045
20180713;307.5;33426.54;1.28;1.38;1.94;1.31;0.799894102202308;3.13237277345239;0.255363636468048;0.9507;10.3469756145577;0.0186653299957997;0.401030104762697
