Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;125;9811.48;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00238496129024367;0.0871107111261502
20180706;130;10203.87;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00114662378097722;0.0418804336001929
20180706;135;10596.39;-1;0.1;-1;0.03;0.0298896743457124;0.011032565428759;2.70922248671175;0.9999;1.1032565428759;0.00220017817291131;0.0803615077655856
20180706;140;10991.17;-1;0.25;-1;0.075;0.0743896743457124;0.061032565428759;1.21885216233528;0.9999;6.1032565428759;0.00527914189205114;0.192820657607168
20180706;141;11068.91;-1;0.3;-1;0.09;0.0892734129452697;0.071051013917778;1.25646923277659;0.9998;3.63293527365155;0.00629088700669807;0.229774647919647
20180706;142;11185;-1;0.1;-1;0.03;0.0290734129452697;0.0818611956561872;0.355155000024389;0.9998;4.63293527365155;0.00202747090722489;0.074053374886389
20180706;143;11228.48;-1;0.1;-1;0.03;0.0288138711825317;0.0937525582024328;0.307339572754016;0.9997;3.95376272489436;0.00200159055565622;0.0731080950453433
20180706;144;11309.33;-1;0.3;-1;0.09;0.0884043319412002;0.107340484326677;0.82358797331446;0.9995;3.19133611759965;0.00609721167515106;0.222700656434892
20180706;145;11391.2;-1;0.3;-1;0.09;0.0878271401405209;0.123576297010195;0.710711861946106;0.9994;3.6214330991319;0.00601386766184478;0.219656516348881
20180706;146;11474.63;-1;0.15;-1;0.045;0.0421302480812338;0.14238892772123;0.29588148991273;0.9992;3.58718989845779;0.00286384776706197;0.104602039691939
20180706;147;11560.19;0.05;0.15;0.05;0.08;0.0761770543450019;0.163982138403979;0.464544828396711;0.9989;3.47540514090738;0.00513988977595537;0.18773447406677
20180706;148;11945.86;0.05;0.15;0.05;0.08;0.0748932594634927;0.189012655051339;0.396234101061383;0.9985;3.40449369100487;0.00489012447672451;0.178611796512363
20180706;149;12744.27;0.05;0.15;0.05;0.08;0.0733072565585775;0.217881424759716;0.336454824634188;0.9982;3.71819080079026;0.00448669559854668;0.163876556736917
20180706;150;13590.44;0.1;0.15;0.1;0.115;0.106177212831261;0.250642095881498;0.423620830562561;0.9974;3.39337968028405;0.00609385906625422;0.222578202394935
