Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;105;8244.36;-1;-1;-1;-1;-1;0;-∞;1;0;-0.0946101334730652;-3.45563512510371
20180706;110;8650.95;0.06;0.32;0.06;0.138;0.137999125863097;8.74136903243539E-05;1578.69008105072;0.9999;0.00874136903243539;0.0124424852962063;0.454461775443933
20180706;112;8810.1;-1;-1;-1;-1;-1.0002008741369;0.0200874136903244;-49.7924167618789;0.9999;2.00874136903244;-0.0885525342308015;-3.23438131278003
20180706;113;8890.31;-1;-1;-1;-1;-1.0003008741369;0.0300874136903244;-33.2464891942036;0.9999;3.00874136903244;-0.0877623706964982;-3.2055205896896
20180706;114;8970.39;-1;-1;-1;-1;-1.00043595569501;0.0402402753988771;-24.8615583710176;0.9998;2.17977847503494;-0.086990648727882;-3.17733344478589
20180706;115;9051.97;0.1;0.07;0.1;0.091;0.0902009321811233;0.0531402969174219;1.69741114396279;0.9996;1.99766954719165;0.00777253206774616;0.283891733774429
20180706;116;9132.35;0.02;0.06;0.11;0.032;0.0307384083838461;0.0696708399731354;0.441194743678971;0.9994;2.10265269358984;0.0026253876099142;0.0958922824521162
20180706;117;9212.44;-1;-1;-1;-1;-1.0020869704956;0.0902609822880251;-11.1021057503885;0.9991;2.31885610621849;-0.0848448225428405;-3.09895714337725
20180706;118;9297.6;0.03;0.08;0.14;0.045;0.0416889249950064;0.115915760287465;0.359648462742425;0.9986;2.36505357499544;0.00349739303649382;0.127742280657937
20180706;119;9382.57;0.05;0.09;0.16;0.062;0.0570310014173183;0.147087856757308;0.387734260833091;0.9981;2.61526241193772;0.00474115099652955;0.173170540148242
20180706;120;9468.94;0.05;0.09;0.18;0.062;0.0546436825243778;0.183899216201528;0.297139289949425;0.9971;2.53666119849042;0.00450125065414024;0.164408180142472
