Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;65;5101.85;-1;-1;-1;-1;-1.00002634337494;0.00263433749359208;-379.612083040787;0.9999;0.263433749359208;-0.15288974545164;-5.58429795262115
20180706;68;5339.28;-1;0.05;-1;0.015;0.0144686253233789;0.038131096193802;0.379444253316028;0.9997;1.77124892207049;0.0021136797006779;0.0772021510672603
20180706;68.5;5379.78;-1;0.05;-1;0.015;0.0142394527141134;0.0456635830995699;0.311833889229939;0.9994;1.26757880981103;0.00206454039328903;0.0754073378648817
20180706;69;5421.06;-1;0.05;-1;0.015;0.0138422737695459;0.0551366853330446;0.251053789068636;0.9991;1.2863624782823;0.00199167202359794;0.0727458206619146
20180706;69.5;5463.37;-1;0.05;-1;0.015;0.0133368559490368;0.0665924253785853;0.200275870314309;0.9988;1.38595337580264;0.00190408990060141;0.0695468836194665
20180706;70;5660.37;-1;0.05;-1;0.015;0.0126293653291736;0.0802348628990268;0.157404959301385;0.9984;1.48164666926652;0.00174032880478756;0.0635655095948657
20180706;70.5;6059.49;0.05;0.05;0.05;0.05;0.0467341870771733;0.0960774849424218;0.486421840717215;0.9979;1.55514901086984;0.00601579768597608;0.219727010480276
20180706;71;6461.43;0.05;0.1;0.05;0.065;0.0605059538896217;0.114351962979922;0.529120378110566;0.9972;1.60501646799223;0.00730405560903778;0.266780631120105
20180706;71.5;6866.98;0.05;0.05;0.05;0.05;0.043832066450614;0.135361697045266;0.323814398071237;0.9956;1.40180307940592;0.00497875511964195;0.181849030744922
20180706;72;7277.4;0.1;0.1;0.1;0.1;0.0913836768019499;0.160072447467041;0.570889483155843;0.9942;1.48557296518105;0.0097946063024598;0.357747995197344
20180706;72.5;7693.86;0.1;0.1;0.1;0.1;0.0877468155041086;0.189291536299815;0.463553824007896;0.9911;1.37676230290915;0.00889573193341245;0.32491660886789
20180706;73;8089.29;0.1;0.1;0.1;0.1;0.0827542009593012;0.224359100348323;0.368847088577301;0.9886;1.51278938953498;0.00797947369277835;0.291450276628729
20180706;73.5;8473.02;0.15;0.1;0.15;0.135;0.111048539203022;0.265489070988385;0.418279135896636;0.9841;1.50638118219985;0.010222784860458;0.373387217028227
20180706;74;8845.84;0.15;0.15;0.15;0.15;0.116536007909385;0.313616501295176;0.371587615537172;0.977;1.45495617785283;0.0102758003953633;0.375323609440643
20180706;74.5;9253.34;0.05;0.15;0.2;0.08;0.0324386240041507;0.370533045560625;0.0875458326667473;0.9672;1.45004195109297;0.00273437771909792;0.0998731461900516
20180706;75;9667.86;-1;-1;-1;-1;-1.06767492221237;0.43815134005295;-2.4367720114318;0.9529;1.43683486650458;-0.0861396875136426;-3.1462520864358
20180706;75.5;10223.63;-1;-1;-1;-1;-1.09560783308569;0.517931435768018;-2.11535303212684;0.9332;1.43125498631265;-0.0835881296375979;-3.05305643501326
20180706;76;10697.46;-1;-1;-1;-1;-1.13490053900564;0.611058132703142;-1.85727098334356;0.9071;1.45210483321467;-0.0827507109560963;-3.02246971767142
20180706;76.5;10991.06;-1;-1;-1;-1;-1.19156115716928;0.718668716464235;-1.65801172344278;0.866;1.42956087439761;-0.0845612436463852;-3.08859942418422
20180706;77;11465.35;-1;-1;-1;-1;-1.27075892968759;0.841961304365034;-1.50928424275499;0.8148;1.46198126181202;-0.0864510865482795;-3.15762593617591
20180706;77.5;11964.44;-1;-1;-1;-1;-1.37807062178492;0.980376401498665;-1.40565462375299;0.7542;1.5381229527458;-0.0898408187087934;-3.28143590333868
20180713;69;5449.24;0.05;0.1;0.05;0.065;0.0603336592051542;0.112251883606302;0.537484603971199;0.9972;1.66655028387348;0.00863611332589872;0.185549434840265
20180713;69.5;5494.22;0.05;0.1;0.05;0.065;0.0586015543687142;0.134367474784529;0.436129014575046;0.9957;1.48801061192693;0.00831950893986718;0.178747096487441
20180713;70;5708.25;0.1;0.1;0.1;0.1;0.0911375676971207;0.159973258140702;0.569705016678238;0.9943;1.55481268471568;0.0124534319281311;0.267565647749992
20180713;70.5;6120.32;0.1;0.15;0.1;0.115;0.102939714854816;0.18957691079482;0.542997110899376;0.9928;1.67503960349776;0.0131190816144837;0.281867327040597
20180713;71;6525.87;0.1;0.15;0.1;0.115;0.0986828755344448;0.223355092637527;0.441820575340958;0.9897;1.58418684131604;0.0117950009603113;0.253419064750219
20180713;71.5;6931.5;0.15;0.15;0.15;0.15;0.127979430780334;0.262187971184642;0.488120908835312;0.9873;1.73390308816269;0.0144014940501566;0.309420335401159
20180713;72;7315.31;0.05;0.2;0.15;0.095;0.0653872216254314;0.306564724214757;0.21329010307013;0.9827;1.71172129332767;0.00697195783471055;0.14979456465459
20180713;72.5;7764.18;0.1;0.2;0.2;0.13;0.0906346152651653;0.357240867244256;0.253707298283978;0.9781;1.79750615227556;0.00910527575440406;0.195629527605652
20180713;73;8180.49;0.1;0.25;0.25;0.145;0.0933802068389924;0.414415408433058;0.225329958632743;0.9719;1.83700331533835;0.00890369175127823;0.191298436009081
20180713;73.5;8610.21;0.15;0.25;0.25;0.18;0.111703743016075;0.478819847613905;0.2332897092147;0.9608;1.74225145367156;0.0101192560405075;0.217415192282081
20180713;74;9041.67;0.15;0.3;0.3;0.195;0.104378876173424;0.551967406109068;0.189103332947162;0.949;1.77688478091325;0.00900447853275676;0.193463869652318
20180713;74.5;9489.44;0.2;0.35;0.4;0.245;0.125665222857443;0.634872102513677;0.197937856081392;0.9364;1.87633297393958;0.0103292579782163;0.221927145679031
20180713;75;9948.13;-1;-1;-1;-1;-1.15619604896264;0.727945157177238;-1.5883010382898;0.9177;1.89788637864691;-0.0906535115836705;-1.94771735917269
20180713;75.5;10425.89;-1;-1;-1;-1;-1.20269530013232;0.831666864304239;-1.44612626972758;0.8937;1.90682314329562;-0.0899781538173924;-1.93320709892956
20180713;76;10903.73;0.4;0.55;0.7;0.445;0.181184781544027;0.946091120977788;0.191508806632465;0.8626;1.92005253606967;0.0129610811717037;0.278472641056753
20180713;76.5;11189.98;-1;-1;-1;-1;-1.34098530456423;1.07212595265534;-1.2507721702315;0.828;1.98247270095481;-0.0934736735508104;-2.00830936849609
20180713;77;11684.45;0.6;0.75;0.95;0.645;0.207963771018666;1.20914289414168;0.171992716515355;0.7857;2.03936644414995;0.0138827023432476;0.298273942992423
20180713;77.5;12195.76;0.75;0.95;1.15;0.81;0.253576640348239;1.3557722938548;0.187034829888179;0.7375;2.11970803676861;0.0162179133954445;0.348446639275653
20180720;40;3139.63;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00372655376588961;0.0567134901246325
20180720;42.5;3335.85;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00350735194927829;0.053377512478079
20180720;45;3532.08;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00331249575321057;0.0504120447441734
20180720;47.5;3728.3;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00313815948287423;0.0477588646299922
20180720;50;3924.52;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00298125630650373;0.0453709944146036
20180720;55;4316.96;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00271024053963901;0.0412464732126311
20180720;60;4710.58;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00496754115204497;0.0755997669076844
20180720;62.5;4911.99;-1;0.1;-1;0.03;0.029717800608296;0.0189666462786263;1.56684530157476;0.9997;0.94066463901332;0.00471904146272099;0.0718179122607851
20180720;65;5127.99;0.05;0.15;0.05;0.08;0.0785349919383377;0.0624461013501213;1.2576444364078;0.9988;1.22084005138523;0.0119456733948201;0.181798216977418
20180720;67.5;5347.44;0.1;0.15;0.1;0.115;0.108680633879748;0.146901063977338;0.739821965459104;0.9969;2.03850520008123;0.0158526125447324;0.241256947165146
20180720;68;5426.01;0.1;0.2;0.1;0.13;0.122071725409522;0.1693239127476;0.720936124311553;0.9967;2.40250745165987;0.017548059406346;0.267059529090328
20180720;69;5510.78;0.1;0.2;0.1;0.13;0.117467521366265;0.220496047647497;0.532742072338904;0.9941;2.12414892097198;0.0166264424756;0.253033671425537
20180720;70;5743.65;0.15;0.25;0.15;0.18;0.159556857431891;0.283923338357865;0.561971616545241;0.9901;2.0649638957686;0.0216681637629164;0.329762367266884
20180720;71;6570.69;0.2;0.25;0.2;0.215;0.181137655519443;0.364649138789878;0.496745052300316;0.9825;1.93499111317469;0.0215026688681349;0.327243741836928
20180720;71.5;6984.24;0.1;0.3;0.2;0.16;0.116283908886455;0.413308290778661;0.281349083676449;0.9785;2.03330656342068;0.0129865882231188;0.197639639520589
20180720;72;7346.92;0.15;0.3;0.25;0.195;0.138862800620819;0.468243192472916;0.296561280234418;0.9721;2.0120859992538;0.0147426383415416;0.224364527260336
20180720;72.5;7759.64;0.15;0.35;0.3;0.21;0.137916176764241;0.530091912184002;0.26017408225683;0.9647;2.04203465257108;0.0138633516343681;0.210982882685539
20180720;73;8232.53;0.2;0.4;0.35;0.26;0.16779881590097;0.599551650310305;0.279873828742068;0.9553;2.06266631094026;0.0158982811362676;0.241951966042572
20180720;73.5;8614.03;0.25;0.4;0.4;0.295;0.177461308226728;0.677110040849483;0.262086363398319;0.9433;2.07299280023407;0.016069112879436;0.244551811633917
20180720;74;9145.67;0.3;0.55;0.45;0.375;0.225657102172657;0.763478025588819;0.295564632654127;0.9292;2.10936296366303;0.0192454505459603;0.292891700496333
20180720;74.5;9594.7;0.35;0.5;0.55;0.395;0.206253355641923;0.859034861048775;0.240098935437979;0.9126;2.15957258990934;0.0167673421160328;0.255177987828375
20180720;75;9937.67;0.45;0.55;0.65;0.48;0.243295485489557;0.964141873580863;0.252344071091889;0.8955;2.2651149713918;0.0190960736955296;0.290618371553842
20180720;75.5;10543.08;0.5;0.7;0.75;0.56;0.265788263304816;1.07869105607527;0.24639887557042;0.8726;2.30935429117099;0.0196635940709694;0.299255322267566
20180720;76;11039.83;0.6;0.75;0.9;0.645;0.280765061420252;1.20233433647261;0.233516629196464;0.8459;2.36362711602692;0.0198369674087189;0.30189384775144
20180720;76.5;11536.67;0.7;0.85;1;0.745;0.294940404026016;1.33469227980236;0.220980077947023;0.8109;2.38000843984127;0.0199410674952384;0.30347812094316
20180720;77;11878.68;0.85;1.05;1.15;0.91;0.354867360943038;1.47537460910861;0.240526954139085;0.7685;2.3979811622331;0.0233019612899387;0.354626723381255
20180720;77.5;12404.17;1;1.15;1.35;1.045;0.363377877679038;1.62383308151819;0.223777851193486;0.7235;2.4651794658986;0.0228499564734802;0.347747775080777
20180727;65;5180.65;0.1;0.15;0.1;0.115;0.108952464329183;0.187131915018962;0.582222782886304;0.9981;3.18291351095605;0.0164039111263573;0.19327511415813
20180727;70;5824.1;0.1;0.2;0.25;0.13;0.0858984840076262;0.465404491026497;0.184567372390774;0.9815;2.3838657293175;0.0115040637224547;0.135543847568599
20180727;70.5;6230.99;0.15;0.25;0.25;0.18;0.126021942713832;0.514338381927804;0.245017574308738;0.9782;2.47605767367743;0.0157755212761999;0.185871262778452
20180727;71;6644.23;0.15;0.25;0.3;0.18;0.113943516827129;0.568238683762151;0.200520520835964;0.9731;2.45563134471638;0.0133764097758748;0.157604311956074
20180727;71.5;7075.21;0.2;0.3;0.35;0.23;0.148822854192744;0.627713843272363;0.237087099142038;0.9674;2.49009649715508;0.0164068382804667;0.19330960264324
20180727;72;7506.27;0.2;0.3;0.35;0.23;0.130919363495139;0.693341251733498;0.188823848527422;0.9619;2.60054164054754;0.0136042406583041;0.160288674207922
20180727;72.5;7937.33;0.25;0.35;0.4;0.28;0.159895227837318;0.765083921527632;0.208990443189627;0.9536;2.58846491729919;0.0157128754522122;0.185133153513565
