Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;85;6684.04;0.02;0.05;0.02;0.029;0.029;0;∞;1;0;0.00338418082477065;0.123607204624748
20180706;90;7096.05;0.01;0.14;0.12;0.049;0.0484210528362768;0.0497953987930781;0.972400141577089;0.9996;1.44736790930808;0.00532245703064323;0.194402743044244
20180706;91;7172.76;-1;-1;-1;-1;-1.00103585741714;0.0637909475348792;-15.6924437729945;0.9995;2.07171483427219;-0.108857395031392;-3.97601635352159
20180706;92;7252.04;-1;-1;-1;-1;-1.00169886585591;0.0822385900687075;-12.1803993115522;0.9992;2.12358231988676;-0.107738665998479;-3.93515477559444
20180706;93;7608.01;0.14;0.06;0.14;0.116;0.113414330655536;0.104769703444718;1.08251075384001;0.9988;2.15472445371985;0.0116276369131111;0.424699438251382
20180706;93.5;7924.72;0.15;0.53;0.15;0.264;0.260736771969564;0.117808749113408;2.21322078310642;0.9985;2.1754853536241;0.0256633271757563;0.9373530250945
20180706;94;8324.53;-1;-1;-1;-1;-1.00424062876498;0.132617598735675;-7.57245371910682;0.9976;1.76692865207446;-0.0940963262114117;-3.43686831487181
20180706;94.5;8719.91;0.16;1.32;0.16;0.508;0.502342303099096;0.149962008729642;3.34979710764438;0.9968;1.76803028153257;0.0449347523560788;1.64124182980578
20180706;95;9119.66;0.03;2.6;0.16;0.801;0.793537483248721;0.170276016705353;4.66030095490115;0.9959;1.82012603689743;0.0678708676566892;2.47898344116057
20180706;95.5;9588.45;0.17;1.77;0.17;0.65;0.64026837329742;0.19372155989661;3.3050961061801;0.9951;1.98604626583262;0.0520844694577317;1.90238524694365
20180706;96;9924.53;0.01;0.8;0.17;0.247;0.23459615169029;0.220241801710224;1.06517541115539;0.9943;2.17611373854553;0.0184376487670879;0.673435121217884
