Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;110;8634.69;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00135499942673101;0.0494913540613502
20180706;115;9031.65;0.02;0.17;0.02;0.065;0.065;0;∞;1;0;0.00561359220076066;0.205036455132783
20180706;118;9281.19;0.06;0.14;0.06;0.084;0.0834418896281683;0.0394985976568374;2.11252790170195;0.9998;2.79055185915833;0.00701253545180858;0.256132857377309
20180706;119;9367.04;0.08;0.13;0.08;0.095;0.094192915830542;0.0538529329870486;1.74907680243145;0.9997;2.69028056486014;0.00784351026021269;0.286484212254269
20180706;120;9453.67;0.03;0.13;0.09;0.06;0.0588449221835002;0.0695474764688912;0.846111536625224;0.9996;2.88769454124962;0.00485515564887817;0.177334560075275
20180706;121;9544.21;0.05;0.1;0.1;0.065;0.0634449221835002;0.0868688320871644;0.730353115831457;0.9996;3.88769454124962;0.00518503252790227;0.18938331308163
20180706;122;9632.21;0.06;0.11;0.11;0.075;0.0730292555347417;0.105155549748239;0.694487886845599;0.9995;3.94148893051654;0.00591378503137894;0.216000998271116
20180706;123;9725.74;0.05;0.36;0.12;0.143;0.140432369925593;0.124724173061204;1.12594348375981;0.9993;3.66804296343839;0.0112626132861831;0.411366950277838
20180706;124;9816.79;0.06;0.97;0.13;0.333;0.329618649515627;0.146475604278901;2.25033138547773;0.9991;3.75705609374804;0.026190083176088;0.956592788006614
20180706;125;10026.53;0.1;0.22;0.14;0.136;0.131379331264663;0.171345687588209;0.766750147692097;0.9985;3.08044582355794;0.0102204729239764;0.373302773548238
20180706;126;10828.54;0.12;0.17;0.16;0.135;0.128692328837071;0.200440438166573;0.642047732554463;0.998;3.15383558146439;0.00926994927228561;0.338584897170232
20180706;127;11631.98;-1;-1;-1;-1;-1.00856855791917;0.234376910198767;-4.30319077533636;0.9975;3.4274231676697;-0.0676310890473467;-2.47022552745434
20180706;128;12441.48;-1;-1;-1;-1;-1.0119568397037;0.274070840307655;-3.69231852088947;0.9958;2.84686659611817;-0.0634431221180184;-2.31726003536062
20180706;129;13255.19;-1;-1;-1;-1;-1.0172706529731;0.322030632960146;-3.15892511101265;0.9933;2.57770939897045;-0.0598611645188805;-2.18642903405211
20180706;130;14073.76;0.23;0.29;0.33;0.248;0.222411246451478;0.38172417848645;0.582649093210042;0.99;2.55887535485219;0.0123265404719246;0.450226890737044
20180706;131;14905.47;0.29;0.36;0.4;0.311;0.27267061629788;0.455804002363144;0.598219003967061;0.9841;2.41065306302641;0.0142687939871971;0.521167700382373
20180706;132;15744.53;0.35;0.4;0.48;0.365;0.3069028214191;0.548670201097759;0.559357553599704;0.9761;2.43084429208787;0.0152042773399332;0.555336229841059
