Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180720;80;6279.2;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.0018632946872213;0.0283570160211492
20180720;85;6671.66;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00175368648881987;0.0266889162517275
20180720;90;7064.11;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00165625959958155;0.0252062007811317
20180720;95;7456.55;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.0015690902629232;0.0238795924388625
20180720;100;7849;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00149063574977704;0.0226856128169194
20180720;105;8241.52;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00141964103709025;0.0216051620332172
20180720;110;8635.14;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00270985762824922;0.0412406457799179
20180720;115;9034.65;-1;0.2;-1;0.06;0.06;0;∞;1;0;0.00518005678139164;0.078833989141804
20180720;120;9457.24;0.05;0.25;0.05;0.11;0.109808679718188;0.0191320281812399;5.73952111495746;0.9999;1.91320281812399;0.00905663493579378;0.137830662929112
20180720;125;9924.76;0.05;0.35;0.2;0.14;0.138805567040988;0.0814677366014942;1.7038102791534;0.9996;2.9860823975308;0.0109089128897797;0.166020018041335
20180720;130;10399.82;0.15;0.25;0.35;0.18;0.173909349272983;0.190001063659695;0.915307240513487;0.9976;2.53777113625702;0.013043426947094;0.198504653851086
20180720;135;14238.69;0.4;0.5;0.7;0.43;0.393613072593685;0.45302554205354;0.86885404034717;0.9867;2.73585920348234;0.0215622502226732;0.328150495576307
20180720;140;18609.06;0.95;1.15;1.45;1.01;0.801263986748977;1.07218258893741;0.747320461100819;0.9296;2.96500018822476;0.0335850338310587;0.511122233616425
20180720;145;23559.8;2.15;2.45;3;2.24;1.26192142893787;2.30908848548433;0.546501979837809;0.7271;3.5840182156912;0.0417787381289969;0.635820170900671
20180817;110;8751;0.15;0.1;0.15;0.135;0.132817792913899;0.176358275564119;0.753113470230149;0.9995;4.3644141722027;0.0118384045792299;0.0831534090877639
20180817;115;9221.54;0.05;0.15;0.25;0.08;0.0714175894230327;0.275846694122557;0.258903191318661;0.9977;3.73148285955101;0.00604082612556747;0.0424309950454523
20180817;120;9693.18;0.15;0.25;0.35;0.18;0.149100943002443;0.504527180085075;0.295526086379134;0.9929;4.35197985881091;0.0119979960695979;0.0842743858542431
20180817;125;10184.68;0.35;0.45;0.5;0.38;0.284619904632475;0.904425687379628;0.314696838672393;0.9782;4.37523373245529;0.0217977909579221;0.15310852206502
20180817;130;10872.33;0.7;0.75;0.85;0.715;0.439707512669973;1.5722266239004;0.279671839915253;0.9448;4.987182741486;0.0315453872245028;0.221576013149032
20180817;135;14870.84;1.2;1.3;1.5;1.23;0.527867329225992;2.58242918324267;0.204407281582516;0.8767;5.69450665672351;0.0276875090308465;0.194478128336859
20180817;140;19534.77;2.1;2.25;2.65;2.145;0.597089875339422;3.95218782267442;0.151078314627106;0.7793;7.01363898804068;0.0238410845259376;0.167460694674975
20180817;145;24694.94;3.6;3.8;4.35;3.66;0.658702205795905;5.58166171862423;0.118011846471818;0.6375;8.27944219090785;0.0208053844439714;0.146137820541549
20181019;90;7115.5;0.1;0.25;0.1;0.145;0.144558965449893;0.0412361523621417;3.50563661178559;0.9998;2.2051727505356;0.0158465312417843;0.0503299611831455
20181019;95;7593.6;0.1;0.2;0.15;0.13;0.127954320413048;0.114174292901349;1.12069290872338;0.9996;5.11419896738016;0.0131432219134768;0.0417440156860643
20181019;100;8044.04;0.2;0.3;0.25;0.23;0.225862109248539;0.208728795035134;1.08208409486828;0.9995;8.27578150292304;0.0219009906979403;0.0695594508906323
20181019;105;8525.65;0.3;0.4;0.4;0.33;0.322322193719662;0.316472925303301;1.01848268192533;0.9989;6.97982389121656;0.0294888144717806;0.0936590390071118
20181019;110;9083.55;0.45;0.55;0.55;0.48;0.461024382943075;0.4719699714577;0.976808718400414;0.9963;5.12854515052014;0.0395879384927257;0.125734735082331
20181019;115;9674.58;0.65;0.8;0.85;0.695;0.645976322730747;0.734265611803253;0.879758376732801;0.9913;5.63490543324746;0.0520809721693327;0.165413696389989
20181019;120;10241.67;1;1.1;1.2;1.03;0.915645188749446;1.14176403883461;0.801956584378009;0.9813;6.11523054815796;0.069735038057716;0.221484544787659
20181019;125;11180.24;1.45;1.6;1.75;1.495;1.24352369281322;1.73375664294936;0.717242352247206;0.9625;6.70603485831425;0.0867556045661192;0.275543344067609
20181019;130;12165.82;2.15;2.3;2.5;2.195;1.67116723640861;2.55400927119813;0.654330920116291;0.9242;6.91072247482042;0.107145300883846;0.340302792589782
20181019;135;16689.04;3.1;3.4;3.65;3.19;2.16001642422901;3.64397493273052;0.592763798902;0.8696;7.89864705345855;0.100953249012443;0.320636297406912
20181019;140;21826.87;4.5;4.8;5.15;4.59;2.73662604902818;5.00122632068713;0.547191003476162;0.795;9.04084854132594;0.0977954382942668;0.310606815973747
20181019;145;27316.4;6.5;6.7;7.15;6.56;3.44672592282835;6.57109526978575;0.524528374847429;0.6982;10.3156861403965;0.0984187601516345;0.312586540394648
