Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;6;1962.3;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119247821434031;0.04355526677878
20180706;6.5;1962.3;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119247821434031;0.04355526677878
20180706;7;1962.3;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119247821434031;0.04355526677878
20180706;7.5;1962.3;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119247821434031;0.04355526677878
20180706;8;1962.31;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119247213742987;0.0435550448196258
20180706;8.5;1962.48;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119236883942766;0.0435512718600954
20180706;9;1963.5;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238349885408709;0.0870572956455309
20180706;9.5;1963.1;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119199225714431;0.043537517192196
20180706;10;1963.63;0.01;0.02;0.01;0.013;0.0129790006405334;0.00197692610607641;6.56524318265629;0.9998;0.104996797333045;0.00515556418450321;0.18830698183898
20180706;10.5;1971.79;0.01;0.02;0.02;0.013;0.012503655879101;0.012858002595309;0.972441542643858;0.9975;0.198537648359606;0.00494619182859167;0.180659656539311
20180706;11;1993.68;0.03;0.04;0.05;0.033;0.0256128853071378;0.0516033127874149;0.496341880465169;0.9596;0.182849373585697;0.0100206906522448;0.366005726073243
20180706;11.5;2090.59;0.15;0.17;0.18;0.156;0.0662625334441861;0.171544419630016;0.386270410818959;0.6249;0.239236114518299;0.0247225788349055;0.902992191944924
20180713;6;1962.31;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119247213742987;0.0256206145997799
20180713;6.5;1962.31;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119247213742987;0.0256206145997799
20180713;7;1962.31;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238494427485973;0.0512412291995598
20180713;7.5;1962.33;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238491996758955;0.0512407069507108
20180713;8;1962.42;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238481059100498;0.0512383569626218
20180713;8.5;1962.65;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238453111864061;0.0512323524166755
20180713;9;1963.04;-1;0.02;-1;0.006;0.00597740514857712;0.00173732035129334;3.44058891851883;0.9998;0.112974257114406;0.00237507947667401;0.0510292811091284
20180713;9.5;1963.18;-1;0.02;-1;0.006;0.00587740514857712;0.0086951637830886;0.675939556194238;0.9998;0.612974257114406;0.00233517864683328;0.050172000044462
20180713;10;1968.65;0.02;0.04;0.02;0.026;0.0255821613573822;0.017219939030555;1.48561277203068;0.9985;0.27855909507853;0.0101359235307231;0.217773298211566
20180713;10.5;1981.07;0.03;0.03;0.03;0.03;0.0272403945636328;0.0385350098436309;0.706899898927496;0.9892;0.255519021885856;0.0107252685466104;0.230435549214674
20180713;11;2016.69;0.05;0.07;0.07;0.056;0.0365842195773703;0.097630691272027;0.374720480831547;0.9208;0.245148742709971;0.0141497658392459;0.304011880752033
20180713;11.5;2127.12;0.19;0.21;0.22;0.196;0.0736965790775979;0.230732609617639;0.319402529186165;0.6184;0.320501627155142;0.0270240191811117;0.580619000347121
20180720;3;1962.32;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119246606058135;0.0181478428594725
20180720;4;1962.32;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119246606058135;0.0181478428594725
20180720;5;1962.32;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119246606058135;0.0181478428594725
20180720;6;1962.35;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119244783040742;0.0181475654190129
20180720;6.5;1966.21;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119010685532064;0.018111938704411
20180720;7;1962.61;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119228985891237;0.0181451612903226
20180720;7.5;1966.21;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119010685532064;0.018111938704411
20180720;8;1964.04;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119142176330421;0.0181319499602859
20180720;8.5;1963.12;0.01;0.02;0.01;0.013;0.0129933876125418;0.000661238745824821;19.6500699551929;0.9999;0.0661238745824821;0.00516261987946869;0.0785686212906641
20180720;9;1966.26;0.02;0.02;0.02;0.02;0.0198691775358223;0.00793078422220242;2.50532317853234;0.9997;0.436074880592203;0.00788194769661257;0.119953391507822
20180720;9.5;1972.6;0.03;0.02;0.03;0.027;0.0265787009574544;0.0177721110272869;1.49552863566101;0.999;0.421299042545551;0.0105096759336989;0.15994413061598
20180720;10;1982.5;0.04;0.03;0.04;0.037;0.0355681503905098;0.0338945966138012;1.04937523805866;0.9962;0.376802528813199;0.0139940263831514;0.212971589018586
20180720;10.5;1993.68;0.03;0.04;0.06;0.033;0.0264217188041993;0.0656916720133214;0.402208042426463;0.9767;0.282329665055825;0.0103371356823941;0.157318283666435
20180720;11;2048.39;0.11;0.12;0.13;0.113;0.0780831454004307;0.142201606171539;0.549101712017502;0.8856;0.305217260485746;0.0297330359025068;0.452499640141276
20180720;11.5;2197.76;0.29;0.3;0.31;0.293;0.142544203960361;0.283448866203465;0.502892129609154;0.6174;0.393245677050809;0.0505899093117907;0.769915182338816
20180727;6.5;1966.21;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238021371064128;0.0280442921874751
20180727;7;1970.13;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00237547776035084;0.0279884919989724
20180727;7.5;1970.13;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00237547776035084;0.0279884919989724
20180727;8;1970.13;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00237547776035084;0.0279884919989724
20180727;8.5;1970.13;-1;0.02;-1;0.006;0.00598564658548096;0.00143534145190394;4.1701900112626;0.9999;0.143534145190394;0.00236979505752166;0.027921536927735
20180727;9;1974.06;0.01;0.03;0.01;0.016;0.0158208335767835;0.00888781842941265;1.78005814390034;0.9994;0.29861070536083;0.00625120320045547;0.0736532893214955
20180727;9.5;1976.55;0.04;0.03;0.04;0.037;0.0359238367824151;0.0244890736043345;1.46693326839676;0.9967;0.32611006593481;0.0141765159951854;0.167031369911016
20180727;10;1992.3;0.03;0.05;0.05;0.036;0.0306905460105926;0.0567187067118338;0.541100948696162;0.9833;0.317931376611219;0.0120155728997953;0.141570580698395
20180727;10.5;2025.07;0.06;0.09;0.09;0.069;0.0462316873033885;0.121871098844698;0.379349064229759;0.9371;0.36197635447713;0.0178071454797331;0.209808383434597
20180727;11;2095.95;0.16;0.17;0.18;0.163;0.0798731488644132;0.236858643716711;0.337218636445219;0.8089;0.43499137171945;0.0297244953907499;0.350221675531336
20180727;11.5;2249.45;0.36;0.4;0.39;0.372;0.139105046675476;0.396247973856473;0.351055540604132;0.5775;0.55123065875627;0.048234873594377;0.568315728398265
20180803;6.5;1962.36;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238488350761328;0.022923123714625
20180803;7;1970.13;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00237547776035084;0.0228327171570564
20180803;7.5;1970.13;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00237547776035084;0.0228327171570564
20180803;8;1970.13;-1;0.02;-1;0.006;0.005984190779919;0.00158092200810032;3.78525363633197;0.9999;0.158092200810033;0.00236921868523235;0.0227725559152926
20180803;8.5;1977.98;-1;0.03;-1;0.009;0.0089048036735702;0.00720698871931451;1.23557896652531;0.9998;0.475981632148984;0.00351153543786325;0.0337523241757777
20180803;9;1974.06;0.01;0.03;0.01;0.016;0.0156014828850414;0.0157922163421024;0.987922312300617;0.9988;0.33209759579887;0.00616453230921667;0.0592525112089839
20180803;9.5;1977.98;0.04;0.04;0.04;0.04;0.0379722786683537;0.035485614075014;1.07007528707501;0.9937;0.321860528832752;0.0149740530042345;0.143928233152544
20180803;10;1998.84;0.03;0.06;0.06;0.039;0.0298922345134474;0.0770695043375844;0.387860733896921;0.9744;0.35577208931846;0.011664737007709;0.112119610317518
20180803;10.5;2037.82;0.08;0.11;0.1;0.089;0.0540675602652899;0.155936407466519;0.346728266629451;0.9135;0.403843233927284;0.0206950059411166;0.198917129473495
20180803;11;2115.5;0.18;0.21;0.22;0.189;0.0812378720094342;0.282428795250074;0.287640188874874;0.7818;0.493868597573629;0.0299529851890138;0.287903364218087
20180803;11.5;2271.56;0.38;0.42;0.41;0.392;0.126081464892316;0.446102553847317;0.282628879402176;0.5796;0.632536953158145;0.0432933942383236;0.416129269619677
20180817;4;1962.59;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119230200907984;0.00837477516954636
20180817;5;1963.4;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119181012529286;0.00837132015890802
20180817;6;1963.46;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119177370560134;0.008371064345594
20180817;7;1962.58;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119230808425644;0.00837481784182046
20180817;8;1964.06;0.01;0.02;0.01;0.013;0.0129743729370159;0.00256270629840973;5.06276234036927;0.9999;0.256270629840973;0.00515259762475301;0.0361920438930969
20180817;9;1980.25;0.01;0.03;0.04;0.016;0.0147435091616277;0.0287970748386386;0.511979402221975;0.9966;0.369556128933037;0.00580731581672495;0.0407908096549767
20180817;10;2009.38;0.06;0.07;0.08;0.063;0.0458699396200042;0.113868826534264;0.40283140712091;0.96;0.428251509499894;0.0178057674026831;0.125068395073654
20180817;11;2150.22;0.23;0.24;0.25;0.233;0.102043156200756;0.336570076912919;0.303185467753742;0.7712;0.572363827793898;0.0370165200940322;0.260005460852793
20180921;3.87;1964.46;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00119116703827006;0.00500084782446137
20180921;4.87;1967.85;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00118911502401098;0.00499223290252884
20180921;5.87;1968.9;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00118848087764742;0.00498957058115769
20180921;6.87;1970.13;-1;0.01;-1;0.003;0.00296414640585482;0.00358535941451825;0.826736196614503;0.9999;0.358535941451825;0.00117354397758867;0.0049268613541869
20180921;7.87;1974.44;0.01;0.02;0.03;0.013;0.0125183645066186;0.0181992949387858;0.687848872647247;0.9987;0.370488841062644;0.00494536390832969;0.0207620019254876
20180921;8.87;1985.83;0.02;0.03;0.04;0.023;0.01869722161885;0.0620062105335002;0.301537885608223;0.9911;0.483458245073037;0.00734394830509307;0.0308319209015545
20180921;9.87;2027.19;0.08;0.09;0.1;0.083;0.0534066060419965;0.171637619044585;0.311159094021943;0.9458;0.546003578560951;0.0205492098484884;0.0862712516914988
20180921;10.87;2172.46;0.27;0.28;0.29;0.273;0.121090215633524;0.403409467229004;0.300167015080944;0.7867;0.712188393654364;0.0434762288806923;0.182525202283596
