Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;19.5;1962.31;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238494427485973;0.0871100896392517
20180706;20.5;1962.34;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238490781414026;0.087108757911473
20180706;21;1962.4;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238483489604566;0.0871060945780677
20180706;21.5;1962.51;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238470122445236;0.0871012122231224
20180706;22;1962.67;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238450681979141;0.0870941115928811
20180706;22.5;1962.88;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238425171177046;0.087084793772416
20180706;23;1963.16;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238391165264166;0.0870723731127366
20180706;23.5;1963.7;-1;0.04;-1;0.012;0.0119195741741815;0.00551519715677263;2.16122358555113;0.9997;0.268086086061549;0.00473456630639181;0.172930034340961
20180706;24;1963.2;-1;0.04;-1;0.012;0.0116379341570707;0.0152786997936765;0.761709720999128;0.9992;0.452582303661563;0.0046238735954132;0.168886983072467
20180706;24.5;1963.8;-1;0.03;-1;0.009;0.00810742400732488;0.0287264174694146;0.282228858365544;0.9985;0.595050661783411;0.00322018063230136;0.117617097594807
20180706;25;2193.06;0.01;0.04;0.01;0.019;0.016531928199999;0.0483575793992493;0.341868397992139;0.9947;0.465673924528483;0.00587986831003222;0.214762190023927
20180706;25.5;2593;0.04;0.04;0.04;0.04;0.0332950006657771;0.0811962114586319;0.410056085963326;0.9872;0.523828072986162;0.0100154649129603;0.365814855945876
20180706;26;2998.08;0.02;0.05;0.04;0.029;0.0121365661032011;0.132150703019276;0.0918388311671015;0.9701;0.563994444708994;0.00315752800475532;0.115328710373688
20180706;26.5;3418.74;0.05;0.07;0.08;0.056;0.0150367035835263;0.208170826227205;0.0722325210311397;0.9302;0.586866710837732;0.0034306875618358;0.125305863196053
20180706;27;3860.4;0.1;0.13;0.16;0.109;0.0126053957662568;0.317049553551663;0.0397584403606571;0.8364;0.589209072333394;0.00254694039417684;0.0930269978973091
20180706;27.5;4347.87;0.22;0.24;0.29;0.226;0.00736200954054937;0.460863575417506;0.0159743792593719;0.662;0.646857959939203;0.00132073117218972;0.0482397060642295
20180713;19.5;1962.33;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238491996758955;0.0512407069507108
20180713;20;1962.34;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00357736172121039;0.0768606687454174
20180713;20.5;1962.37;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00357730703180338;0.0768594937274226
20180713;21;1962.46;-1;0.02;-1;0.006;0.00598920636459505;0.0010793635404951;5.54883145473657;0.9999;0.10793635404951;0.00238047194051555;0.0511451397807825
20180713;21.5;1962.63;-1;0.02;-1;0.006;0.00593920636459505;0.0060793635404951;0.976945419538336;0.9999;0.60793635404951;0.00236039445253774;0.0507137690464358
20180713;22;1962.9;-1;0.02;-1;0.006;0.00588920636459505;0.0110793635404951;0.531547353155259;0.9999;1.10793635404951;0.00234020121472522;0.0502799113928463
20180713;22.5;1963.36;-1;0.02;-1;0.006;0.00583920636459505;0.0160793635404951;0.363149097903613;0.9999;1.60793635404951;0.0023197890169832;0.0498413493207714
20180713;23;1964.28;-1;0.03;-1;0.009;0.00867244064898239;0.0216524766954623;0.400528806517541;0.9991;0.363954834464016;0.0034437573595446;0.0739901397396273
20180713;23.5;1964.6;-1;0.04;-1;0.012;0.0109354734787783;0.0335089728546147;0.326344633905194;0.9978;0.483875691464391;0.00434168243583788;0.0932823240993992
20180713;24;1967.63;0.01;0.03;0.01;0.016;0.0134293471052314;0.0534711678322495;0.251151183893386;0.996;0.642663223692152;0.00532360796596946;0.114379282915903
