Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180720;45;3539.97;-1;0.05;-1;0.015;0.00969861982928186;0.162473592965665;0.0596935148183215;0.9985;3.53425344714543;0.00213700214036838;0.0325225013237313
20180720;50;3976.59;0.1;0.1;0.1;0.1;0.0749849523829248;0.388820230519756;0.192852497110782;0.9921;3.16646172368041;0.0147081451340675;0.223839583759089
20180720;52.5;4227.69;-1;-1;-1;-1;-1.0564025032455;0.583530697404215;-1.81036320444633;0.9809;2.9530106411255;-0.19490406168179;-2.96619618871975
20180720;55;4519.81;0.2;0.3;0.4;0.23;0.0939209153328384;0.880676655461163;0.106646309687472;0.9513;2.79423171801153;0.0162082729051916;0.246669653275884
20180720;57.5;5915.18;0.45;0.5;0.75;0.465;0.135418304899632;1.33662854340317;0.101313342115862;0.8885;2.95588964215577;0.0178568154851945;0.271758410665303
20180720;60;8253.57;0.9;1;1.45;0.93;0.200116594882546;1.97504517982976;0.101322540327809;0.7815;3.34042748337508;0.0189119307170577;0.287815945600221
20180817;35;2748.14;-1;0.05;-1;0.015;0.0147833688208852;0.0212741935183729;0.69489679165125;0.9998;1.08315589557416;0.00419593895518075;0.0294724366034571
20180817;40;3181.59;-1;0.1;-1;0.03;0.025676835677009;0.125848762615876;0.204029305837369;0.9982;2.40175795721723;0.00629494429768355;0.0442159308601715
20180817;42.5;3403.54;-1;-1;-1;-1;-1.0111179846267;0.229164345696762;-4.41219589178434;0.9964;3.0883290629725;-0.231721098623441;-1.627617909081
20180817;45;3648.91;0.1;0.2;0.15;0.13;0.104747975629804;0.371734207739421;0.28178191150821;0.992;3.15650304627448;0.02239118558453;0.157276548745184
20180817;47.5;3909.52;0.2;0.3;0.3;0.23;0.172408145885132;0.576751230205219;0.298929827724486;0.9825;3.2909630922782;0.0343976635981918;0.24161051210076
20180817;50;4211.63;0.3;0.4;0.45;0.33;0.212329481416105;0.862932300243492;0.246055781381914;0.9684;3.72375058809794;0.039323728699948;0.276211382839538
20180817;52.5;4573.01;-1;-1;-1;-1;-1.22764753955351;1.24084420757063;-0.989364766393234;0.9391;3.73805483667512;-0.209394923879839;-1.47079799898291
20180817;55;5022.5;0.85;0.95;1.1;0.88;0.447121882785497;1.73423893202364;0.257820231416304;0.8929;4.04181248566296;0.0694385402832629;0.487738977662726
20180817;57.5;6610.13;1.3;1.45;1.75;1.345;0.562858801908399;2.35615623659946;0.238888573331941;0.8251;4.47193366547514;0.0664177354285848;0.466520728178665
20180817;60;9156.41;2.05;2.2;2.65;2.095;0.76021723225562;3.09362640980641;0.245736598913762;0.7258;4.86791673137994;0.0647600359922048;0.454876983579862
20180921;40;3215.24;0.1;0.2;0.1;0.13;0.0968889109669652;0.534785080691003;0.181173548898884;0.9925;4.41481187107131;0.0235047307679156;0.0986793438273696
20180921;42.5;3478.95;0.15;0.25;0.25;0.18;0.122519076783873;0.711633042972432;0.172166087555633;0.9885;4.99834114922842;0.0274694605819058;0.11532437330507
20180921;45;3751.39;0.25;0.35;0.35;0.28;0.182009743433775;0.937566897262873;0.194129873788348;0.9794;4.756808571176;0.037843999125216;0.158879548051553
20180921;47.5;4067.56;0.4;0.5;0.55;0.43;0.263783034317424;1.22760971588119;0.214875323081065;0.9653;4.79011428480047;0.05058333909459;0.212362811543667
20180921;50;4436.13;0.6;0.7;0.75;0.63;0.349548902877828;1.59655214624501;0.218939859684474;0.943;4.9201946863539;0.0614608102658637;0.258029436202376
20180921;52.5;4874.13;-1;-1;-1;-1;-1.46212534372711;2.0581475089239;-0.710408431556774;0.9091;5.08388716971518;-0.233981811750435;-0.982320192435014
20180921;55;5405.14;1.35;1.45;1.65;1.38;0.63794897171489;2.61998284195359;0.243493568545358;0.8641;5.46027246714577;0.0920605567917972;0.386495613427631
20180921;57.5;7079.36;1.9;2.1;2.35;1.96;0.802043122523514;3.28010794544715;0.244517295120352;0.7999;5.78689094191147;0.0883686711183413;0.370996058919243
20180921;60;9681.76;2.75;2.9;3.3;2.795;1.04562491483621;4.02855168734316;0.259553555716148;0.7258;6.3799237241568;0.0842395838744444;0.353661011610814
