Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;119;9371.66;-1;-1;-1;-1;-1.00017568007291;0.0131045409652884;-76.3228321176754;0.9998;0.878400364529938;-0.0832442737419909;-3.04049709842622
20180706;120;9460.65;-1;-1;-1;-1;-1.00037568007291;0.0268892915152884;-37.2034971432446;0.9998;1.87840036452994;-0.0824777399498836;-3.0124994516695
20180706;121;9543.61;0.04;0.07;0.08;0.049;0.048424319927094;0.0409181988664824;1.18344211789733;0.9998;2.87840036452994;0.00395772349699258;0.144555850727654
20180706;122;9625.19;0.04;0.08;0.08;0.052;0.0511770631273235;0.0552067271838969;0.927007735069127;0.9997;2.74312290892174;0.00414725415698935;0.151478458084036
20180706;123;9706.03;0.05;0.09;0.08;0.062;0.0608373312485638;0.0707215822170574;0.860237134710065;0.9995;2.32533750287249;0.00488903479320378;0.178571995821768
20180706;124;9931.5;0.06;0.1;0.09;0.072;0.0701159555415747;0.0890858056204002;0.787060913388861;0.999;1.88404445842529;0.00550676587851062;0.201134623712601
20180706;125;10722.66;0.07;0.1;0.1;0.079;0.0760063582808316;0.112908043487197;0.673170448564635;0.9987;2.30280132243726;0.00552894146219768;0.20194458690677
20180706;126;11514.54;0.08;0.12;0.11;0.092;0.0874261377831561;0.14225418215753;0.614576924609089;0.9983;2.69050718637879;0.0059222849953938;0.216311459456759
20180706;127;12309.09;0.09;0.13;0.12;0.102;0.0950294418464037;0.177602171705611;0.535069143208013;0.997;2.3235193845321;0.00602180702555549;0.219946501608414
20180706;128;13103.61;0.1;0.14;0.14;0.112;0.101520990352617;0.220691594592979;0.460012944941797;0.9958;2.49500229699584;0.00604309594646373;0.220724079444588
20180706;129;13899.88;0.12;0.15;0.15;0.129;0.113593915625131;0.272291085451118;0.41717823937179;0.9941;2.61120074150321;0.00637438986434431;0.232824589795176
20180706;130;14699.65;0.13;0.17;0.17;0.142;0.119034482243824;0.333950337733141;0.356443664803071;0.9899;2.27381363922532;0.00631626577164646;0.230701607309387
20180706;131;15502.01;0.15;0.19;0.21;0.162;0.125589580451838;0.411111815094998;0.305487645551654;0.9835;2.20669209382801;0.00631917233651853;0.230807769591339
20180706;132;16308.13;0.18;0.22;0.25;0.192;0.134770830964114;0.508898106246071;0.264828713862313;0.9735;2.15959128437305;0.00644594126684108;0.23543800477137
20180706;133;17126.73;0.22;0.27;0.32;0.235;0.144694533395313;0.631926777235177;0.228973575116383;0.9596;2.23528382684869;0.00658980062442416;0.240692467807092
20180706;134;17958.5;0.26;0.33;0.41;0.281;0.138416161525776;0.784796154297086;0.176372120031285;0.9352;2.20036787768864;0.00601189442270265;0.219584443789214
20180706;135;18806.56;0.35;0.42;0.52;0.371;0.147426741708568;0.973011123345865;0.151515988020379;0.9014;2.26747726461899;0.00611450783836506;0.223332398796284
20180706;136;19686.23;0.48;0.54;0.68;0.498;0.152401556695034;1.19936002228057;0.127069065054582;0.8533;2.3558176094408;0.00603839405625795;0.220552342904822
20180706;137;20606.13;0.67;0.71;0.92;0.682;0.15537252601198;1.46303030371438;0.106199116735666;0.7788;2.38077519886085;0.00588128728147131;0.21481401795574
20180706;138;21592.3;0.93;0.97;1.24;0.942;0.151256390560173;1.75926097623248;0.0859772328288065;0.6883;2.53687394751308;0.00546398413494326;0.199572020528803
20180713;120;9491.5;-1;-1;-1;-1;-1.00566222704276;0.202670594939613;-4.96205296748847;0.9984;3.53889190172359;-0.082644106526192;-1.77563293580539
