Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;44;3487.35;-1;-1;-1;-1;-1.02202850607079;0.255772287441668;-3.99585317195035;0.9836;1.34320158968202;-0.228592551575039;-8.3493429462783
20180706;45;4089.06;0.06;0.08;0.08;0.066;0.0181004404060291;0.360714539438343;0.0501794034535251;0.9625;1.27732158917256;0.00345271126290706;0.12611027887768
20180706;45.5;4494.41;0.08;0.1;0.09;0.086;0.0159669087142532;0.431165116173271;0.0370320049450305;0.9492;1.37860415916824;0.00277103975763616;0.101212227147661
20180706;46;4901.77;0.1;0.13;0.11;0.109;0.00915095144828241;0.514748280822915;0.0177775269762009;0.9306;1.438747097287;0.00145615606804487;0.0531861003853387
20180706;46.5;5318.19;0.14;0.16;0.13;0.146;0.00543343538900493;0.611797796021602;0.0088810967027627;0.9049;1.47809216205042;0.000796902631050009;0.0291068685991016
20180706;47;5740.32;0.19;0.21;0.15;0.196;-0.00104766244417418;0.722832814974397;-0.0014493841763552;0.8671;1.48267616587039;-0.00014235734357246;-0.00519960197398409
20180706;47.5;6176.27;0.25;0.28;0.19;0.259;-0.0156036303956791;0.848391014425024;-0.0183920269432063;0.82;1.52557572442044;-0.00197057960688728;-0.071975420141558
20180706;48;6627.45;0.34;0.37;0.25;0.349;-0.0294994121232846;0.987974509397664;-0.0298584749329914;0.762;1.59033366438355;-0.00347185440194373;-0.126809482030995
20180706;48.5;7098.17;0.46;0.49;0.33;0.469;-0.0436727924498105;1.13998040000139;-0.0383101257265099;0.6986;1.70097144143932;-0.00479909302127903;-0.175286872602217
20180706;49;7599.31;0.62;0.65;0.42;0.629;-0.053116141676199;1.30052912171987;-0.0408419471652861;0.6237;1.81269237756099;-0.00545188846190447;-0.199130226071061
20180706;49.5;8131.03;0.82;0.86;0.53;0.832;-0.0575379077395196;1.46557767905218;-0.0392595415186252;0.5444;1.95245370443266;-0.00551954279308098;-0.201601300517283
20180706;50;8554.49;1.06;1.11;0.69;1.075;-0.0643381640364454;1.62849341953593;-0.0395077826318635;0.457;2.09822866305054;-0.00586636584395182;-0.21426901245034
20180706;50.5;8768.15;1.28;1.41;0.88;1.319;-0.112850417999497;1.78385958917002;-0.0632619398323852;0.3746;2.28949539174848;-0.0100389849671376;-0.366673925924701
20180713;45;4152.29;0.15;0.16;0.13;0.153;0.0265507506902359;0.692551560976768;0.0383375797359968;0.93;1.80641784728234;0.00498750943175549;0.107158107055805
20180713;47;5870.44;0.35;0.38;0.28;0.359;-0.00501657226055711;1.12733480955928;-0.00444993999832071;0.8206;2.0290778832807;-0.000666547373490666;-0.0143209663627921
20180713;48;6801.3;0.57;0.6;0.42;0.579;-0.0130272853786963;1.41156603603131;-0.00922895921704315;0.7213;2.12424573153461;-0.00149402064243352;-0.0320994729205201
20180713;49;7807.61;0.89;0.92;0.61;0.899;-0.0258528248354349;1.72797604825514;-0.0149613328619574;0.607;2.35331507591714;-0.00258276263435791;-0.0554914148352487
20180713;50;8777.8;1.34;1.38;0.91;1.352;-0.0248002749745017;2.05611761776188;-0.0120617005371012;0.4875;2.68643956092586;-0.00220376569073245;-0.0473485540317663
20180720;26;2040.81;-1;0.01;-1;0.003;0.003;0;∞;1;0;0.00114660355447102;0.0174498728446058
20180720;27;2119.3;-1;0.01;-1;0.003;0.00295486996005771;0.00451300399422859;0.654745700167011;0.9999;0.451300399422859;0.00108752822575615;0.0165508201857265
20180720;28;2197.8;-1;0.01;-1;0.003;0.00285486996005771;0.0145130039942286;0.196711167528998;0.9999;1.45130039942286;0.00101319436201884;0.0154195516969743
20180720;29;2276.32;-1;0.01;-1;0.003;0.00275486996005771;0.0245130039942286;0.112384021179384;0.9999;2.45130039942286;0.000943979128086129;0.0143661823555608
20180720;30;2354.89;-1;0.01;-1;0.003;0.00265486996005771;0.0345130039942286;0.0769237577958057;0.9999;3.45130039942286;0.000879361060960392;0.013382776146491
20180720;31;2433.58;-1;0.02;-1;0.006;0.00549053936118156;0.0449748208158308;0.122080294297669;0.9998;2.54730319409219;0.00175980271933597;0.0267819976348942
20180720;32;2512.52;-1;0.02;-1;0.006;0.00505069026842959;0.0586317522604752;0.0861425775916023;0.9994;1.58218288595068;0.00156796300502089;0.0238624369826616
20180720;33;2593.55;-1;0.02;-1;0.006;0.00432873136387069;0.0775182954223926;0.0558414157623524;0.9992;2.08908579516164;0.00130184899609382;0.0198125144093029
20180720;34;2674.22;-1;0.01;-1;0.003;0.000371896104716812;0.101191823549545;0.00367515962922366;0.9988;2.19008657940266;0.000108472362662426;0.0016508137692688
20180720;35;2756.02;0.01;0.03;0.01;0.016;0.0120924741333633;0.129427048055779;0.0934308115267514;0.9987;3.00578912818209;0.0034223735038292;0.0520842467614007
20180720;36;2839.05;0.01;0.03;0.01;0.016;0.0107379111740441;0.160887153552203;0.0667418804855664;0.9986;3.75863487568278;0.00295013145797165;0.044897313126006
20180720;37;2921.01;0.02;0.03;0.02;0.023;0.0158619658509045;0.19520434944299;0.0812582603623644;0.9976;2.97418089545647;0.00423563540135278;0.0644610762643376
20180720;38;3005.28;0.02;0.04;0.04;0.026;0.0154600758274391;0.235453799986333;0.0656607615945736;0.9958;2.50950575537165;0.00401255761373398;0.061066111184014
