Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;90;7068;0.01;0.03;0.01;0.016;0.0143312758649361;0.0624238614894539;0.229580092019096;0.9989;1.51702194096717;0.00158154996811689;0.0577661125854693
20180706;91;7149.79;0.02;0.03;0.02;0.023;0.0201220677425207;0.0916211864721374;0.219622431419177;0.9986;2.05566589819953;0.00219519913720069;0.0801796484862552
20180706;92;7233.98;0.04;0.04;0.04;0.04;0.0356049970905912;0.124879348338535;0.285115173680036;0.9983;2.58529582906398;0.00383908964783717;0.140222749387253
20180706;93;7322.29;0.02;0.05;0.04;0.029;0.0224762379823954;0.162288718282421;0.138495381689325;0.9975;2.60950480704185;0.0023942599413938;0.0874503443594084
20180706;94;8099.84;0.04;0.06;0.06;0.046;0.0359803150805836;0.20634633608539;0.174368567735045;0.9957;2.3301592835852;0.00346483952310851;0.126553263581538
20180706;95;8901.3;0.05;0.08;0.08;0.059;0.0437442087908083;0.259547754851596;0.168540116310466;0.9936;2.3837173764362;0.0038332022128038;0.140007710822659
20180706;96;9707.17;0.08;0.11;0.12;0.089;0.0658754908656754;0.323810186167493;0.203438599771536;0.9897;2.24509797420628;0.00529329174983304;0.193337481162652
20180706;97;10521.85;0.12;0.15;0.16;0.129;0.0923707863986701;0.40349662271101;0.228925798134443;0.9832;2.18031033341249;0.00684758035810838;0.250107872579909
20180706;97.5;10930.88;0.14;0.17;0.18;0.149;0.102794952559334;0.450835041167184;0.228010121602803;0.9787;2.16925105355238;0.00733518829191069;0.267917752362038
20180706;98;11347.85;0.17;0.22;0.2;0.185;0.126492414024457;0.504063113665541;0.250945587159921;0.9721;2.09704609231336;0.00869451772265906;0.317567259820122
20180706;99;12197.96;0.25;0.29;0.29;0.262;0.167522089609435;0.631416901166255;0.265311380325763;0.9543;2.06735033677385;0.0107122199036035;0.391263831979118
20180706;99.5;12630.54;0.29;0.35;0.35;0.308;0.187691256784188;0.707157887091533;0.265416338006414;0.9423;2.08507353926884;0.0115908884569992;0.423357200891896
20180706;100;13069.09;0.36;0.42;0.4;0.378;0.225249440828743;0.791906826581908;0.284439321985621;0.9272;2.09822196663815;0.0134435193151489;0.491024542985813
20180706;101;13978.64;0.52;0.57;0.6;0.535;0.289427185117241;0.990726487122148;0.292136314996449;0.8841;2.11883360554581;0.0161498689709048;0.589873964162296
20180706;102;14938.88;0.74;0.81;0.86;0.761;0.369610015165746;1.23095686667159;0.300262361072929;0.8221;2.20005612610598;0.0192983551530825;0.70487242196634
20180706;103;15962.14;1.06;1.13;1.11;1.081;0.471393162165791;1.51123355504757;0.311926082233498;0.7381;2.32763206504089;0.023034923042231;0.841350564117487
20180706;104;17059.32;1.47;1.53;1.52;1.488;0.5631588587221;1.82104432887348;0.309250494231778;0.6282;2.48746944937574;0.0257492039426682;0.940489674005956
20180713;90;7115.19;0.05;0.08;0.08;0.059;0.0489777495025299;0.222905663785526;0.21972411409723;0.9961;2.56980781986414;0.00536916717782284;0.115358135982341
20180713;95;9032.4;0.21;0.26;0.24;0.225;0.16117189960678;0.58299165684235;0.276456614284557;0.9761;2.6706318156159;0.0139181260454905;0.299035031653848
20180713;97;10724.99;0.38;0.43;0.37;0.395;0.260153644769676;0.840530265176519;0.309511335341436;0.951;2.75196643327192;0.0189202827154475;0.406507838930423
20180713;97.5;11159;0.43;0.47;0.43;0.442;0.279984663906077;0.920003876875167;0.304329873975159;0.9397;2.6868214940949;0.0195705742312699;0.420479543410077
20180713;98;11593.73;0.48;0.54;0.49;0.498;0.302934809020152;1.00630690868088;0.30103620118961;0.9277;2.69799710898822;0.0203807705575098;0.43788684977238
20180713;98.5;12044.61;0.55;0.61;0.55;0.568;0.333997943255074;1.09998397394058;0.303638917627644;0.9143;2.73047907520334;0.0216294587984964;0.464715283891224
20180713;99;12496.62;0.61;0.69;0.62;0.634;0.35380409197019;1.20113496201967;0.294558149714733;0.9002;2.80757422875561;0.022083346675881;0.474467198433267
20180713;99.5;12955.51;0.71;0.8;0.71;0.737;0.402589932623054;1.30995422371362;0.307331298556176;0.8814;2.81964643656784;0.0242383470389033;0.520768015056437
20180713;100;13429.1;0.8;0.89;0.81;0.827;0.428916997009335;1.42650205554498;0.300677447566292;0.8637;2.92063831981412;0.0249127087941322;0.535256875709223
20180713;101;14398.08;1.04;1.12;1.03;1.064;0.506546404041724;1.68241337790352;0.301083200297028;0.8165;3.03789425590341;0.0274415890974731;0.589590612814826
20180713;102;15410.58;1.34;1.44;1.32;1.37;0.600922996535397;1.96647994102209;0.305583079694707;0.7591;3.19251558100707;0.0304154637461802;0.653485184311313
20180713;103;16473.49;1.7;1.8;1.65;1.73;0.686876100202586;2.27411173739072;0.302041491149726;0.6923;3.39006792264353;0.0325227597890925;0.698761059586237
20180713;104;17598.49;2.13;2.23;2.07;2.16;0.772942347882485;2.59877626491808;0.297425506888278;0.6173;3.62439940454015;0.0342583387181706;0.736050483341871
20180720;70;5494.28;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00127769243649759;0.0194448817679478
20180720;75;5887.55;-1;0.03;-1;0.009;0.00889429229759892;0.0105707702401082;0.84140437220475;0.9999;1.05707702401082;0.00117834209342208;0.0179328937342673
20180720;80;6285.84;-1;0.05;-1;0.015;0.0138234821240333;0.0743003796777591;0.186048606803703;0.9995;2.35303575193344;0.00171533415689008;0.0261052417001709
20180720;85;6700.94;0.03;0.07;0.04;0.042;0.0335102976363288;0.212874367460803;0.157418190062264;0.9976;3.537375984863;0.00390065157371003;0.0593630411373995
20180720;90;7158.61;0.12;0.14;0.13;0.126;0.0924906571379661;0.476643461231622;0.194045790325068;0.9907;3.60315514645526;0.0100777542801764;0.153370822951435
20180720;95;9129.45;0.35;0.38;0.36;0.359;0.21287351160483;0.984582497655107;0.216206881710585;0.9584;3.51265597103774;0.0181874416368749;0.27679012741119
20180720;96;9982.93;0.44;0.48;0.42;0.452;0.257320642585555;1.13643947385695;0.22642705441429;0.9446;3.51406782336544;0.0201053299198464;0.305977989717663
20180720;97;10849.83;0.55;0.58;0.53;0.559;0.299890056922044;1.30871121320641;0.229149146042158;0.9252;3.46403667216518;0.0215592543292563;0.328104901823369
20180720;98;11747.86;0.69;0.73;0.66;0.702;0.356565956525201;1.50373012766948;0.237120976672734;0.9015;3.50694460380507;0.0236742220361544;0.360292066612725
20180720;99;12667.9;0.85;0.91;0.83;0.868;0.408017913419602;1.7231315511741;0.236788603366696;0.8695;3.52476694697623;0.0251228674419035;0.38233863888147
20180720;100;13617.11;1.06;1.13;1.04;1.081;0.474030406669027;1.96810156113992;0.240856679364895;0.8341;3.65864733773944;0.0271528773140439;0.413232851623106
20180720;101;14616.17;1.34;1.4;1.32;1.358;0.56355694566499;2.23706431038854;0.251918079890653;0.7886;3.75800877168879;0.030074528253208;0.45769672685351
20180720;102;15653.56;1.65;1.72;1.61;1.671;0.640164418121419;2.52785066928029;0.253244555108028;0.7377;3.92998696865643;0.0318987020291044;0.485458371505432
20180720;103;16730.9;2.04;2.1;1.96;2.058;0.736593533091567;2.83714076060983;0.259625304221156;0.6804;4.13456341335555;0.0343402301018727;0.522615376862875
20180720;104;17856.39;2.48;2.54;2.39;2.498;0.824309298129562;3.15892892027692;0.260945820223553;0.6162;4.36084080737477;0.0360073482120999;0.547986830602895
20180727;90;7212.86;0.18;0.22;0.22;0.192;0.127577286878619;0.719041577512321;0.177426856622117;0.9853;4.38249749125039;0.013796231143447;0.162550755649807
20180727;95;9228.6;0.45;0.52;0.47;0.471;0.249081735402833;1.31256478460136;0.189767193455888;0.9403;3.71722386259911;0.0210523539447164;0.248044267042183
20180727;97;10991.52;0.7;0.76;0.7;0.718;0.345603608280706;1.67331246105191;0.206538597138903;0.9055;3.94070255787612;0.0245253444891108;0.288963937891862
20180727;98;11898.34;0.86;0.93;0.83;0.881;0.403275262528328;1.8860031722168;0.213825336282081;0.8834;4.0971246781447;0.0264368562986178;0.311485863324843
20180727;98.5;12371.8;0.95;1.04;0.93;0.977;0.437263637516113;2.00052407304045;0.218574544245073;0.8691;4.1232724406714;0.0275679882686891;0.324813152101249
20180727;99;12845.7;1.05;1.13;1.03;1.074;0.465487364938384;2.12054971253196;0.219512592507245;0.8555;4.21116010423264;0.0282647224092061;0.333022253547179
20180727;99.5;13319.39;1.16;1.24;1.12;1.184;0.499368773765794;2.24593941466983;0.222342940554879;0.8394;4.26295906746081;0.0292436548173241;0.344556287807343
20180727;100;13815.31;1.29;1.37;1.22;1.314;0.544715789034732;2.37642494104293;0.229216492230415;0.8213;4.30489205912294;0.0307541644340294;0.362353501920298
