Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;35;2747.13;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00170359611667449;0.0622238481615359
20180706;35.5;2786.4;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00167958656330749;0.0613468992248062
20180706;36;2825.68;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00165623849834376;0.0604941111520059
20180706;36.5;2865;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00163350785340314;0.0596638743455497
20180706;37;2904.56;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00161125953672845;0.0588512545790068
20180706;37.5;2944.43;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00158944175952561;0.058054360266673
20180706;38;2983.7;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00156852230452123;0.057290277172638
20180706;38.5;3022.88;0.01;0.02;0.01;0.013;0.013;0;∞;1;0;0.0033544169798338;0.12252008018843
20180706;39;3250;0.01;0.02;0.01;0.013;0.013;0;∞;1;0;0.00312;0.113958
20180706;39.5;3642.94;0.03;0.02;0.03;0.027;0.0269413916140797;0.00422579976712296;6.37545390193017;0.9998;0.293041929601742;0.00576849617588599;0.210694322824236
20180706;40;4035.78;0.03;0.03;0.03;0.03;0.029815808594732;0.0115322027506624;2.58543916018294;0.9997;0.613971350893406;0.00576253678443596;0.210476656051523
20180706;40.5;4429.07;0.03;0.02;0.03;0.027;0.0265066536210876;0.0208340847825381;1.27227348346513;0.9985;0.328897585941614;0.00466806571683182;0.170501100307282
20180706;41;4824.49;0.04;0.03;0.04;0.037;0.0352303488317271;0.0382097297850352;0.922025594787771;0.996;0.44241279206823;0.00569587087728384;0.208041683792792
20180706;41.5;5225.45;0.01;0.03;0.04;0.016;0.0106245752895191;0.0688339078545921;0.154350895084483;0.989;0.488674973680079;0.0015859244133663;0.0579258891982041
20180706;42;5637.31;0.04;0.05;0.07;0.043;0.0279377034344975;0.118185647592365;0.236388292518036;0.969;0.48588053437105;0.0038655686273964;0.141189894115654
20180706;42.5;6066.44;0.07;0.1;0.12;0.079;0.0362932818823935;0.197085121985664;0.184150287534304;0.9118;0.484203153260845;0.00466645345017291;0.170442212267565
20180706;43;6528.57;0.16;0.19;0.22;0.169;0.0566453962156449;0.317462096378176;0.178431998219297;0.7948;0.547537055479314;0.00676770089747112;0.247190275280132
