Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;157.5;12362.69;0.01;0.04;0.01;0.019;0.0181684746247376;0.0831525375262376;0.218495732845252;0.9999;8.31525375262376;0.00114630474494591;0.0418687808091493
20180706;160;12559.93;0.01;0.04;0.01;0.019;0.0177687646352768;0.109182316883809;0.162743978534419;0.9998;6.15617682361609;0.00110348038687444;0.0403046211305889
20180706;162.5;12756.33;0.03;0.04;0.03;0.033;0.0309114740094437;0.141106231977363;0.219065264349222;0.9995;4.17705198111264;0.00189011649333045;0.0690365049188948
20180706;165;12954.07;0.05;0.04;0.05;0.047;0.042764021126658;0.187045657927279;0.228628782942848;0.9988;3.52998239445169;0.00257493872418423;0.094049636900829
20180706;167.5;13155.71;0.1;0.08;0.1;0.094;0.0856442997177803;0.256488067354483;0.33391143923828;0.9981;4.39773699064193;0.00507783721136059;0.185468004144946
20180706;170;13362.36;0.16;0.06;0.16;0.13;0.116358480583416;0.346902581240288;0.335421201443349;0.9978;6.20069064390162;0.00679218452841151;0.24808453990023
20180706;172.5;13570.82;0.17;0.06;0.17;0.137;0.116358281975596;0.451906669945274;0.257482993091665;0.9963;5.57884270929834;0.00668783905032747;0.244273321313211
20180706;175;13783.95;0.04;0.06;0.18;0.046;0.0154148218825764;0.575292661274075;0.0267947479956338;0.9955;6.79670624831636;0.000872287048952556;0.0318602844629921
20180706;177.5;15405.24;0.06;0.12;0.19;0.078;0.0323413290693288;0.718690643506812;0.0450003480099881;0.9923;5.92969752346379;0.00163751013772434;0.0598100577803814
20180706;180;17396.92;0.09;0.14;0.29;0.105;0.0358980852732854;0.892601249538993;0.040217381828477;0.9885;6.0088621501491;0.0016095094139171;0.0587873313433219
20180706;182.5;19402.18;0.13;0.18;0.39;0.145;0.0356204072445129;1.10708431203257;0.0321749724545506;0.9788;5.15941475261731;0.00143199978820525;0.0523037922641967
