Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;139;10933.37;0.03;0.35;0.03;0.126;0.124566020714534;0.08991115981887;1.38543447738276;0.9996;3.5849482136656;0.00888669240658062;0.324586440150357
20180706;140;11018.05;0.05;0.05;0.05;0.05;0.0479346740461804;0.107381143895605;0.446397498733874;0.9993;2.95046564831373;0.00339343583991911;0.123945244053045
20180706;141;11098.67;0.07;0.31;0.07;0.142;0.13923467404618;0.127900208330382;1.08861960323411;0.9993;3.95046564831373;0.00978523064079035;0.357405549154868
20180706;142;11178.67;0.09;0.34;0.09;0.165;0.161514255306877;0.150290782662855;1.07467838309951;0.9991;3.87304965902596;0.0112697770968607;0.411628608462837
20180706;143;11258.76;0.12;0.3;0.12;0.174;0.169301564976437;0.175084858779297;0.966968623996492;0.9985;3.13229001570878;0.0117291087723356;0.428405697909556
20180706;144;11705.69;0.12;0.33;0.12;0.183;0.1763323685337;0.204594028590485;0.861864687588935;0.9977;2.89897020273907;0.0117497770277776;0.429160605939577
20180706;145;12495.46;0.13;0.25;0.13;0.166;0.156526474968292;0.24031638065963;0.651335021518933;0.9967;2.87076516112352;0.00977080079286942;0.356878498959555
20180706;146;13285.62;0.13;0.31;0.13;0.184;0.170380870156938;0.283755045789557;0.600450538889442;0.9949;2.6704176162867;0.0100030769149209;0.365362384317486
20180706;147;14082.04;0.07;0.11;0.15;0.082;0.0624033390992731;0.336458315194107;0.185471234566671;0.993;2.79952298581813;0.00345650236027117;0.126248748708904
20180706;148;14877.67;-1;-1;-1;-1;-1.02780893440334;0.399723968035218;-2.57129673623371;0.9906;2.95839727695149;-0.0538855189579153;-1.96816857993786
20180706;149;15677.98;-1;-1;-1;-1;-1.03873760728103;0.474461921653036;-2.18929604226625;0.9873;3.05020529771921;-0.0516785538493611;-1.88755917934791
20180706;150;16480.3;0.12;0.17;0.27;0.135;0.0809179638919909;0.56186809602539;0.144015943358233;0.9826;3.10816299471317;0.00382978537015424;0.139882910644884
20180706;152.5;18503.04;0.19;0.23;0.41;0.202;0.0806248320318895;0.848624387387253;0.0950064990238113;0.9609;3.10422424470871;0.00339875874369151;0.124139663113333
20180706;155;20579.16;0.31;0.42;0.73;0.343;0.0731184940062462;1.26255684493871;0.0579130312424036;0.9161;3.21670448145118;0.0027713679919332;0.10122421590536
20180706;157.5;22770.27;0.57;0.73;1.21;0.618;0.0360769878590849;1.83431005566781;0.0196678788014116;0.8266;3.35595739412292;0.00123582419225096;0.0451384786219663
20180713;140;11040.18;0.13;0.19;0.13;0.148;0.135777032147823;0.294539615711998;0.460980543549654;0.9967;3.70392965217479;0.00959278608458396;0.206103830434958
20180713;141;11125.14;0.13;0.16;0.13;0.139;0.12322915317765;0.338471875317153;0.364075015279137;0.9963;4.26239103306745;0.00863977796940689;0.185628170783874
20180713;142;11213.09;0.15;0.2;0.15;0.165;0.145175762979107;0.387179279132979;0.374957470100681;0.9953;4.21792277040273;0.0100986521220916;0.216972511034938
20180713;143;11303.89;0.08;0.16;0.17;0.104;0.0790361383417754;0.44076365110282;0.17931637090314;0.9939;4.09243633741386;0.00545371442101656;0.117174658369194
20180713;144;11756.34;0.09;0.15;0.19;0.108;0.076027747638674;0.500512407203261;0.151899826147164;0.9922;4.09900671299052;0.00504422661799214;0.108376692483625
20180713;145;12554.73;0.11;0.16;0.21;0.125;0.0842681937319801;0.567593882091877;0.148465648398831;0.9897;3.95454429786601;0.00523541255852929;0.112484378647225
20180713;146;13356.07;0.11;0.17;0.24;0.128;0.0754666672526779;0.643223165904345;0.117325791813756;0.9862;3.80676324255957;0.00440728451236694;0.0946918040083545
20180713;147;14158.13;0.14;0.19;0.28;0.155;0.0866794603551977;0.729357306215495;0.118843616998864;0.9821;3.81678992429063;0.00477534667904972;0.102599727913112
20180713;148;14963.44;0.16;0.21;0.31;0.175;0.085797314979278;0.827716738748741;0.103655406448561;0.9759;3.70135622492622;0.00447236101349936;0.0960899917753318
