Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;70;5494.39;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00127766685655732;0.0466667819357563
20180706;75;5886.99;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00119245998379477;0.0435546009081041
20180706;78.5;6933.22;0.01;0.03;0.01;0.016;0.0158048639848648;0.0193188235378349;0.81810695945909;0.9998;0.975680075675875;0.00177807626300544;0.0649442355062736
20180706;79;7329.55;0.01;0.04;0.01;0.019;0.0186770558164084;0.0250208906370535;0.746458472934995;0.9997;1.07648061197186;0.00198758498636323;0.0725965416269168
20180706;79.5;7726.32;0.02;0.03;0.02;0.023;0.0225077201079386;0.0320566679496799;0.702122882617417;0.9996;1.23069973015359;0.0022722359006865;0.0829934162725742
20180706;80;8123.07;0.04;0.03;0.04;0.037;0.0360265408893209;0.041293896694976;0.872442268053236;0.9985;0.648972740452719;0.00345936965872143;0.1263534767848
20180706;80.5;8522.12;0.05;0.04;0.05;0.047;0.0451094977102538;0.0557261586893246;0.809485146136501;0.9978;0.859319222611931;0.00412871541517814;0.150801330539382
20180706;81;8919.51;0.02;0.05;0.08;0.029;0.0257248939717854;0.074949671929972;0.343228906936657;0.9965;0.935744579489899;0.0022496098213907;0.0821669987262954
20180706;81.5;9320.85;0.02;0.06;0.1;0.032;0.026359986884548;0.0996974555409555;0.26439979577733;0.9935;0.867694325454148;0.00220589214180547;0.0805702104794446
20180706;82;9722.96;0.12;0.08;0.12;0.108;0.098388268901996;0.131826957137014;0.746344078925651;0.9903;0.990900113196288;0.00789295129709028;0.288290046126222
20180706;82.5;10130.32;0.06;0.1;0.16;0.072;0.0560769526966024;0.1725184336217;0.325049048495122;0.9846;1.03396411061023;0.00431773360598183;0.157705219958486
20180706;83;10541.54;0.08;0.12;0.2;0.092;0.0664630976570598;0.223154097163602;0.297834987131485;0.9767;1.09600439240087;0.00491780291802778;0.179622751580965
20180706;83.5;10960.25;0.11;0.16;0.26;0.125;0.0842845044450216;0.285094202044373;0.295637385259428;0.9617;1.06306776905949;0.00599821294834669;0.219084727938363
20180706;84;11391.18;0.15;0.2;0.34;0.165;0.0997581251147558;0.36163393657537;0.275853881578298;0.94;1.08736458142074;0.00683084084260889;0.24949646177629
20180706;84.5;11835.35;0.22;0.27;0.42;0.235;0.131870462130657;0.455139718891727;0.289736220894462;0.9057;1.09363242703439;0.0086908254054094;0.317432397932578
