Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;52;4081.99;-1;0.04;-1;0.012;0.012;0;∞;1;0;0.00229299924791585;0.0837517975301262
20180706;52.5;4121.65;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00170320138779372;0.0622094306891657
20180706;53;4161.85;-1;0.03;-1;0.009;0.00899905900385658;9.40996143418005E-05;95.6333250332894;0.9999;0.00940996143418005;0.00168657352451629;0.0616020979829576
20180706;53.5;4203.48;-1;0.03;-1;0.009;0.00894905900385658;0.0050940996143418;1.75674990309605;0.9999;0.50940996143418;0.00166059218148014;0.0606531294285621
20180706;54;4244.02;-1;0.04;-1;0.012;0.0118875161312358;0.0101597684804559;1.17005777780306;0.9998;0.562419343820764;0.00218478296105201;0.0797991976524247
20180706;54.5;4638.01;0.01;0.03;0.01;0.016;0.0157475412577307;0.0167824738854473;0.938332534596463;0.9997;0.84152914089758;0.00264835181058902;0.0967310498817638
20180706;55;5033.23;0.01;0.04;0.01;0.019;0.0185749537979864;0.0247816146407806;0.749545744586774;0.9996;1.06261550503396;0.00287856187029589;0.105139472312558
20180706;55.5;5430.79;0.02;0.04;0.02;0.026;0.0251550282087843;0.034929568652166;0.720164295737001;0.9987;0.649978300935116;0.00361290383219601;0.131961312470959
20180706;56;5830.35;0.04;0.05;0.04;0.043;0.0411243582302496;0.05034973844012;0.816774019177042;0.9974;0.721400680673225;0.00550172792707036;0.200950612536245
20180706;56.5;6231.38;0.02;0.06;0.06;0.032;0.0284320062683607;0.0718573630601152;0.395672830974535;0.9956;0.810907666281655;0.00355891710813999;0.129989447374813
20180706;57;6635.82;0.04;0.07;0.07;0.049;0.0426637731628437;0.0999624668675299;0.426797922257978;0.9934;0.96003436926611;0.00501486524152525;0.18316795294671
20180706;57.5;7043.83;0.06;0.09;0.09;0.069;0.0584711363604985;0.134780699866905;0.4338242524207;0.9888;0.940077110669773;0.00647481361151375;0.23649256716054
20180706;58;7460.3;0.09;0.12;0.12;0.099;0.0805868950195277;0.17894481809509;0.450344949227334;0.979;0.876814522879632;0.00842563678608523;0.307746383611763
20180706;58.5;7884.92;0.13;0.16;0.16;0.139;0.106072813944262;0.23717990778653;0.447225125155758;0.9626;0.880406044271072;0.0104930417653602;0.383258350479783
20180706;59;8322.58;0.19;0.21;0.21;0.196;0.137731985015187;0.313614675989578;0.439175828046274;0.9336;0.877530346156825;0.012908370759049;0.471478241974263
20180706;59.5;8778.5;0.27;0.31;0.28;0.282;0.17799901266773;0.412089131151855;0.431942992939887;0.879;0.859512292002233;0.0158158261526262;0.577673050224673
