Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;85;6690.32;0.05;0.04;0.05;0.047;0.0460923497807434;0.055466957064683;0.830987532396858;0.9997;3.02550073085529;0.00537373889873427;0.196275813276269
20180706;86;6773.42;0.05;0.04;0.05;0.047;0.0455132205906265;0.0733113794638214;0.620820681911831;0.999;1.48677940937345;0.00524112074265123;0.191431935125336
20180706;87;6854.5;0.02;0.05;0.06;0.029;0.0263800271967067;0.0971659155229634;0.271494659981589;0.9988;2.18331066941104;0.00300188507016285;0.109643852187698
20180706;88;6935.95;0.02;0.05;0.08;0.029;0.0249255802529602;0.126714372866546;0.196706811461802;0.9984;2.54651234189988;0.00280306988910084;0.102382127699408
20180706;89;7534.2;0.03;0.06;0.09;0.039;0.0327667801304369;0.161810515021762;0.202500932192386;0.9974;2.39739225752426;0.00339227635339396;0.123902893807714
20180706;90;8326.33;0.04;0.07;0.11;0.049;0.0394534037283437;0.204212918550293;0.193197394211998;0.9961;2.44784519786059;0.00369594466086596;0.134994378738129
20180706;90.5;8753.87;0.04;0.07;0.12;0.049;0.0371043668899916;0.228735403656479;0.162215233395684;0.9947;2.24445907736007;0.00330612702429822;0.120756289562493
20180706;91;9135.95;0.05;0.08;0.14;0.059;0.0442350174898007;0.255974416873733;0.172810306709756;0.9936;2.30702851721864;0.00377665307297485;0.137942253490406
20180706;91.5;9551.79;0.06;0.09;0.16;0.069;0.0504555035477366;0.2862750587162;0.176248338831906;0.9913;2.13155131635211;0.00412020079662917;0.150490334096881
20180706;92;9937.92;0.07;0.1;0.18;0.079;0.0553323720507206;0.320487459744542;0.172650661884947;0.9881;1.98887629825878;0.00434288565409684;0.158623898515887
20180706;92.5;10341.22;0.09;0.12;0.21;0.099;0.0686697222753252;0.359485470180546;0.191022246993284;0.9847;1.982371093116;0.00517950332501906;0.189181358946321
20180706;93;10749.38;0.1;0.13;0.24;0.109;0.0699978499584817;0.403912346217461;0.173299604763247;0.9809;2.04199738437269;0.00507920670472304;0.185518024890009
20180706;93.5;11155.8;0.13;0.14;0.29;0.133;0.0834800338395604;0.454140460604801;0.183819855487851;0.9755;2.02122310858937;0.00583682267473934;0.213189948194854
