Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;55;4323.8;0.01;0.05;0.01;0.022;0.022;0;∞;1;0;0.00396873120865905;0.144957907396272
20180706;60;4751.91;0.05;0.06;0.08;0.053;0.0526556712074779;0.0209957392761791;2.5079217509249;0.9995;0.688657585044265;0.00864314003039467;0.315690689610165
20180706;63;5025.14;0.08;0.11;0.15;0.089;0.0770670050309282;0.157312362546308;0.489897957054978;0.9902;1.21765254786446;0.0119623063087046;0.436923237925437
20180706;64;5128.04;0.11;0.15;0.21;0.122;0.095385033600993;0.247125716058114;0.385977773266471;0.9795;1.298291043854;0.0145085307854023;0.52992408693682
20180706;64.5;5184.58;0.13;0.17;0.24;0.142;0.103214159140296;0.304424435639422;0.339046893274194;0.9717;1.37052441200368;0.0155281708700475;0.567166441028484
20180706;65;5543.31;0.16;0.2;0.28;0.172;0.1166915165101;0.37115173208425;0.314403804219918;0.9619;1.4516662333307;0.0164196811792734;0.599728855072962
20180706;65.5;5962.56;0.19;0.23;0.32;0.202;0.124411814746722;0.448030059524422;0.277686311670211;0.9495;1.5363997079857;0.0162750924942379;0.594447753352039
20180706;66;6385.24;0.21;0.27;0.38;0.228;0.121663966885217;0.535510311305399;0.227192575598853;0.9345;1.6234508872486;0.0148620716168021;0.542837165803695
20180706;66.5;6813.91;0.26;0.32;0.45;0.278;0.135277870701128;0.633751468570699;0.213455711599722;0.9193;1.76855178809012;0.015485490584243;0.565607543589477
20180706;67;7250.27;0.32;0.37;0.52;0.335;0.146987209682518;0.742414543779076;0.197985358603451;0.8986;1.85416952975821;0.0158132074463936;0.577577401979525
20180706;67.5;7695.84;0.39;0.43;0.6;0.402;0.157318331399065;0.86139229509053;0.182632619650413;0.8734;1.93271460190312;0.0159447569714639;0.582382248382719
20180706;68;8152.32;0.45;0.51;0.7;0.468;0.153964672326082;0.990753976360678;0.155401518439157;0.8483;2.07010763133763;0.01473107586728;0.538052546052401
20180706;68.5;8613.45;0.54;0.62;0.8;0.564;0.166073186310392;1.12982136561345;0.146990658315459;0.8158;2.1602975770337;0.0150389315921153;0.549296976402013
20180706;69;9093.03;0.62;0.72;0.9;0.65;0.151376533175031;1.27793602795529;0.118453920903408;0.7818;2.2851671256873;0.0129850771279237;0.474279942097414
20180706;69.5;9575.6;0.75;0.84;1.05;0.777;0.160871874352622;1.43460011606121;0.112137084440162;0.7467;2.43240475976067;0.0131041461626473;0.478628938590692
20180706;70;10079.17;0.88;0.95;1.2;0.901;0.147729483763521;1.59793263116563;0.0924503830025412;0.7068;2.56913545783247;0.0114323895058369;0.417568026700694
20180706;70.5;10589.55;1.04;1.14;1.34;1.07;0.160790405258457;1.76744810711018;0.0909731972393538;0.6689;2.74602716623843;0.0118434226290632;0.432581011526534
20180706;71;11119.67;1.21;1.3;1.54;1.237;0.152918700455078;1.94178469928757;0.0787516249928137;0.6335;2.95792987597523;0.0107266300488199;0.391790162533147
20180706;71.5;11658.27;1.38;1.49;1.74;1.413;0.136904052025624;2.12038730278378;0.0645655875442603;0.5987;3.17990517810709;0.00915960606333418;0.334554611463281
20180706;72;12225.05;1.58;1.7;1.95;1.616;0.129934080337138;2.30123837279401;0.0564626776057887;0.5624;3.39594588588405;0.00829023870356094;0.302800968647563
20180713;60;4747.75;0.04;0.06;0.11;0.046;0.0443279112076752;0.0467022373544356;0.949160334038368;0.9976;0.696703663468672;0.00728255926322714;0.15646792769963
20180713;65;5582.59;0.21;0.24;0.36;0.219;0.14208530126697;0.475971220178687;0.29851658092611;0.9548;1.70165262683694;0.01985217166015;0.426529746992341
20180713;65.5;6006.57;0.25;0.28;0.41;0.259;0.156801615094231;0.557790319234643;0.281112112718956;0.9434;1.80562517501358;0.0203619136667849;0.437481703929012
20180713;66;6433.23;0.29;0.32;0.47;0.299;0.164927632034247;0.648927429654598;0.254154200450475;0.9291;1.89100660036324;0.0199967283909812;0.429635590870935
20180713;66.5;6871.43;0.34;0.41;0.54;0.361;0.187594726203014;0.749732274548384;0.250215620390645;0.9129;1.99087570375415;0.021294532060772;0.457519284423351
20180713;67;7310.38;0.4;0.44;0.61;0.412;0.190349240482163;0.860095663552315;0.221311708160455;0.8937;2.08514355143779;0.0203098070929401;0.436362178864492
20180713;67.5;7764.57;0.47;0.51;0.7;0.482;0.201025503238514;0.979937760784349;0.205141092917587;0.8694;2.15141268576942;0.0201942789524779;0.433880022787797
20180713;68;8221.36;0.56;0.59;0.8;0.569;0.215727282423169;1.10922400928612;0.194484865651266;0.8414;2.2274446253268;0.0204670857729223;0.439741357562344
20180713;68.5;8688.63;0.65;0.68;0.89;0.659;0.218648686018384;1.24774852297932;0.175234578115391;0.8103;2.32130371102592;0.0196286382426619;0.421727065772485
