Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;190;14954.7;0.04;0.08;0.15;0.052;0.0462394095399769;0.333551827850549;0.138627360665206;0.9993;8.2294149428901;0.00241173272892014;0.0880885379238081
20180706;195;15355.92;0.04;0.1;0.18;0.058;0.0484420112763192;0.43217929664279;0.112087764621353;0.9991;10.6199874707565;0.00246059948186295;0.0898733960750443
20180706;200;15770.77;0.07;0.12;0.22;0.085;0.0693764931382264;0.556090803341574;0.124757490541724;0.9983;9.19029815398447;0.00343126332118321;0.125326892806217
20180706;205;16197.9;0.11;0.16;0.33;0.125;0.0974999530429401;0.720204292582842;0.135378189281932;0.9969;8.87098288937417;0.00469505080124542;0.171486730515489
20180706;207.5;16421.65;-1;-1;-1;-1;-1.03847433519099;0.82497754570519;-1.25879103085563;0.9942;6.6335060674114;-0.0493257365398099;-1.80162252711656
20180706;210;16645.31;0.2;0.25;0.52;0.215;0.159550543425798;0.954453535916743;0.167164285553776;0.9913;6.37350075565542;0.00747654587821569;0.273080838201828
20180706;212.5;16879.4;0.26;0.3;0.63;0.272;0.189100247915853;1.11721107000518;0.169260986569866;0.9868;6.28028424879902;0.00873835523622672;0.319168425003181
20180706;215;17125.48;0.34;0.37;0.78;0.349;0.226056440446331;1.32210411345474;0.170982328960184;0.9807;6.37013261936111;0.0102960047571302;0.37606157375418
20180706;217.5;18590.01;0.43;0.47;0.97;0.442;0.261782745512426;1.57477147104118;0.166235387372965;0.9724;6.52961066983964;0.0109838855116104;0.401186418311569
20180706;220;20653.24;0.56;0.59;1.21;0.569;0.309127005809916;1.88022790540932;0.164409327678082;0.9623;6.89318286976351;0.0116746362571555;0.426416089292604
20180706;222.5;22730.04;0.72;0.76;1.5;0.732;0.36171894921315;2.24204030382061;0.161334722037224;0.9488;7.23205177318066;0.012412682968717;0.45337324543239
20180706;225;24833.19;0.92;0.97;1.85;0.935;0.413224269389633;2.66459559038322;0.155079544108306;0.9279;7.23683398904809;0.0129791996164775;0.474065265991842
20180706;227.5;26986.66;1.2;1.24;2.29;1.212;0.479461480189816;3.15351041356729;0.152040557128664;0.9017;7.45207039481367;0.0138579562846257;0.506161853295953
20180706;230;29201.99;1.55;1.6;2.84;1.565;0.546580217946943;3.71307611759719;0.14720415112326;0.8681;7.72115073580786;0.0145994355178745;0.533244382290365
20180706;232.5;31492.81;2;2.04;3.49;2.012;0.611149026366192;4.34306155389289;0.14071848137137;0.821;7.8259830929263;0.0151366689909738;0.552866834895318
20180706;235;33869.78;2.56;2.62;4.26;2.578;0.664946252257975;5.03945552989269;0.131948034527479;0.7684;8.26016298679631;0.0153132992526441;0.559318255202826
20180706;237.5;36354.71;3.25;3.4;5.21;3.295;0.722728077319914;5.79527882417269;0.124709802452531;0.7038;8.68424011708334;0.0155063236733159;0.566368472167861
20180713;200;15890;0.24;0.3;0.44;0.258;0.201258815486617;0.919555953438227;0.218865219385628;0.9922;7.27451083504905;0.00987928735554195;0.21225939450657
20180713;205;16380.35;0.38;0.44;0.66;0.398;0.28604694142042;1.28613272934157;0.222408570200107;0.9858;7.88401820982958;0.0136209918779469;0.292651016671771
20180713;210;16904.04;0.57;0.62;0.96;0.585;0.375056731700289;1.78387977975753;0.21024776218455;0.9739;8.04380338313071;0.0173061735967393;0.371828229777002
20180713;215;17494.07;0.85;0.91;1.41;0.868;0.478362148898719;2.44617082797141;0.195555495727754;0.9521;8.13440190190566;0.02132851166944;0.458249346309587
20180713;217.5;19042.89;1.05;1.1;1.69;1.065;0.539437296603502;2.8518664180452;0.189152371650443;0.9377;8.435998449382;0.0220954430420347;0.474727092417833
20180713;220;21170.37;1.28;1.34;2.02;1.298;0.59676388373463;3.31169016446023;0.180199189567571;0.9207;8.84282618241325;0.0219871371786611;0.472400109088586
20180713;222.5;23355.68;1.57;1.63;2.43;1.588;0.662512904041786;3.82721418598329;0.173105781868222;0.8997;9.22718939140792;0.0221256698650004;0.475376524599494
20180713;225;25569.43;1.91;1.97;2.91;1.928;0.724266042791762;4.39919561899942;0.164636016562612;0.8758;9.69189981649145;0.0220938641720826;0.474693169932539
20180713;227.5;27820.17;2.33;2.39;3.45;2.348;0.795696015099401;5.02496316771891;0.158348626356322;0.8439;9.94429202370659;0.0223090977437425;0.479317526523644
20180713;230;30156.97;2.82;2.89;4.1;2.841;0.85452576096469;5.7027655692354;0.149844097673344;0.8066;10.2713249174525;0.0221020246249029;0.474868499661517
20180713;232.5;32540.23;3.4;3.5;4.86;3.43;0.908619197964976;6.42942276088799;0.14132204892364;0.7648;10.7201564712373;0.0217799005849891;0.467947569921605
20180713;235;35009.39;4.1;4.2;5.7;4.13;0.966407367597758;7.20098233242079;0.134204935241505;0.72;11.2985451157223;0.0215313019371732;0.462606354856029
20180713;237.5;37588.78;4.9;5.05;6.69;4.945;1.02230883051864;8.00885021750158;0.12764739041874;0.6707;11.9122112647475;0.0212138007087364;0.455784747580351
20180720;135;10597.91;-1;0.04;-1;0.012;0.012;0;∞;1;0;0.000883193006923063;0.0134410935741104
20180720;140;10992.78;0.01;0.04;0.01;0.019;0.019;0;∞;1;0;0.0013481576089033;0.0205172736104971
20180720;145;11387.2;0.02;0.04;0.02;0.026;0.026;0;∞;1;0;0.00178094702824224;0.0271037875860615
20180720;150;11781.07;0.03;0.05;0.03;0.036;0.036;0;∞;1;0;0.00238348469196771;0.0362736576558836
20180720;155;12178.12;0.05;0.05;0.05;0.05;0.05;0;∞;1;0;0.00320246474825342;0.0487375103874818
20180720;160;12578.02;0.07;0.06;0.07;0.067;0.0661066514729362;0.0636125384940159;1.03920788319358;0.9998;4.46674263531929;0.00409946781360581;0.0623887757883135
20180720;165;12980.21;0.09;0.07;0.09;0.084;0.0815303486599138;0.140148998424547;0.581740501726151;0.9996;6.17412835021555;0.00489927912990104;0.0745609042581814
20180720;170;13388.69;0.05;0.09;0.1;0.062;0.0565096368406365;0.239820698393431;0.235632859128495;0.9991;6.10040351040386;0.0032921455897251;0.0501023406936288
20180720;175;13800.75;0.06;0.12;0.15;0.078;0.0671107090815783;0.370676989559038;0.181049029132923;0.9987;8.37637762955513;0.0037930078498365;0.0577248382146993
20180720;180;14221.33;0.1;0.14;0.2;0.112;0.0925972850794044;0.534533769644573;0.173230000306576;0.9978;8.819415872998;0.00507870096270429;0.077291480276156
20180720;185;14655.98;0.15;0.2;0.27;0.165;0.131662479267978;0.736348870712788;0.178804483180001;0.9963;9.01014073838437;0.00700715570224732;0.106640150843576
20180720;190;15102.15;0.22;0.27;0.38;0.235;0.177971170209064;0.991364994649753;0.179521337922509;0.994;9.50480496515594;0.0091919039847353;0.13988928876769
20180720;195;15567.24;0.34;0.38;0.54;0.352;0.253234112317756;1.31621597488119;0.192395562088976;0.9887;8.74034404267646;0.0126883511533098;0.193100844114433
20180720;200;16059.3;0.47;0.53;0.77;0.488;0.312056616385598;1.74541953274263;0.178786022805219;0.9796;8.62467566737266;0.0151565859521129;0.230664292458718
20180720;205;16617.92;0.69;0.74;1.06;0.705;0.400351058174452;2.31105501220649;0.173233028231645;0.9686;9.70219559953976;0.0187913905817378;0.285981475415822
20180720;210;17221.07;1;1.04;1.48;1.012;0.513897493896938;3.02127378222751;0.170092990883485;0.9523;10.442400547234;0.0232761405208626;0.354233763551878
20180720;215;17911.22;1.42;1.47;2.05;1.435;0.637615600212218;3.88729337750905;0.164025592691642;0.9264;10.8340271710296;0.0277669621703899;0.422578455530621
20180720;220;21676.74;2;2.06;2.8;2.018;0.772008171347664;4.92689487361659;0.156692641339224;0.8926;11.6014136746028;0.0277793788942054;0.422767422546188
20180720;225;26181.91;2.8;2.87;3.8;2.821;0.918132494663703;6.14276277231154;0.149465725553033;0.8407;11.9451820799516;0.0273526013128029;0.41627240122922
