Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;36;2826.22;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.0016559220442853;0.0604825526675206
20180706;37;2905.14;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00161093785497429;0.0588395051529358
20180706;37.5;2944.78;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00158925284741135;0.0580474602516996
20180706;38;2983.36;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00156870106188995;0.0572968062855304
20180706;38.5;3022.42;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00154842808080942;0.056556335651564
20180706;39;3063.48;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00229151161424263;0.0836974617102119
20180706;39.5;3104.41;0.01;0.03;0.01;0.016;0.016;0;∞;1;0;0.00402008755286834;0.146833697868516
20180706;40;3423.19;0.02;0.03;0.02;0.023;0.0229688561280131;0.00306311082853238;7.49853903883005;0.9998;0.155719359934494;0.005233629386581;0.191158313344871
20180706;40.5;3819.63;0.03;0.03;0.03;0.03;0.0298688561280131;0.0095141160774952;3.13942523769131;0.9998;0.655719359934494;0.00609946716824672;0.222783038320211
20180706;41;4216.95;0.06;0.04;0.06;0.054;0.0536767444951045;0.0168250123889694;3.19029450048403;0.9987;0.248658080688838;0.00992846979598561;0.362637359298374
20180706;41.5;4618.17;0.08;0.04;0.08;0.068;0.0665691462293965;0.0324798569691128;2.04955170500601;0.9962;0.3765404659483;0.0112434003206745;0.410665196712635
20180706;42;5024.83;0.03;0.06;0.1;0.039;0.0343903656579705;0.061576348094972;0.558499598010079;0.9896;0.443234071348986;0.00533838661471473;0.194984571102456
20180706;42.5;5439.74;0.06;0.09;0.15;0.069;0.0563551270846161;0.108393726802172;0.519911333867771;0.9761;0.529074180559995;0.00808071693242702;0.295148185956897
20180706;43;5865.84;0.1;0.13;0.22;0.109;0.0773981782469097;0.177948338358974;0.434947462621286;0.9437;0.561311221191657;0.0102918898286673;0.375911275992072
20180706;43.5;6314.78;0.16;0.21;0.32;0.175;0.0999453764214301;0.278262526692237;0.35917655751028;0.8725;0.588663714341724;0.0123452271668555;0.450909422269396
20180706;44;6797.19;0.28;0.33;0.48;0.295;0.122984024301095;0.413553011648894;0.297383940720781;0.7288;0.634277196529885;0.0141128229393108;0.515470857858328
20180713;36;2827.79;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00248250400489428;0.0533373286933904
20180713;37;2906.62;0.01;0.04;0.01;0.019;0.019;0;∞;1;0;0.00509870571316512;0.10954719186668
20180713;38;2989.52;0.02;0.05;0.02;0.029;0.0289673537585166;0.00326462414833976;8.87310527714134;0.9999;0.326462414833976;0.00755791429113803;0.162384011461068
20180713;39;3075.15;0.05;0.04;0.05;0.047;0.0468189862223037;0.0137050239199757;3.4161914999698;0.9997;0.603379258987547;0.0118754562390117;0.255147670076414
