Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;29;2276.25;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00205601317957166;0.075095881383855
20180706;29.5;2315.49;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00202117046499877;0.07382325123408
20180706;30;2354.74;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00198748057110339;0.0725927278595514
20180706;30.5;2393.99;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00195489538385708;0.0714025538953797
20180706;31;2433.24;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00192336144400059;0.0702507767421216
20180706;31.5;2472.5;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00189282103134479;0.0691352881698686
20180706;32;2511.78;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00186322050498053;0.0680541289444139
20180706;32.5;2661.96;-1;0.06;-1;0.018;0.018;0;∞;1;0;0.00527430915565974;0.192644141910472
20180706;33;3054.77;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00229804535202323;0.0839361064826484
20180706;33.5;3448.83;-1;0.03;-1;0.009;0.0089781912837975;0.00180521525408557;4.97347408486496;0.9998;0.109043581012482;0.00203054056052692;0.0741654939732457
20180706;34;3842.65;0.01;0.03;0.01;0.016;0.0157201388983725;0.0112275224680014;1.40014316989123;0.9992;0.349826377034348;0.00319095112506488;0.116549489842995
20180706;34.5;4239.98;0.02;0.03;0.02;0.023;0.0217825462048611;0.0274498787970023;0.793538884668587;0.996;0.304363448784732;0.0040071854206368;0.146362447488759
20180706;35;4648.83;0.02;0.04;0.06;0.026;0.0213442494652706;0.0576624515522699;0.370158550160193;0.9869;0.355400804177816;0.00358122679962723;0.130804308856385
20180706;35.5;5076.41;0.06;0.08;0.11;0.066;0.0475198767274466;0.114459378086547;0.415168049327642;0.9502;0.371086812701875;0.0073015189567841;0.266687979896539
20180706;36;5540.53;0.14;0.17;0.21;0.149;0.0802823824934;0.217306848453477;0.369442486809556;0.8305;0.40541367260531;0.0113022144713325;0.41281338356542
20180713;29;2276.27;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00205599511481503;0.0441736597462464
20180713;29.5;2315.54;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.0020211268213894;0.0434245042066163
20180713;30;2354.84;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00198739617128977;0.0426997912684464
20180713;30.5;2394.21;-1;0.07;-1;0.021;0.021;0;∞;1;0;0.00684150513112885;0.146991749949695
20180713;31;2435.29;-1;0.03;-1;0.009;0.00898605931844685;0.00139406815531508;6.44592539050994;0.9999;0.139406815531508;0.00287814850321257;0.0618378671057877
20180713;31.5;2474.43;-1;0.04;-1;0.012;0.0119360593184468;0.00639406815531508;1.86673945733984;0.9999;0.639406815531508;0.00376253370206009;0.0808391432163204
20180713;32;2515.01;-1;0.04;-1;0.012;0.0118724478028211;0.0114749475198499;1.03464070596259;0.9998;0.637760985894321;0.00368209640764867;0.0791109242878634
20180713;32.5;2667.89;-1;0.03;-1;0.009;0.00874478823946282;0.0177267236901807;0.493311025336666;0.9996;0.638029401342948;0.00255667768415527;0.0549309720081007
20180713;33;3064.93;0.01;0.03;0.01;0.016;0.0154652736247953;0.0262905514293153;0.588244551141316;0.9992;0.668407969005927;0.00393578757992525;0.0845615537392764
20180713;33.5;3464.61;0.02;0.04;0.02;0.026;0.0246092118418192;0.0398151110806406;0.61808723306024;0.9976;0.57949506590865;0.00554035958928105;0.11903625529323
20180713;34;3867.17;0.03;0.05;0.04;0.036;0.0328411160595985;0.0612579009200748;0.5361123310844;0.9949;0.619389007921861;0.00662398356588586;0.142318235143518
