Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180720;140;10988.46;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00212950677346962;0.0324084312087408
20180720;145;11380.91;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00205607460211881;0.0312908853509957
20180720;150;11773.35;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00198753965523831;0.0302478691281581
20180720;155;12165.8;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00192342468230614;0.0292721193838465
20180720;160;12558.24;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00186331842678592;0.0283573773076482
20180720;165;12950.68;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00180685492962532;0.0274980734602353
20180720;170;13343.13;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00175371146050439;0.0266892962895513
20180720;175;13735.61;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00170360107778249;0.0259266789025023
20180720;180;14128.27;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.000828126869036336;0.0126030557881467
20180720;185;14522.17;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00161132943630325;0.0245224198587401
20180720;190;14929.99;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00156731518239463;0.0238525779320683
20180720;195;15348.03;0.05;0.15;0.05;0.08;0.0797815269740332;0.0218473025966838;3.65177928126207;0.9999;2.18473025966838;0.00405456537677773;0.061705416827836
20180720;200;15776.16;0.05;0.2;0.2;0.095;0.0934107232451833;0.0883215201771013;1.05762132556004;0.9994;2.64879459136122;0.00461838394965841;0.0702860307338639
20180720;210;21359.13;0.35;0.55;0.55;0.41;0.367605107247902;0.525326143681797;0.699765491721977;0.9891;3.8894397020273;0.01342432878368;0.204301503676631
20180720;220;29929.88;1.2;1.5;1.9;1.29;0.873274485767421;1.84679394109159;0.472859730767392;0.9077;4.51490264607345;0.022758330434288;0.346353341296821
20180817;145;11381.84;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00205590660209597;0.0144407670464529
20180817;150;11776.01;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00198709070389716;0.0139574015307392
20180817;155;12172.85;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00192231071606074;0.0135023844046382
20180817;160;12575.19;-1;-1;-1;-1;-1;0;-∞;1;0;-0.0620268958162859;-0.435679301863431
20180817;165;13029.17;-1;-1;-1;-1;-1;0;-∞;1;0;-0.0598656706451754;-0.420498773137506
20180817;170;13379.83;-1;-1;-1;-1;-1;0;-∞;1;0;-0.05829670481613;-0.409478296809451
20180817;175;13885.87;-1;-1;-1;-1;-1.00080841448045;0.0496278087632093;-20.1662825625778;0.9997;2.69471493484888;-0.0562176200191097;-0.394874725230381
20180817;180;14251.53;-1;-1;-1;-1;-1.00302895064389;0.140395405002654;-7.14431466346727;0.9993;4.32707234841401;-0.0548967431217725;-0.385596835100527
20180817;185;14775.55;-1;-1;-1;-1;-1.00705942056145;0.262033194890331;-3.84325131395257;0.9989;6.41765505586686;-0.0531625792635762;-0.373416001461947
20180817;190;15333.92;0.35;0.7;0.55;0.455;0.440215490645659;0.41727824345905;1.05496871103672;0.998;7.39225467717034;0.0223927138464016;0.15728728331535
20180817;195;15775.84;0.55;0.85;0.7;0.64;0.609274749681292;0.623191712603294;0.97766824776301;0.9951;6.27045924871597;0.030124183862882;0.211593426075339
20180817;200;16379.8;0.8;1.2;0.9;0.92;0.85115307157326;0.926037532471084;0.919134529355416;0.9889;6.20242598439099;0.0405315935375977;0.28469547191553
20180817;210;22429.97;1.65;2.1;2;1.785;1.41819238037959;2.0803411905794;0.681711435990269;0.9416;6.28095239076042;0.0493175005002718;0.346408020340851
20180817;220;31728.55;3.4;4;4.3;3.58;2.06792350099294;4.32550792496406;0.478076456422194;0.8026;7.65996200104896;0.0508368750155456;0.357080165373616
20180921;150;11831.43;0.15;0.25;0.15;0.18;0.17905017870395;0.0949821296050189;1.88509332701347;0.9999;9.49821296050189;0.0118040794214293;0.0495567817089315
20180921;155;12256.09;-1;-1;-1;-1;-1.00144982129605;0.144982129605019;-6.90740178823655;0.9999;14.4982129605019;-0.0637340995873006;-0.267573331888064
20180921;160;12675.25;-1;-1;-1;-1;-1.00205404170766;0.195259425750112;-5.1319112399217;0.9998;10.2702085382914;-0.0616636478595667;-0.25888100437594
20180921;165;13100.19;0.1;0.35;0.35;0.175;0.171683442461717;0.253676266347566;0.676781651407982;0.9997;11.055191794277;0.0102222246486608;0.0429157189991189
20180921;170;13537.27;-1;-1;-1;-1;-1.00546258972892;0.326739125302151;-3.077264128681;0.9994;9.10431621486169;-0.0579334548242412;-0.243220624994875
20180921;175;13996.8;0.3;0.6;0.45;0.39;0.379906336252498;0.425587274820749;0.892663758361922;0.9986;7.20975981964405;0.0211710492596128;0.0888819050813056
20180921;180;14490.88;0.4;0.7;0.6;0.49;0.471099121166259;0.568066289398262;0.829303075993617;0.9979;9.00041849225773;0.0253578329618133;0.106459178037958
20180921;185;15015.76;0.6;0.95;0.8;0.705;0.670797837146973;0.761321078457558;0.881097156151271;0.9961;8.76978534692994;0.0348448771806848;0.146288406784427
20180921;190;15591.64;0.8;1.25;0.95;0.935;0.873281655540816;1.02087007883905;0.855428789267609;0.992;7.71479305739801;0.0436874947934814;0.183412154865737
20180921;195;16247.16;1.15;1.6;1.4;1.285;1.16863591277339;1.37765602323653;0.848278447640298;0.9859;8.25277214373125;0.0561043291235664;0.235541450717042
20180921;200;16996.94;1.6;2;1.85;1.72;1.50361920101133;1.86428405995964;0.806539750730841;0.9731;8.04389587318481;0.0690020072312332;0.289689461393194
20180921;210;23436.14;2.8;3.7;3.4;3.07;2.35069889360588;3.38404797916111;0.69464112449984;0.9183;8.8041751088631;0.0782357989418304;0.328455466247167
20180921;220;33210.4;5.4;6;6.3;5.58;3.50378684130665;5.79366926207589;0.604761280427532;0.7934;10.0494344564054;0.0822921053711845;0.34548495961868
