Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;162.5;12771.53;0.02;0.06;0.02;0.032;0.032;0;∞;1;0;0.00195434689500788;0.0713825203401628
20180706;165;12984.31;0.04;0.07;0.04;0.049;0.0486701188119446;0.0252416871304121;1.92816425306631;0.9998;1.64940594027722;0.00292373585298847;0.106789452030404
20180706;167.5;13163.74;0.08;0.08;0.08;0.08;0.0789893707617575;0.0621502798668192;1.27094151355428;0.9997;3.36876412747502;0.00468041067311956;0.170951999835692
20180706;170;13378.04;0.1;0.1;0.1;0.1;0.0979944645777927;0.106716192005434;0.918271751795666;0.9996;5.01383855551821;0.00571351874943402;0.208686272323078
20180706;172.5;13599.88;0.06;0.12;0.14;0.078;0.074662466337894;0.156001769919965;0.478600123422951;0.9993;4.76790523157996;0.00428214982364237;0.156405522308537
20180706;175;15498.98;0.09;0.16;0.18;0.111;0.104564167659784;0.218187692536711;0.479239532001518;0.9982;3.57546241123087;0.00526228505196031;0.19220496152285
20180706;177.5;17493.33;0.14;0.21;0.24;0.161;0.146718998886922;0.310286308678756;0.47285037974016;0.9951;2.91449002307709;0.00654196880364112;0.238945410552992
20180706;180;19497.46;0.2;0.26;0.33;0.218;0.185440715097836;0.455267282407666;0.407322736035716;0.9895;3.10088427639661;0.0074185949234573;0.270964179579278
20180706;182.5;21525.14;0.27;0.33;0.46;0.288;0.21311056353819;0.675547307658737;0.315463567276692;0.9748;2.97180303419881;0.00772242315542608;0.282061505751938
20180706;185;23606.58;0.42;0.48;0.68;0.438;0.271803882721501;1.00473016927533;0.270524257191902;0.948;3.19607917843267;0.00898084468494678;0.328025352117681
20180706;187.5;25778.53;0.68;0.72;1.05;0.692;0.340391224531202;1.46800374608802;0.231873539449941;0.8962;3.38736777908283;0.0102994684000344;0.376188083311255
20180706;190;28086.91;1.11;1.18;1.6;1.131;0.417184957415878;2.08242709779236;0.200335924296292;0.8053;3.66623031630263;0.0115856200195887;0.423164771215476
20180706;192.5;30625.27;1.81;1.92;2.45;1.843;0.471517709112416;2.83345572939819;0.166410826264282;0.6589;4.02076309260505;0.0120091614900925;0.438634623425628
20180713;162.5;12860.69;0.14;0.14;0.14;0.14;0.138252014460233;0.092322835315655;1.49748449543978;0.9995;3.49597107953391;0.00838497555566473;0.180153665982738
20180713;165;13044.91;0.1;0.15;0.17;0.115;0.110949781423639;0.149817990032786;0.740563809455455;0.9988;3.37518214696744;0.00663406872952274;0.142534917850481
20180713;167.5;13304.86;0.12;0.19;0.2;0.141;0.133826047804117;0.224083288276351;0.5972156550964;0.9983;4.21997187993143;0.00784557802842051;0.168564551463564
20180713;170;13526.91;0.16;0.22;0.23;0.178;0.16544266029587;0.313814454564742;0.527198979809066;0.9972;4.48476418004626;0.00953989307467699;0.20496740856034
20180713;172.5;13715.99;0.2;0.27;0.27;0.221;0.198570770703492;0.428297849794467;0.463627755308094;0.9948;4.31331332625154;0.0112923092790767;0.242618586128399
20180713;175;15631.09;0.27;0.34;0.38;0.291;0.252311299113646;0.576167583704947;0.437913041707764;0.9912;4.39644328254018;0.012590472789079;0.270510010953593
20180713;177.5;17758.38;0.35;0.42;0.5;0.371;0.300845609332287;0.770066819065308;0.390674681578214;0.9831;4.15114737678774;0.013214019256215;0.283907090196032
20180713;180;19830.5;0.47;0.55;0.64;0.494;0.36747391479507;1.03007258096677;0.356745652282268;0.9712;4.39326684739341;0.014453980158854;0.310548014883613
20180713;182.5;21837.74;0.66;0.73;0.87;0.681;0.454359242222011;1.37303997134227;0.330914796149623;0.9477;4.33347529212215;0.0162287951469872;0.348680436908064
20180713;185;24027.22;0.96;1.03;1.27;0.981;0.582937159015339;1.81761851056604;0.320714801057898;0.9124;4.54409635827238;0.0189239947040051;0.406587592096344
20180713;187.5;26325.77;1.37;1.47;1.79;1.4;0.720556779540721;2.37344255069998;0.303591413800268;0.8537;4.64417785686452;0.0213492060457021;0.458693971070158
20180713;190;28782.53;2.02;2.14;2.52;2.056;0.905713011962762;3.04193141142607;0.297742746125285;0.768;4.95813356912603;0.0245446161032736;0.527348295983569
20180713;192.5;31452.84;-1;-1;-1;-1;-2.87389554762127;3.8086958106319;-0.7545615849916;0.6512;5.37240695992337;-0.0712698289612191;-1.53125323694619
20180720;145;11412.86;0.03;0.07;0.03;0.042;0.042;0;∞;1;0;0.00287044614583899;0.0436846022819872
20180720;150;11836.17;0.04;0.09;0.09;0.055;0.0548209304043581;0.0179069595641911;3.06143151816707;0.9999;1.79069595641911;0.00361268262583245;0.0549805137118876
20180720;155;12229.81;0.07;0.12;0.1;0.085;0.0839951530857379;0.0714237777616247;1.17601106687565;0.9996;2.51211728565514;0.00535709217125005;0.0815282464812117
20180720;160;12654.49;0.1;0.17;0.17;0.121;0.116616104844223;0.168450475218277;0.692287182289704;0.9987;3.37222704290568;0.00718800692706649;0.109392480421293
20180720;165;13098.66;0.17;0.23;0.24;0.188;0.174318029210456;0.336846232266911;0.517500308782819;0.9976;5.70082116231016;0.0103803032359154;0.157975239871587
20180720;170;13570.21;0.28;0.34;0.34;0.298;0.263528769760617;0.57963044059504;0.454649637603716;0.9934;5.22291367263374;0.0151473293643416;0.230523418763573
20180720;175;15756.48;0.44;0.5;0.59;0.458;0.363396747842222;0.961961485192279;0.37776642145874;0.9819;5.22669901424189;0.0179893899726927;0.273776028646917
20180720;180;19940.22;0.76;0.82;1;0.778;0.527441041470217;1.57127601850442;0.33567688633869;0.951;5.11344813326088;0.0206318692746002;0.313991260522822
20180720;182.5;22110.69;1.03;1.09;1.34;1.048;0.645792086631015;1.99379258081528;0.323901339008367;0.926;5.43524207255385;0.0227816421636861;0.346708116678597
20180720;185;24367.96;1.4;1.48;1.76;1.424;0.790189290130512;2.507004515386;0.315192607464789;0.8872;5.61888927189263;0.0252933625261121;0.384933360944269
20180720;187.5;26743.67;1.93;2.02;2.4;1.957;0.975893998192817;3.11541455810369;0.313246914653577;0.831;5.80536095743895;0.0284627098147112;0.433166864992636
20180720;190;29269.44;2.66;2.74;3.2;2.684;1.18850405925388;3.81321246561542;0.311680523960016;0.7526;6.04485020511771;0.0316723916213643;0.482014209987638
20180720;192.5;31968.4;3.55;3.7;4.22;3.595;1.36409380730809;4.58413666544219;0.297568311519026;0.6542;6.4514349123537;0.0332826531731432;0.506520377978773
20180727;160;12758.42;-1;-1;-1;-1;-1.01062621188486;0.28701213791814;-3.52119676615595;0.9977;4.62009212385173;-0.0617857419077119;-0.727975555864251
20180727;162.5;12989.96;-1;-1;-1;-1;-1.01838084804302;0.391287788074684;-2.60263897591573;0.9962;4.83706527448028;-0.0611500775578647;-0.720485994451938
20180727;165;13288.3;-1;-1;-1;-1;-1.03104259209341;0.522589494590361;-1.97294932784978;0.9938;5.00686969248549;-0.0605203992860531;-0.713066962555836
