Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;25;1962.3;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00238495642868063;0.08711053355756
20180706;25.5;2001.55;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00233818790437411;0.0854023132072644
20180706;26;2042.56;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00229124236252546;0.0836876272912424
20180706;26.5;2082.1;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00337159598482302;0.123147543345661
20180706;27;2123.93;-1;0.02;-1;0.006;0.006;0;∞;1;0;0.00220346244932743;0.0804814659616842
20180706;27.5;2166.19;-1;0.02;-1;0.006;0.00599556666138345;0.00044333386165551;13.5238184581584;0.9999;0.044333386165551;0.00215887895146736;0.0788530537023454
20180706;28;2207.19;0.01;0.03;-1;0.016;0.0159455666613834;0.00544333386165551;2.92937509743961;0.9999;0.544333386165551;0.00563501193638929;0.205818810976619
20180706;28.5;2586.17;0.01;0.03;0.01;0.016;0.0158114633720217;0.0117552596757554;1.34505436784455;0.9994;0.314227713297149;0.00476880538795862;0.174180616795188
20180706;29;2982.12;0.01;0.03;0.02;0.016;0.015201334377128;0.0237180383095157;0.640918704099961;0.9978;0.363029828578173;0.00397604416125436;0.145225012989816
20180706;29.5;3382.34;0.03;0.05;0.04;0.036;0.0329993279275152;0.0470950634838179;0.700696113061913;0.9916;0.357222865771999;0.00760996108713549;0.277953828707624
20180706;30;3793.75;0.05;0.07;0.06;0.056;0.0450585832641184;0.0909747332935781;0.495286786043253;0.9723;0.394996994075147;0.00926410410438547;0.338371402412679
20180706;30.5;4220.08;0.09;0.12;0.1;0.099;0.0608710621874702;0.17001074653971;0.358042438059951;0.9097;0.4222473733392;0.0112508361230656;0.410936789394972
20180706;31;4685.38;0.18;0.2;0.19;0.186;0.0695829525188129;0.296179979422004;0.234934692934357;0.756;0.477119047054045;0.0115838422848678;0.423099839454798
20180706;31.5;5216.68;0.36;0.39;0.34;0.369;0.0734365071685932;0.458015816817428;0.160336181573105;0.5145;0.608781653617728;0.0109802547964419;0.401053806440041
20180706;32;5467.62;0.65;0.69;0.58;0.662;0.0604689276875332;0.611283122599536;0.0989213106856012;0.271;0.825145503857979;0.00862637922830699;0.315078501313913
20180706;32.5;5774.92;1.04;1.13;0.93;1.067;0.0573176880582265;0.717793236039013;0.079852644439117;0.1121;1.13715768886336;0.0077417170602219;0.282766215624605
20180706;33;6130.18;1.47;1.59;1.35;1.506;0.029420428105757;0.770865022029555;0.0381654728973148;0.0334;1.52760146068099;0.00374343557978566;0.136728984551671
20180706;33.5;6508.13;1.95;2.07;1.81;1.986;0.0193739174899691;0.792182672689681;0.0244563762347758;0.0096;1.98568869397216;0.00232196585534952;0.0848098028666413
20180706;34;6895.11;2.44;2.57;2.31;2.479;0.0147984981378375;0.79874192329844;0.0185272585627238;0.0024;2.47012981341436;0.00167406010165367;0.0611450452129004
20180706;34.5;7284.53;2.93;3.1;2.8;2.981;0.0174859447425134;0.801029285085673;0.0218293451538956;0.0007;2.96558996823525;0.00187232901768;0.0683868173707619
20180706;35;7669.53;3.45;3.55;3.3;3.48;0.0165834703065203;0.801409327670227;0.0206928840655374;0.0001;3.46376290598408;0.00168655795584421;0.0616015293372098
20180706;35.5;8069.83;3.95;4.05;3.79;3.98;0.0166334703065203;0.801640996186849;0.0207492760295948;0.0001;3.96376290598408;0.00160772988267235;0.0587223339646077
20180706;36;8462.29;4.4;4.6;4.29;4.46;-0.00331652969347971;0.801903774188676;-0.00413582003256588;0.0001;4.46376290598408;-0.00030569658578401;-0.011165567795761
20180706;36.5;8854.75;4.9;5.1;4.79;4.96;-0.00330466228611993;0.801970708939636;-0.00412067703880277;0;4.96330466228612;-0.000291102129723995;-0.0106325052881689
