Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180720;200;15698.29;-1;1.2;-1;0.36;0.36;0;∞;1;0;0.0178872985528997;0.272222324851942
20180720;210;16483.2;-1;1.25;-1;0.375;0.375;0;∞;1;0;0.0177453407105416;0.270061903938556
20180720;220;17268.1;-1;1.3;-1;0.39;0.39;0;∞;1;0;0.0176162982609552;0.268098039158912
20180720;230;18053.1;-1;1.35;-1;0.405;0.405;0;∞;1;0;0.01749837977965;0.266303467271549
20180720;240;18838.49;-1;0.8;-1;0.24;0.239191032149177;0.0808967850822688;2.95674336014626;0.9999;8.08967850822688;0.00990360719337687;0.150720521974204
20180720;250;19626.28;0.05;0.6;0.05;0.215;0.213191032149177;0.180896785082269;1.17852305695882;0.9999;18.0896785082269;0.00847277248038642;0.128945006185881
20180720;260;20425.81;0.15;0.95;0.15;0.39;0.387191032149177;0.280896785082269;1.37841033686369;0.9999;28.0896785082269;0.0147856562396477;0.225019205897138
20180720;270;21240.68;0.35;2.5;0.35;0.995;0.990252648042486;0.391491459631062;2.52943614396005;0.9997;15.8245065250476;0.0363640460415174;0.553415325694344
20180720;280;22122.11;0.15;1;0.75;0.405;0.396439784299092;0.532387973463501;0.744644515014145;0.9995;17.120431401816;0.0139780080540822;0.212727810073063
20180720;290;23097.27;0.1;1.7;0.95;0.58;0.564839716519997;0.712906261154495;0.792305731198494;0.9986;10.8287739142882;0.0190747641987818;0.290294067650211
20180720;300;24190.81;0.3;1.75;1.1;0.735;0.693534202748939;1.00974055103128;0.686843964066421;0.9955;9.21462161134695;0.0223620737852173;0.340322810418776
20180720;310;30770.04;0.85;4.3;1.75;1.885;1.75966988956998;1.58178570664818;1.11245782672973;0.985;8.35534069533488;0.044606458550739;0.67885454106906
20180720;320;39403.31;2.2;2.75;2.95;2.365;1.98413114374859;2.64814015900193;0.749254580428401;0.9598;9.47434965799532;0.039276453986325;0.597738534104383
20180720;330;48712.72;3.6;4.8;5.2;3.96;2.80857508911453;4.43586880153595;0.633151072489349;0.8701;8.863933109203;0.0449715920094245;0.684411415893429
20180817;140;11003.07;0.05;0.4;0.05;0.155;0.155;0;∞;1;0;0.0109878424839613;0.0771790282166704
20180817;145;11404.44;0.05;1.2;0.05;0.395;0.395;0;∞;1;0;0.0270157938487116;0.189759975062344
20180817;150;11809.68;0.05;1.05;0.05;0.35;0.35;0;∞;1;0;0.0231166297478001;0.162372096449692
20180817;155;12223.57;0.1;1.5;0.1;0.52;0.52;0;∞;1;0;0.0331817954983691;0.233070207803449
20180817;160;12641.02;0.1;1.1;0.1;0.4;0.4;0;∞;1;0;0.0246815525962304;0.173364174726407
20180817;165;13062.21;0.15;1.4;0.15;0.525;0.525;0;∞;1;0;0.0313499782961689;0.220203453320686
20180817;170;13477.74;0.25;1.25;0.25;0.55;0.55;0;∞;1;0;0.0318302623436867;0.223576986942915
20180817;175;13896.29;0.3;1.3;0.3;0.6;0.6;0;∞;1;0;0.033678053638777;0.236555944068525
20180817;180;14310.3;0.05;1.4;0.4;0.455;0.455;0;∞;1;0;0.0248003186516006;0.174198392067252
20180817;185;14724.46;0.45;1.35;0.45;0.72;0.72;0;∞;1;0;0.0381406177204461;0.267901165815249
20180817;190;15127.93;0.45;1.45;0.45;0.75;0.75;0;∞;1;0;0.0386701947986274;0.271620935580744
20180817;195;15519.87;0.45;1.5;0.45;0.765;0.765;0;∞;1;0;0.0384474869957029;0.270056627407317
20180817;200;15926.62;0.45;1.5;0.45;0.765;0.765;0;∞;1;0;0.0374655765002242;0.263159650321286
20180817;210;16733.57;0.15;2.7;0.45;0.915;0.915;0;∞;1;0;0.0426507911939891;0.299580797761625
20180817;220;17550.15;0.45;0.45;0.45;0.45;0.45;0;∞;1;0;0.0199998290612901;0.140479568550696
20180817;230;18387.93;0.55;0.9;0.55;0.655;0.655;0;∞;1;0;0.0277845303957542;0.195159610135562
20180817;240;19262.79;0.1;0.85;0.65;0.325;0.324758586626282;0.0184751333077941;17.5781457819997;0.9998;1.20706686858927;0.0131503119521367;0.0923682969330374
20180817;250;20129.67;0.2;1;0.75;0.44;0.436490208981059;0.183153623578686;2.38319177339965;0.9996;8.77447754735266;0.0169134597340754;0.118800791689828
20180817;260;21043.08;0.15;1.05;0.9;0.42;0.410101496996075;0.394528811679067;1.03947160474981;0.9991;10.9983366710276;0.0152011572287393;0.106773513034558
20180817;270;21963.93;0.15;1.5;1.2;0.555;0.530676436684419;0.69432044553097;0.76431054292027;0.998;12.1617816577904;0.0188457903760323;0.132373556439342
20180817;280;22979.68;0.4;1.75;1.5;0.805;0.748076727285121;1.11551565910646;0.67061069127827;0.9953;12.1113346201871;0.0253919918502953;0.178354327371545
20180817;290;24126.65;1.25;2.15;2.2;1.52;1.39448698287787;1.72276220336422;0.809448326736395;0.9894;11.8408506718989;0.0450829206145379;0.316664168354999
20180817;300;25523.99;2.15;3.2;3;2.465;2.18296156278676;2.60203084712595;0.838945305048146;0.9762;11.8503545047579;0.0667101820277188;0.468574884338929
20180817;310;32619.55;3.5;4.3;4.5;3.74;3.09518185246092;3.90205647184847;0.793218108141495;0.9466;12.075246208597;0.0740121137452699;0.519863933566535
20180817;320;42009.4;4.8;6.2;6.3;5.22;3.79638962448724;5.77772053609244;0.657073944780098;0.8928;13.2799475327682;0.0704886027198686;0.495114656604462
20180817;330;52109.84;7.7;9;9.3;8.09;5.20197643757032;8.29114907148129;0.627413208075504;0.8078;15.0261371614448;0.0778651713631216;0.546927958468849
