Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;95;7456.69;-1;0.04;-1;0.012;0.012;0;∞;1;0;0.00125524864249419;0.0458479566671003
20180706;100;7849.15;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00149060726320684;0.05444443028863
20180706;105;8241.85;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00141958419529596;0.0518503127331849
20180706;109;8559.78;0.01;0.06;0.01;0.025;0.025;0;∞;1;0;0.00227809593237209;0.0832074539298907
20180706;110;8639.86;0.02;0.07;0.02;0.035;0.035;0;∞;1;0;0.00315977342225453;0.115410724247847
20180706;111;8722.13;0.03;0.09;0.03;0.048;0.048;0;∞;1;0;0.00429252946241343;0.15678463861465
20180706;112;8805.18;0.04;0.07;0.04;0.049;0.049;0;∞;1;0;0.00434062676742554;0.158541392680218
20180706;113;8888.95;0.05;0.1;0.05;0.065;0.065;0;∞;1;0;0.00570371078698834;0.208328036494749
20180706;114;8972.32;0.07;0.08;0.07;0.073;0.073;0;∞;1;0;0.00634618471030904;0.231794396544038
20180706;115;9056.15;0.09;0.11;0.09;0.096;0.096;0;∞;1;0;0.00826841428200725;0.302003831650315
20180706;116;9140.21;0.1;0.09;0.1;0.097;0.097;0;∞;1;0;0.00827770915547892;0.302343326903868
20180706;117;9223.46;0.11;0.11;0.11;0.11;0.109951887440606;0.00481125593940575;22.8530530957757;0.9999;0.481125593940575;0.00929829719038979;0.339620304878987
20180706;118;9305.48;0.13;0.1;0.13;0.121;0.120851887440606;0.0148112559394058;8.15946250169617;0.9999;1.48112559394058;0.0101299956803596;0.369998092225134
20180706;119;9487.28;0.14;0.11;0.14;0.131;0.130687963525727;0.0253471286292273;5.15592773593429;0.9997;1.04012158090937;0.0107445560318729;0.392444909064158
20180706;120;10280.16;0.16;0.12;0.16;0.148;0.147387963525727;0.0395773299405;3.72405020114566;0.9997;2.04012158090937;0.011182959365425;0.408457590822147
20180706;121;11074.57;0.06;0.1;0.18;0.072;0.0708918466813949;0.0566021982872903;1.25245748091931;0.9992;1.38519164825643;0.00499302820890454;0.182370355330238
20180706;122;11870.23;0.07;0.15;0.2;0.094;0.091662411378609;0.0809158086161839;1.13281215310349;0.9986;1.66970615813641;0.00602319254768569;0.21999710780422
20180706;123;12671.96;0.09;0.18;0.25;0.117;0.112814109925322;0.11367680122896;0.99241101707374;0.9978;1.90267730667203;0.00694407224626268;0.253632238794744
20180706;124;13476.9;0.12;0.21;0.3;0.147;0.13977021844935;0.154957611671302;0.901990014829557;0.9959;1.76336135381705;0.00808945457712775;0.295467328429591
20180706;125;14293.14;0.16;0.23;0.35;0.181;0.167887369525158;0.208632725467335;0.804702949401117;0.9922;1.68110647113355;0.00916188802667738;0.334637960174391
20180706;126;15117.53;0.21;0.3;0.42;0.237;0.212231031640419;0.281955147402813;0.752712030957241;0.9834;1.49210652768558;0.0109502150602332;0.399956605075017
20180706;127;15954.65;0.28;0.41;0.54;0.319;0.271846000814138;0.384372073214029;0.707247013397788;0.9717;1.66621905250396;0.0132901618421606;0.485423161284916
20180706;128;16814.31;0.37;0.51;0.7;0.412;0.328318909882087;0.520393733349174;0.63090481080369;0.9528;1.7729044516507;0.0152304049174797;0.556290539610945
20180706;129;17696.72;0.49;0.67;0.86;0.544;0.401136015121785;0.692418789066237;0.57932572231718;0.9259;1.927988999706;0.0176804567058185;0.645778681180021
20180706;130;18612.39;0.65;0.85;1.03;0.71;0.472857190058136;0.903830083183459;0.523170448578836;0.8844;2.05140839050055;0.0198162948576377;0.723790169675215
20180706;131;19570.02;0.87;1.06;1.32;0.927;0.544344931704853;1.15620536117889;0.470802981876704;0.8228;2.15945298134959;0.0216958923255973;0.79244246719244
20180706;132;20580.23;1.16;1.28;1.67;1.196;0.59822131822807;1.4467238884996;0.413500684535241;0.7437;2.33233976500948;0.0226728577969194;0.828126131032482
20180706;133;21652.49;1.53;1.65;2.08;1.566;0.661307486182044;1.76558455680001;0.37455441238148;0.6408;2.51863171998317;0.0238226568501819;0.870122541452893
20180713;110;8672.84;0.03;0.08;0.03;0.045;0.045;0;∞;1;0;0.00404711720728158;0.0869535035270352
20180713;115;9100.61;0.13;0.14;0.13;0.133;0.132618584760685;0.0243065219621191;5.45609054916893;0.9997;1.27138413104903;0.0113665453319431;0.244213569558365
20180713;117;9279.11;0.1;0.16;0.18;0.118;0.11664098710258;0.061595565650575;1.89365883518745;0.9993;1.94144699631472;0.00980481640372968;0.210659364203663
20180713;118;9371.83;0.12;0.18;0.2;0.138;0.135609732257353;0.0863608625202279;1.57026838662699;0.9988;1.99188978553883;0.0112865460812601;0.24249476212825
20180713;119;9567.17;0.14;0.19;0.22;0.155;0.151155302217845;0.116620469785639;1.29613010902532;0.9983;2.26158693067961;0.0123235121493523;0.264774283091231
20180713;120;10370.28;0.16;0.22;0.27;0.178;0.171744315473535;0.15307974370455;1.12192711666024;0.9965;1.78733843613291;0.0129177385826957;0.277541412784094
20180713;121;11184.13;0.19;0.25;0.33;0.208;0.197594321845003;0.199611915729587;0.989892417608389;0.9951;2.12360778673411;0.0137805596894083;0.296079378032729
20180713;122;12000.19;0.24;0.29;0.39;0.255;0.238870960601657;0.256777405576992;0.930264717274881;0.9932;2.37191755857978;0.0155263666049698;0.33358855308619
20180713;123;12824.8;0.29;0.37;0.45;0.314;0.289130793107324;0.325492345133971;0.888287535574205;0.989;2.2608369902433;0.017584837083129;0.377815396741933
20180713;124;13657.92;0.35;0.41;0.55;0.368;0.329074255787127;0.409320704932319;0.803952137826841;0.9818;2.13877715455345;0.0187933389208576;0.403780414167249
20180713;125;14505.33;0.43;0.53;0.64;0.46;0.398857185522076;0.51373792957187;0.776382592296559;0.9729;2.25619241615957;0.0214478818963249;0.460814050743099
20180713;126;15367.77;0.52;0.58;0.76;0.538;0.443855196739722;0.641782706314856;0.691597315372297;0.9591;2.30182893056915;0.0225281256458798;0.484023405421036
20180713;127;16248.9;0.64;0.71;0.94;0.661;0.516561635411767;0.797102397347343;0.648049280908977;0.941;2.44810787437683;0.0247966370413492;0.532763039961928
20180713;128;17148.82;0.78;0.94;1.14;0.828;0.61188691757782;0.982869194704649;0.622551730051619;0.9146;2.53059815482646;0.0278311741397192;0.59796096203132
20180713;129;18084.55;0.96;1.14;1.33;1.014;0.696723565055083;1.19981659862071;0.580691720597983;0.8792;2.62646055417978;0.030050202009061;0.645637428459385
20180713;130;19048.88;1.2;1.37;1.59;1.251;0.790277298679313;1.44849998620966;0.545583228307277;0.833;2.75881857078256;0.0323597131679061;0.69525795497516
20180713;131;20048.38;1.48;1.7;1.92;1.546;0.890754501198881;1.72841309076167;0.515359728504688;0.7767;2.93437303538343;0.0346555936656791;0.744585622728781
20180713;132;21098.81;1.78;2.01;2.28;1.849;0.937482993435687;2.03488511681619;0.460705612168654;0.7065;3.10567974979323;0.0346577240555195;0.744631394781088
20180713;133;22195.28;2.18;2.31;2.7;2.219;0.976946299630978;2.36005128610794;0.413951300711816;0.6308;3.36417578648164;0.0343324397670209;0.737642566170845
20180720;70;5494.42;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00212943313397956;0.0324073105077515
20180720;75;5886.88;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00198747044274726;0.0302468158005599
20180720;80;6279.34;-1;0.06;-1;0.018;0.018;0;∞;1;0;0.0022359037733265;0.0340276605503126
20180720;85;6671.88;-1;0.07;-1;0.021;0.021;0;∞;1;0;0.00245508012734042;0.037363250687962
20180720;90;7065.06;-1;0.1;-1;0.03;0.03;0;∞;1;0;0.00331207378281288;0.0504056228821836
20180720;95;7460.39;0.01;0.13;0.01;0.046;0.046;0;∞;1;0;0.00480940004476978;0.0731930569313401
20180720;97.5;7659.27;0.02;0.13;0.02;0.053;0.053;0;∞;1;0;0.00539738121256987;0.0821413953287976
20180720;100;7863.52;0.03;0.15;0.03;0.066;0.066;0;∞;1;0;0.00654668647119865;0.0996323847335544
20180720;105;8283.35;0.12;0.18;0.12;0.138;0.138;0;∞;1;0;0.0129947424653069;0.19776373689389
20180720;110;8713.01;0.15;0.27;0.15;0.186;0.185995000497154;0.00049995028462817;372.026991914775;0.9999;0.049995028462817;0.0166505146198363;0.253400019370634
20180720;115;9164.37;0.11;0.39;0.25;0.194;0.191495343571797;0.0891846364455029;2.1471786083785;0.9987;1.92665879092519;0.0162985964104463;0.24804426412148
20180720;120;10494.88;0.22;0.47;0.45;0.295;0.273465029609431;0.313727671266044;0.871663721933952;0.9914;2.50406632448474;0.0203244556484073;0.309312809399198
20180720;121;11331.54;0.39;0.72;0.51;0.489;0.457719145000909;0.387732850817436;1.18050132723065;0.9889;2.81809504496314;0.0315068325312102;0.479494607584354
20180720;122;12168.58;0.32;0.81;0.59;0.467;0.422237018240163;0.473797683160575;0.891175776596322;0.9833;2.6804180694513;0.0270651854388374;0.411898290897306
20180720;123;13020.74;0.56;0.79;0.68;0.629;0.56352956810909;0.57522828193411;0.979662484977816;0.9747;2.58776410636009;0.0337579172247576;0.513753302764279
20180720;124;13881.86;0.59;0.79;0.81;0.65;0.554206160966275;0.696814699156623;0.795342236088086;0.964;2.66093997315902;0.0311399773195879;0.473911529832479
20180720;125;14755.27;0.71;0.89;0.93;0.764;0.626620913542803;0.840782910648293;0.745282647407333;0.9515;2.83255848365355;0.0331247284911348;0.504116961724457
20180720;126;15648.68;0.77;1.1;1.08;0.869;0.673823563372952;1.00847809858531;0.668158846799145;0.9329;2.90873974108864;0.0335863714658938;0.511142590746571
20180720;127;16555.5;1.01;1.21;1.3;1.07;0.797383069561371;1.20208112102442;0.663335490105557;0.9118;3.0908949029323;0.0375681069286865;0.571739627320948
20180720;128;17491.06;1.2;1.39;1.52;1.257;0.882542182330623;1.4218517303566;0.620699165382933;0.8837;3.21975767557504;0.0393562712733183;0.598953253440812
20180720;129;18447.71;1.38;1.61;1.76;1.449;0.939723625963909;1.66727189325238;0.563629501443087;0.8453;3.29202568866252;0.0397330849331353;0.604687886326152
20180720;130;19436.03;1.64;1.86;2.03;1.706;1.02091383017563;1.93840213327395;0.52667803684848;0.8035;3.48644361233777;0.0409709589631725;0.623526781720782
20180720;131;20461.16;1.94;2.19;2.38;2.015;1.11029124934179;2.23384942997064;0.497030477724001;0.7557;3.70326954833486;0.0423254192082267;0.6441399735752
20180720;132;21512.55;2.29;2.56;2.76;2.371;1.1930696364361;2.54836234621013;0.468171113189775;0.6973;3.89141183866501;0.0432582058575185;0.658335820394109
20180720;133;22622.72;2.65;2.96;3.19;2.743;1.23079101610256;2.87653004991195;0.427873512442618;0.6338;4.12946199862763;0.0424359666989645;0.645822368199866
20180727;110;8748.85;0.12;0.19;0.17;0.141;0.139980314026034;0.0548885532766962;2.55026422941748;0.9996;2.54921493491515;0.0124798853495381;0.147041229803832
20180727;115;9225.7;0.23;0.29;0.39;0.248;0.240112484517624;0.194044175894027;1.23741144721991;0.997;2.62917182745873;0.0203006533838892;0.239187537047275
20180727;120;10611.16;0.46;0.54;0.62;0.484;0.43497749867457;0.518000101696104;0.839724736057598;0.9837;3.00751541873805;0.0319741148909417;0.376727273029563
20180727;121;11445.87;0.53;0.6;0.67;0.551;0.482486713032487;0.618523944235962;0.780061495644252;0.9779;3.10014873156169;0.0328799502497704;0.387400058991247
20180727;122;12304.4;0.6;0.74;0.79;0.642;0.547905563409274;0.734710152318399;0.745743830652595;0.9707;3.21141421811351;0.0347328061066963;0.409230884853897
20180727;123;13163.4;0.71;0.83;0.92;0.746;0.618964973473112;0.867448241969044;0.713546864845915;0.9631;3.44268364571511;0.0366768980133573;0.432136677399315
20180727;124;14036.64;0.81;0.95;1.05;0.852;0.682177027744748;1.01714849073853;0.670675947470985;0.9509;3.45871633921084;0.0379077957147083;0.446639431767652
20180727;125;14928.98;0.96;1.1;1.21;1.002;0.775089153957772;1.18565166103857;0.653724175006705;0.9342;3.44849310094572;0.0404963728323745;0.477138715387896
20180727;126;15827.94;1.07;1.3;1.42;1.139;0.836644440204625;1.37541371592853;0.608285660173031;0.9147;3.54461383112984;0.041229791328474;0.485780041378231
20180727;127;16763.73;1.27;1.47;1.64;1.33;0.930289329426127;1.5879559372083;0.585840770280831;0.891;3.66707037223736;0.0432854547855626;0.510000398723443
20180727;128;17703.18;1.43;1.67;1.85;1.502;0.978822656219656;1.82360901407983;0.536750284004028;0.8613;3.77200680447256;0.0431268095252566;0.508131199325805
20180727;129;18690.72;1.72;1.95;2.14;1.789;1.11034023445598;2.08208104758018;0.533283867958181;0.8277;3.93882626549053;0.0463366517114196;0.545950388309549
20180727;130;19686.34;1.98;2.12;2.44;2.022;1.1518375007286;2.36242169442472;0.48756642535366;0.7882;4.10841595501134;0.0456373937749885;0.537711550848856
20180727;131;20737.4;2.35;2.6;2.78;2.425;1.32112554414441;2.66203333344646;0.496284373131415;0.7424;4.28522692490525;0.0496917609937908;0.5854811517091
20180727;132;21801.29;2.71;2.82;3.14;2.743;1.35480356312237;2.97681454943445;0.45511856403005;0.6893;4.46796407105771;0.0484717546179812;0.571106721748956
20180727;133;22922.33;3.1;3.25;3.6;3.145;1.41778306100553;3.30333070674204;0.429198038849656;0.6338;4.71659459037266;0.0482442573501173;0.568426290230012
20180803;110;8762.27;0.12;0.23;0.31;0.153;0.151110433240889;0.101224268153802;1.49282811322765;0.9989;1.71778796282794;0.0134515528428014;0.129294201995611
20180803;115;9281.61;0.28;0.37;0.48;0.307;0.290658348290982;0.285649844469713;1.01753371800558;0.9944;2.91815209089607;0.024426097591578;0.234779793297996
20180803;120;10702.29;0.55;0.68;0.76;0.589;0.50740650264474;0.70156857687614;0.723245765801055;0.9755;3.33034683082693;0.0369805968687914;0.355451658061212
20180803;121;11561.55;0.66;0.81;0.86;0.705;0.594508643582331;0.823045453491426;0.722327838712159;0.9669;3.33810744464257;0.0401085271433517;0.385516829976558
20180803;122;12422.81;0.75;0.94;0.99;0.807;0.658281931532781;0.961723167497085;0.684481723827014;0.9568;3.44254788118563;0.04133202605494;0.397276908330706
20180803;123;13295.39;0.78;1.07;1.13;0.867;0.670677531120155;1.11889932848553;0.599408288168286;0.9473;3.72528403946576;0.0393466061750517;0.378193365932569
20180803;124;14190.63;0.98;1.19;1.27;1.043;0.786828017585182;1.29420721284324;0.607961391172133;0.933;3.82346242410176;0.043248668573308;0.415699373589493
20180803;125;15088.54;1.1;1.37;1.48;1.181;0.849222006873446;1.4884516702651;0.570540531371232;0.9148;3.89410790054641;0.043900414842078;0.421963855817605
20180803;126;16020.15;1.28;1.55;1.69;1.361;0.933793867828007;1.70248678903805;0.548488172619316;0.8933;4.00380629964379;0.0454651933287669;0.437004259561372
20180803;127;16961.25;1.46;1.76;1.91;1.55;1.00404335434127;1.93706430716647;0.518332484175489;0.8692;4.17398047139701;0.0461731191030255;0.443808730325791
20180803;128;17932.25;1.74;1.98;2.19;1.812;1.12096029060885;2.19201236327725;0.511384109591842;0.8394;4.30286244950905;0.0487584673799942;0.468658689751128
20180803;129;18924.46;1.95;2.27;2.47;2.046;1.17663906999468;2.46598265826853;0.477148152704711;0.8035;4.42422865142655;0.0484969438808744;0.466144967170773
20180803;130;19941.54;2.23;2.59;2.76;2.338;1.25371361539353;2.7583490589421;0.454515940007375;0.7658;4.6297454509243;0.0490381695700007;0.471347143037967
20180803;131;20995.44;2.58;2.92;3.09;2.682;1.34324146015078;3.06727588008425;0.43792652264259;0.7237;4.8453077808513;0.0499026616692773;0.479656504597462
20180803;132;22070.19;2.93;3.2;3.49;3.011;1.37418465619302;3.38960506805462;0.405411435433597;0.6771;5.06910914774538;0.0485661442801604;0.466810110482332
20180803;133;23189.34;3.35;3.7;3.94;3.455;1.47106178994653;3.72091604911052;0.395349363041444;0.6282;5.33603606792219;0.0494808474996828;0.475602093401556
20180817;60;4709.53;-1;0.04;-1;0.012;0.012;0;∞;1;0;0.00198745947047795;0.013959991761386
20180817;65;5102;-1;0.05;-1;0.015;0.015;0;∞;1;0;0.00229321834574677;0.0161076538612309
20180817;70;5494.58;0.01;0.05;0.01;0.022;0.022;0;∞;1;0;0.00312307765106705;0.0219366175394662
20180817;75;5887.68;0.02;0.05;0.02;0.029;0.029;0;∞;1;0;0.00384192075656286;0.0269857991602805
20180817;80;6284.61;0.05;0.06;0.05;0.053;0.053;0;∞;1;0;0.00657797381221746;0.0462039410560082
20180817;85;6687.82;0.06;0.06;0.06;0.06;0.06;0;∞;1;0;0.00699779599331322;0.0491527882030318
20180817;87.5;6895.24;0.07;0.06;0.07;0.067;0.067;0;∞;1;0;0.00757914155272333;0.053236181771773
20180817;90;7100.44;0.08;0.07;0.08;0.077;0.077;0;∞;1;0;0.00845863073274332;0.0594137475987404
20180817;92.5;7309.68;0.09;0.09;0.09;0.09;0.09;0;∞;1;0;0.00960370358209935;0.0674567833338806
20180817;95;7515.41;0.11;0.13;0.11;0.116;0.116;0;∞;1;0;0.0120392633269509;0.0845642486570926
20180817;97.5;7724.58;0.13;0.14;0.13;0.133;0.133;0;∞;1;0;0.0134298563805411;0.0943318277498583
20180817;100;7934.59;0.07;0.15;0.15;0.094;0.0932555211287612;0.0379243870929635;2.45898558360786;0.9996;1.86119717809702;0.00916736800268618;0.0643919454419447
20180817;105;8367.97;0.15;0.22;0.23;0.171;0.165673965764266;0.165760285803298;0.999479247766656;0.9987;4.09694941210274;0.0154428963411828;0.10847149785802
20180817;110;8843.18;0.24;0.33;0.35;0.267;0.249502227573862;0.358849871476937;0.695283034509591;0.9956;3.976766460486;0.0220069858928137;0.154577915333658
20180817;115;9390.6;0.44;0.5;0.55;0.458;0.398493210764189;0.683865552784168;0.582706950425906;0.9853;4.04808090039533;0.0330995574719472;0.23249256474286
20180817;120;10903.26;0.82;0.88;1.03;0.838;0.646497201497009;1.2533947694175;0.515796951823456;0.9563;4.38221506871833;0.046249270141927;0.324856652294978
20180817;125;15415.03;1.55;1.66;1.82;1.583;1.03495348724337;2.1741025571598;0.476037104981564;0.8888;4.92847583414239;0.052368611676385;0.3678391425923
20180817;130;20381.07;2.86;3;3.23;2.902;1.47790480060812;3.50445904649888;0.421721236002063;0.7483;5.65790702976511;0.0565606096477925;0.397283897574158
