Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180720;35;2747.22;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00255531045930067;0.0388886310524821
20180720;40;3139.7;-1;0.03;-1;0.009;0.0084648151976931;0.0470557142680491;0.1798892085555;0.9998;2.67592401153448;0.00210292571080059;0.0320039006612465
20180720;45;3532.68;-1;0.04;-1;0.012;0.0100381918040716;0.119932556703185;0.0836986393020421;0.9997;6.53936065309466;0.00221638801339942;0.0337306550789224
20180720;50;3931.66;0.01;0.06;0.01;0.025;0.0212261805865387;0.204340537090211;0.103876503844012;0.9992;4.7172742668266;0.00421105102107003;0.0640869327269096
20180720;55;4374.16;0.07;0.1;0.1;0.079;0.0517660401710332;0.38919188411719;0.133009043311514;0.9884;2.34775515766955;0.00923091778385013;0.140483030022969
20180720;60;5822.71;0.27;0.32;0.35;0.285;0.0304133686855849;1.0588279047944;0.0287236183971657;0.8949;2.42232760527512;0.00407412142709429;0.0620030354685912
20180720;65;10535.07;1.3;1.38;1.5;1.324;-0.103739837765965;2.51276320821633;-0.0412851626554993;0.5981;3.55247533656622;-0.00768073429578094;-0.116891175063916
20180817;35;2748.42;-1;0.03;-1;0.009;0.0088032593366982;0.0196740663301794;0.44745499933556;0.9999;1.96740663301794;0.00249835988772626;0.0175485759421541
20180817;40;3144.11;-1;0.04;-1;0.012;0.0101081398859606;0.0931643687217777;0.108497916367009;0.9995;3.78372022807879;0.00250765689210914;0.0176138784585166
20180817;45;3549.61;0.01;0.1;0.01;0.037;0.0303446737269178;0.217031311195898;0.139817031743995;0.9983;3.91489780769543;0.00666801296677546;0.046836379540668
20180817;50;3985.55;0.06;0.1;0.09;0.072;0.0463870042248031;0.425693222639779;0.108968153021444;0.9916;3.04916616371392;0.00907826104185028;0.0637660547218426
20180817;55;4475.66;0.18;0.22;0.24;0.192;0.0671887909263614;0.894753327344931;0.0750919710192481;0.962;3.28450550193786;0.0117093918936116;0.0822472190219549
20180817;60;6017.51;0.53;0.57;0.65;0.542;-0.00267610487454055;1.84679719315778;-0.00144905184199721;0.8492;3.61191050977812;-0.000346881318376144;-0.0024365077218632
20180817;65;10869.03;1.73;1.78;1.93;1.745;-0.133118981665571;3.35329367090807;-0.0396979789812214;0.5978;4.66961457400689;-0.00955308851840004;-0.0671012611797233
20180921;30;2354.82;-1;0.03;-1;0.009;0.00864441221483708;0.0255787507068982;0.337952870094857;0.9998;1.7779389258146;0.00286333627520274;0.0120210755691701
20180921;35;2747.75;-1;0.04;-1;0.012;0.00907107559612009;0.120048441715077;0.0755617937769601;0.9992;3.66115550484989;0.00257499370938902;0.0108105339351073
20180921;40;3147.19;-1;-1;-1;-1;-1.01052771985247;0.274248521568142;-3.68471528697516;0.9978;4.78532720566913;-0.250449328284892;-1.05145536960985
20180921;45;3575.28;0.03;0.08;0.07;0.045;0.0153605989322945;0.51031678399083;0.0301001248913862;0.9941;5.02362729961109;0.00335114093642728;0.0140690141037939
20180921;50;4017.92;0.1;0.16;0.13;0.118;0.0276196586010666;0.890833678604281;0.0310042820163017;0.9792;4.34520872110257;0.00536181250717583;0.0225103680258158
20180921;55;4555.84;0.28;0.34;0.31;0.298;0.0176571907062349;1.54795008730686;0.0114068217386486;0.9365;4.41484739045299;0.00302306682211475;0.0126916684687059
20180921;60;6237.81;0.83;0.89;0.87;0.848;0.00345359935146458;2.63147201509979;0.00131242108281878;0.8223;4.75265278924331;0.00043185148219365;0.00181303165369231
20180921;65;11214.18;2.18;2.22;2.3;2.192;-0.00708155995775075;4.14361488605361;-0.00170902947124395;0.6172;5.7447271681237;-0.000492556456829263;-0.00206788788341251
