Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;120;9419.18;-1;0.03;-1;0.009;0.00836973306675176;0.0465308561900886;0.179874899197204;0.9998;3.15133466624119;0.000693095555246462;0.025315315155377
20180706;121;9513.13;-1;0.04;-1;0.012;0.0111697330667518;0.060212194581212;0.185506161076498;0.9998;4.15133466624119;0.000915828102009157;0.0334506214258845
20180706;122;9577.03;-1;0.04;-1;0.012;0.0108623004632024;0.0746784841579258;0.145454217311527;0.9995;2.27539907359523;0.00088467869071078;0.0323128891782112
20180706;123;9656.38;-1;0.04;-1;0.012;0.0103271390344658;0.0914516969801174;0.112924520544557;0.9994;2.78810160922359;0.000834180971221447;0.0304684599738634
20180706;124;9748.61;-1;0.05;-1;0.015;0.0126523268502645;0.111122966956021;0.113858792622697;0.9992;2.93459143716939;0.00101233047000611;0.0369753704169733
20180706;125;9817.84;0.01;0.04;0.01;0.019;0.0157604694758976;0.133682137965871;0.117895103382632;0.9988;2.69960877008537;0.00125212533420794;0.045733877831945
20180706;126;9900.88;0.01;0.06;0.01;0.025;0.0203577680711266;0.160108848214423;0.127149550434981;0.9983;2.7307246640432;0.00160380280293052;0.0585788973770372
20180706;127;10546.64;0.02;0.04;0.02;0.026;0.0193961942159725;0.191625518979122;0.101219265154793;0.9975;2.64152231361101;0.00143448828142978;0.0523946844792226
20180706;128;11342.93;0.04;0.05;0.04;0.043;0.0332703120559926;0.229677542010727;0.144856618390834;0.9961;2.49479178051471;0.00228784303558906;0.0835634668748906
20180706;129;12144.96;0.06;0.06;0.06;0.06;0.045150635683054;0.277086547799981;0.162947772244962;0.9933;2.21632303237999;0.00289976219211773;0.1059138140671
20180706;130;12914.48;0.09;0.08;0.09;0.087;0.0637569883185184;0.337616211931639;0.188844569855633;0.9899;2.30128828529521;0.00385075131855439;0.140648691910199
20180706;131;13769.41;0.06;0.1;0.13;0.072;0.0362464886049849;0.413995063157559;0.0875529488891276;0.9848;2.35220469704047;0.00205326597957997;0.0749955399041584
20180706;132;14583.84;0.08;0.13;0.17;0.095;0.0416831112268254;0.507949512604153;0.082061524211579;0.9792;2.56331196024878;0.00222937352281181;0.0814278679207015
20180706;133;15349;0.12;0.16;0.2;0.132;0.0534518780213955;0.620462325855105;0.0861484667062251;0.9693;2.55857074848875;0.0027162984465886;0.0992128007616487
20180706;134;16231.13;0.17;0.21;0.27;0.182;0.0652186847385461;0.755177863333111;0.0863620186782116;0.9539;2.53321725079076;0.00313413632298342;0.11447432919697
20180706;135;17003.88;0.23;0.28;0.4;0.245;0.0736673625292971;0.916322815218499;0.0803945523409574;0.9357;2.66458223127065;0.00337926066126388;0.123427495652663
20180706;136;17914.37;0.32;0.37;0.53;0.335;0.0853088479634383;1.10581725038879;0.0771455210464887;0.907;2.68485109716733;0.00371438690902788;0.135667981852243
20180706;137;18725.13;0.44;0.5;0.7;0.458;0.098082830726205;1.32643263398997;0.0739448263054016;0.8724;2.82066747079777;0.00408566498424523;0.149228913549557
20180706;138;19626.62;0.59;0.66;0.9;0.611;0.102256471345649;1.57837626108197;0.0647858649847865;0.8277;2.95266122260215;0.00406387078618764;0.148432880465504
20180706;139;20568.09;0.8;0.87;1.17;0.821;0.112753528815962;1.85911171268629;0.0606491412251074;0.7719;3.10498233750126;0.00427593191572238;0.15617841322176
20180706;140;21560.33;1.08;1.14;1.51;1.098;0.128916309868019;2.16449863723639;0.059559432216884;0.7039;3.2728257012225;0.00466387674479261;0.17034809810355
20180706;141;22609.94;1.43;1.49;1.88;1.448;0.140154455641016;2.48520037021044;0.0563956360706432;0.6182;3.42547287679147;0.0048350626052078;0.176600661655215
20180713;120;9431.19;0.02;0.05;0.02;0.029;0.020826431827914;0.219468253013212;0.0948949633579137;0.9981;4.3018779853084;0.00172243553843926;0.0370070341420553
20180713;125;9886.2;0.1;0.08;0.1;0.094;0.0672371648334419;0.449854836366176;0.149464136868169;0.9928;3.71706043979973;0.00530486825778203;0.113976654773817
