Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;110;8634.81;-1;0.96;-1;0.288;0.288;0;∞;1;0;0.0260156274428737;0.950220792350961
20180706;115;9032.94;0.05;0.95;-1;0.32;0.319599072489578;0.0365475533947973;8.74474603093607;0.9997;1.33642503474058;0.0275975791427675;1.00800157818958
20180706;116;9114.96;0.05;0.93;0.01;0.314;0.313282792315793;0.0493962134460258;6.3422430680463;0.9996;1.79301921051828;0.0268087383824305;0.979189169418273
20180706;117;9198.22;0.01;0.99;0.01;0.304;0.302857866119235;0.0654217727004771;4.62931305004254;0.9995;2.28426776152939;0.0256820488717386;0.938036835040253
20180706;118;9283.13;0.02;0.99;0.02;0.311;0.309259298250401;0.0843777587291747;3.66517554991029;0.9993;2.48671678514161;0.0259850128820035;0.949102595515176
20180706;119;9965.68;0.03;0.59;0.03;0.198;0.195266916240677;0.107567951372386;1.81528897547457;0.9989;2.48462159938467;0.0152832716550931;0.558221497202275
20180706;120;10761.52;0.05;1.01;0.05;0.338;0.333846642541313;0.135195125437899;2.46936893220062;0.9979;1.97778926604125;0.0241973607057576;0.883808599777796
20180706;121;11561.81;0.06;1.03;0.08;0.351;0.34425618011366;0.170108306020958;2.02374703602802;0.9968;2.10744371448112;0.0232247217770103;0.8482829629053
20180706;122;12361.39;0.08;0.13;0.13;0.095;0.0840190667899935;0.215113957033755;0.390579337336115;0.9947;2.07187419056727;0.00530157790476596;0.193640132971577
20180706;123;13165.98;0.11;0.14;0.2;0.119;0.101863825053041;0.27173355306062;0.374866570232924;0.9926;2.31569931715663;0.00603477929796126;0.220420313858035
20180706;124;13974.73;0.13;0.18;0.3;0.145;0.118794992916051;0.340787402984957;0.34858974209588;0.9888;2.33973277535258;0.00663054631284611;0.242180704076704
20180706;125;14786.31;0.17;0.22;0.42;0.185;0.145680346875003;0.4243584351397;0.343295513442651;0.9845;2.53675181451592;0.0076848565032454;0.280689383781038
20180706;126;15610.39;0.21;0.26;0.49;0.225;0.16572455013119;0.524516454018858;0.315956818630578;0.9751;2.38054015537389;0.00828071233981523;0.302453018211751
20180706;127;16445.78;0.28;0.34;0.55;0.298;0.207055125323218;0.646695126646458;0.320174247171052;0.9601;2.2793201673379;0.00982033067158322;0.358687577779577
20180706;128;17296.69;0.37;0.44;0.75;0.391;0.250644141068515;0.7967414231519;0.314586556924541;0.9395;2.31993155258653;0.0113028810733985;0.412837731205882
20180706;129;18181.99;0.5;0.58;0.99;0.524;0.310273132152512;0.979103132703348;0.316895250141662;0.9134;2.46797768877007;0.0133105915842523;0.486169357614815
20180706;130;19103.12;0.7;0.77;1.37;0.721;0.399333356795117;1.19537284981971;0.334065941731356;0.8689;2.45359758356127;0.0163051908955287;0.595547097459185
20180713;110;8635.95;0.05;0.96;0.02;0.323;0.321177087020488;0.134386745534677;2.38994616427862;0.9997;6.07637659837315;0.0290087515416348;0.62326155885777
20180713;115;9037.99;0.05;1.01;0.1;0.338;0.333037558415515;0.221876164855879;1.50100646742223;0.999;4.96244158448478;0.0287419321734259;0.617528866255519
20180713;117;9222.55;0.02;1.05;0.18;0.329;0.321181794023585;0.272258012972844;1.1796963862203;0.9981;4.11484525074475;0.0271640489168827;0.583627580405376
20180713;118;9455.6;0.08;1.01;0.25;0.359;0.349076689066289;0.302899077706629;1.15245213590378;0.9976;4.13471288904637;0.0287956150293694;0.618682258204539
20180713;119;10190.84;0.11;0.16;0.32;0.125;0.11184646880519;0.338373148332325;0.330541797883271;0.9961;3.37270030636165;0.00856065306373644;0.183928148913514
20180713;120;11051.81;0.13;0.19;0.42;0.148;0.130263552133306;0.380863389833688;0.342021721200845;0.9948;3.41085535897956;0.00919356835341712;0.197526520063859
20180713;121;11651.51;0.17;0.23;0.45;0.188;0.164288877391212;0.431285068159544;0.380928739527883;0.9934;3.59259433466481;0.0109981731436651;0.236298984748452
20180713;122;12468.23;0.17;0.9;0.48;0.389;0.357254956282415;0.4903669664238;0.728546131253175;0.9901;3.2065700724833;0.0223495127937393;0.480185855759604
20180713;123;13287.67;0.21;0.94;0.5;0.429;0.385349788081561;0.560517105458527;0.687489791709974;0.9854;2.98974054235886;0.0226204319270133;0.486006633020095
20180713;124;14115.2;0.27;0.37;0.53;0.3;0.238866156479562;0.645162424343143;0.370241891757348;0.9797;3.01151938524324;0.0131996430836303;0.283598213899763
20180713;125;14948.87;0.34;0.42;0.69;0.364;0.278651163923658;0.746901627662809;0.37307612355272;0.9721;3.05909806725241;0.0145394205622534;0.31238372708018
20180713;126;15795.93;0.44;0.54;1;0.47;0.351036889805607;0.86795736150114;0.404440247155097;0.9606;3.01936827904551;0.017334134428829;0.372428976478224
20180713;127;16663.88;0.55;1.45;1.35;0.82;0.6537146147949;1.01103216828348;0.646581419763101;0.943;2.91728745973859;0.0305989601185331;0.657427657840837
20180713;128;17548.78;0.71;0.79;1.7;0.734;0.500895906919245;1.1796314568302;0.424620676245113;0.923;3.02732588416565;0.022263587975746;0.478339735773013
20180713;129;18470.18;0.9;0.98;2.05;0.924;0.598518392722763;1.37603142352639;0.434959829034227;0.8918;3.00814794156412;0.0252755710190022;0.543053077334739
20180713;130;19429.92;1.14;1.21;2.4;1.161;0.709177012112642;1.6020076676818;0.442680160912627;0.8539;3.09255980757946;0.0284693951106263;0.611673327303309
20180720;75;5886.88;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00119248226564836;0.0181480894803359
20180720;80;6279.34;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00111795188666325;0.0170138302751563
20180720;85;6672.01;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.00105215669640783;0.0160125097234566
20180720;90;7064.34;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.000993723405158868;0.0151232280722615
20180720;95;7457.56;-1;0.03;-1;0.009;0.009;0;∞;1;0;0.000941326653758066;0.0143258150118806
20180720;100;7851.15;0.01;0.03;0.01;0.016;0.016;0;∞;1;0;0.00158957604936856;0.0241913605013278
20180720;105;8254.21;0.03;0.06;0.03;0.039;0.039;0;∞;1;0;0.00368539206053638;0.056087060421288
20180720;110;8680.19;0.04;0.08;0.13;0.052;0.0514014504740628;0.0470037293434949;1.09356111083081;0.9996;1.49637381484302;0.00461892324589312;0.0702942381484359
20180720;115;9128.56;0.1;0.14;0.21;0.112;0.106252276679621;0.167440964354644;0.634565603997458;0.998;2.87386166018931;0.00907884439715625;0.138168663169222
20180720;120;10956.07;0.26;0.28;0.46;0.266;0.236396097348246;0.420278578067644;0.562474771936146;0.9913;3.40274743123609;0.0168298446369576;0.256129198068698
20180720;121;11772.46;0.31;0.33;0.51;0.316;0.276202241589184;0.494823719558864;0.55818310778517;0.9885;3.46067464441878;0.0183001469904815;0.27850536201139
20180720;122;12602.29;0.36;0.38;0.6;0.366;0.312388135590912;0.579822409964288;0.538765198140845;0.9836;3.26901612250537;0.0193347991326109;0.294251474299423
20180720;123;13435.8;0.43;0.46;0.71;0.439;0.366956386069713;0.677261667767727;0.541823645916963;0.9786;3.36652401543397;0.0213032332376469;0.324208580835439
20180720;124;14288.05;0.51;0.55;0.87;0.522;0.425216042744313;0.78882855530291;0.539047477282348;0.9719;3.44426894148354;0.02321300060824;0.353272853006653
20180720;125;15142.76;0.61;0.64;1.03;0.619;0.489109977425879;0.916322242092299;0.533775079287677;0.9615;3.37376682010704;0.0251939397040028;0.383420269870293
20180720;126;16031.53;0.73;0.79;1.19;0.748;0.574821283542633;1.06197985297538;0.541273247258069;0.9515;3.57069518468798;0.0279674242672567;0.425629238067313
20180720;127;16929.87;0.87;0.92;1.43;0.885;0.65530526053426;1.22689085551324;0.534118628066657;0.9356;3.56668850102081;0.0301914960490968;0.459476830497192
20180720;128;17861.78;1.06;1.13;1.7;1.081;0.777940214314056;1.41273435772739;0.550662769726572;0.9169;3.64692882895239;0.0339716068143804;0.517005391206352
20180720;129;18816.21;1.27;1.34;2.02;1.291;0.891821148078494;1.62052856760421;0.55032732276788;0.8908;3.65548399195518;0.0369692140713367;0.562625226648155
20180720;130;19806.34;1.56;1.64;2.43;1.584;1.05846109750079;1.85152262151917;0.571670626758165;0.8558;3.6445138869571;0.0416836051512098;0.634372365894974
20180727;110;8742.19;0.11;1.24;0.52;0.449;0.443181694734505;0.204788793495597;2.16409153630779;0.9986;4.15593233249625;0.0395417763618629;0.465891413424852
20180727;115;9433.38;0.23;0.71;0.52;0.374;0.353028276298711;0.395675848512177;0.892215882334417;0.994;3.4952872835482;0.0291901795022563;0.343926227845133
20180727;120;11282.86;0.37;0.86;0.67;0.517;0.421820073589996;0.801423909797616;0.526338269214502;0.973;3.52518245962977;0.0291610156822115;0.343582612191218
20180727;121;12165.89;0.46;1.27;0.8;0.703;0.576795344005735;0.924813906967314;0.623688008647259;0.9645;3.5550607322328;0.0369804731363241;0.435713477840076
20180727;122;13048.99;0.38;1.38;0.92;0.68;0.51336034232697;1.06518726124133;0.481943749241537;0.9542;3.63842047321027;0.0306859815981954;0.361550154152932
20180727;123;13844.91;0.69;1.44;1.05;0.915;0.697108075456698;1.22376410470049;0.569642525695187;0.9426;3.79602655998785;0.0392739496938748;0.462735810506057
20180727;124;14714.96;0.62;1.6;1.22;0.914;0.630819812765386;1.40120794977193;0.450197140879811;0.927;3.87918064704951;0.0334380422343656;0.393975642777485
20180727;125;15591.11;0.86;1.63;1.39;1.091;0.727409358149149;1.59863433876973;0.45501922516499;0.9111;4.0898834853864;0.036391206229469;0.428770583074631
20180727;126;16494.56;1.09;1.39;1.56;1.18;0.718304759362798;1.81571073876008;0.395605282289247;0.8911;4.23962571751333;0.0339674239448025;0.400212954704488
20180727;127;17403.36;1.28;1.6;1.82;1.376;0.793255778786293;2.05197606149552;0.386581400081321;0.8656;4.33589450307818;0.0355528764246277;0.418893164970815
20180727;128;18351.23;1.5;1.74;2.14;1.572;0.840601079240363;2.3075209276597;0.364287521367316;0.8362;4.46519487643246;0.035728877127445;0.420966850670945
20180727;129;19314.87;1.6;2.09;2.47;1.747;0.836446151962609;2.58206555907569;0.32394458344506;0.8037;4.63858302617112;0.0337785342863211;0.397987408002542
20180727;130;20325.31;1.95;2.4;2.81;2.085;0.961328787888633;2.87440842491932;0.33444404753149;0.7687;4.85806836191685;0.0368917598084917;0.434668234517793
