Expiry;Strike;ReqMar;Bid;Ask;Last/Close;Premium;E[PnL];S[PnL];Sharpe;Prob(%);LGL;E[Return](%);Ann[Return](%)
20180706;69;5416.91;-1;0.02;-1;0.006;0.00554438978936437;0.0449253740487384;0.123413325025394;0.9998;2.27805105317817;0.000798356265048562;0.0291599625808987
20180706;70;5495.45;-1;0.02;-1;0.006;0.00534438978936437;0.0559410271762584;0.0955361397373938;0.9998;3.27805105317817;0.000758559178175437;0.0277063739828578
20180706;70.5;5538.1;0.01;0.04;0.01;0.019;0.0182270531299106;0.0619509286416983;0.29421759333632;0.9997;2.57648956696478;0.00256714422659942;0.0937649428765438
20180706;71;5575.78;0.01;0.03;0.01;0.016;0.0150324971096358;0.0685963917334328;0.2191441376108;0.9996;2.4187572259106;0.00210290717092782;0.0768086844181384
20180706;71.5;5616.66;0.01;0.04;0.01;0.019;0.0177703911539437;0.0761466382502417;0.233370659063696;0.9994;2.04934807676045;0.00246781986092733;0.0901371204203708
20180706;72;5741.31;0.02;0.04;0.02;0.026;0.024344662938634;0.0849216735129384;0.286671964076697;0.9988;1.3794475511383;0.00330740494628135;0.120802965662926
20180706;72.5;6137.33;0.03;0.03;0.03;0.03;0.027582430101753;0.0960304947304775;0.287225741980886;0.9983;1.42209994014532;0.00350548128899168;0.128037704080421
20180706;73;6532.09;0.05;0.04;0.05;0.047;0.0436875613899872;0.109856735942152;0.397677584495063;0.9979;1.57735171905372;0.0052167526602037;0.19054189091394
20180706;73.5;6929.8;0.07;0.04;0.07;0.061;0.0564340339372026;0.126338285170333;0.446689883918532;0.9971;1.57447105613702;0.00635206592845653;0.232009208036875
20180706;74;7325.88;0.08;0.05;0.08;0.071;0.064446173825949;0.14627664774499;0.440577322624325;0.9948;1.2603511873175;0.0068617033836536;0.250623716087948
20180706;74.5;7724.93;0.03;0.05;0.1;0.036;0.0262887776122817;0.171310909572384;0.153456529288778;0.9919;1.19891634416275;0.0026544248993298;0.0969528694480208
20180706;75;8123.87;0.04;0.06;0.12;0.046;0.0310817802440396;0.203273448484627;0.152906247597753;0.9871;1.1564511438729;0.00298426594595321;0.109000313675941
20180706;75.5;8526.03;0.05;0.07;0.14;0.056;0.0331559612117458;0.244229810857617;0.135757224293456;0.9817;1.24830813050569;0.00303325812191157;0.11078975290282
20180706;76;8928.07;0.05;0.08;0.18;0.059;0.0254824944045653;0.294809352206089;0.0864371981888536;0.9742;1.29912812385406;0.00222627573882832;0.0813147213607043
20180706;76.5;9333.54;0.07;0.09;0.23;0.076;0.0270482060984934;0.355639553729091;0.0760551120224871;0.9642;1.36736854473482;0.00226040717207242;0.0825613719599452
20180706;77;9741.37;0.09;0.11;0.28;0.096;0.025153146100745;0.427893783998529;0.0587836211727524;0.9479;1.35982445104136;0.00201403436668365;0.0735626052431204
20180706;77.5;10157.91;0.11;0.14;0.35;0.119;0.0164048389476644;0.513134382715224;0.0319698689081387;0.9248;1.36429735441936;0.0012596857403913;0.0460100216677924
20180706;78;10581.95;0.15;0.17;0.45;0.156;0.00821813753358209;0.613102238655949;0.0134041877772262;0.8934;1.38632141150486;0.000605762385589993;0.0221254711336745
20180706;78.5;11017.88;0.21;0.23;0.57;0.216;0.0044102694332294;0.728585418946258;0.00605319475046304;0.85;1.41059820377847;0.000312220695625559;0.0114038609077235
20180706;79;11471.88;0.27;0.3;0.73;0.279;-0.0200398029150368;0.85986893579525;-0.0233056481991677;0.7995;1.49147033872836;-0.00136255315377503;-0.049767253941633
20180706;79.5;11944.17;0.38;0.4;0.92;0.386;-0.0290046534231486;1.00541932818611;-0.0288483149368895;0.7351;1.56664648328859;-0.00189411484180616;-0.0691825445969702
20180713;70;5522.73;0.07;0.07;0.07;0.07;0.0661063510278426;0.107582485930964;0.614471309672685;0.998;1.94682448607868;0.00933649731232873;0.200597390784004
20180713;74.5;7769.49;0.08;0.11;0.18;0.089;0.0447890560046801;0.398337112387415;0.112440078044044;0.9739;1.69390590020383;0.00449649380894376;0.0966084919833358
20180713;75;8174.95;0.1;0.12;0.22;0.106;0.0470775530345602;0.456558222862699;0.10311401849117;0.967;1.78552869592242;0.00449183069828647;0.0965083036793608
20180713;75.5;8582.78;0.11;0.14;0.26;0.119;0.0410725996496581;0.523246189866875;0.078495745301285;0.9554;1.74725112893143;0.00373266327771809;0.0801973683639137
20180713;76;8997.32;0.14;0.17;0.31;0.149;0.0459206405474638;0.599371454349016;0.0766146605986412;0.9428;1.80208670371567;0.00398097429312526;0.0855324035625883
20180713;76.5;9414.38;0.17;0.2;0.38;0.179;0.0430654099959558;0.685678148027287;0.0628070328912422;0.9248;1.80764082452186;0.00356805438030391;0.0766606977885885
20180713;77;9843.6;0.22;0.25;0.46;0.229;0.0504467814117863;0.783027829197765;0.0644252726796064;0.9036;1.85221181108106;0.00399736778223346;0.0858846224976924
20180713;77.5;10276.54;0.26;0.3;0.56;0.272;0.0382668733510252;0.891840706629345;0.0429077446976516;0.8751;1.8713621028741;0.00290449521081995;0.0624039338677639
