Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,236.050003,239.600006,233.520004,238.580002,192.389038,238700
2010-01-05,239.050003,239.669998,236.759995,239.610001,193.219604,198800
2010-01-06,238.509995,238.649994,234.059998,234.669998,189.236008,278500
2010-01-07,234.660004,237.699997,234.000000,237.250000,191.316513,218300
2010-01-08,237.460007,239.410004,236.750000,238.919998,192.663193,224400
2010-01-11,239.949997,243.800003,239.949997,242.809998,195.800079,207900
2010-01-12,241.240005,243.190002,238.470001,238.470001,192.300293,208100
2010-01-13,234.220001,239.949997,234.220001,239.419998,193.066376,203400
2010-01-14,239.169998,240.289993,237.000000,237.899994,191.840668,163900
2010-01-15,237.850006,238.699997,236.160004,238.089996,191.993881,197000
2010-01-19,237.690002,240.860001,234.229996,240.009995,193.542114,187600
2010-01-20,239.000000,239.389999,235.330002,238.259995,192.130951,203000
2010-01-21,240.020004,240.020004,229.880005,230.240005,185.663712,354700
2010-01-22,229.490005,235.679993,222.610001,225.000000,181.438202,282600
2010-01-25,225.440002,228.289993,223.860001,226.460007,182.615524,195600
2010-01-26,224.550003,228.889999,223.500000,224.710007,181.204346,203100
2010-01-27,228.360001,231.130005,218.550003,226.770004,182.865509,560200
2010-01-28,227.000000,228.449997,215.740005,219.639999,177.115936,632900
2010-01-29,224.809998,224.809998,212.660004,213.820007,172.422775,483100
2010-02-01,215.250000,219.229996,215.020004,216.570007,174.640335,426400
2010-02-02,212.850006,216.380005,209.289993,216.000000,174.180618,716700
2010-02-03,215.809998,221.889999,215.050003,220.639999,177.922333,601700
2010-02-04,216.789993,217.619995,210.500000,211.250000,170.350327,540500
2010-02-05,210.440002,212.500000,200.559998,208.789993,168.366577,884900
2010-02-08,209.399994,209.960007,204.610001,204.660004,165.036179,356400
2010-02-09,206.869995,209.369995,205.149994,208.880005,168.439163,564800
2010-02-10,208.130005,212.910004,208.130005,211.130005,170.253540,619400
2010-02-11,210.770004,211.250000,206.110001,207.300003,167.165131,437100
2010-02-12,205.380005,207.160004,202.820007,207.160004,167.052139,396400
2010-02-16,208.300003,210.410004,207.000000,210.410004,169.672974,277100
2010-02-17,210.399994,213.679993,209.949997,213.089996,171.834061,372500
2010-02-18,214.399994,215.240005,211.259995,213.729996,172.350143,350900
2010-02-19,214.250000,216.190002,213.600006,215.509995,173.785522,294800
2010-02-22,217.520004,219.300003,216.039993,217.229996,175.172546,374900
2010-02-23,217.559998,219.210007,214.770004,214.869995,173.269470,276000
2010-02-24,217.250000,218.979996,216.500000,218.360001,176.083771,280500
2010-02-25,216.500000,219.119995,214.589996,218.300003,176.035385,359100
2010-02-26,217.500000,219.850006,217.500000,218.800003,176.438553,302500
2010-03-01,217.910004,219.809998,216.360001,218.000000,175.793442,389700
2010-03-02,219.889999,220.320007,216.410004,216.410004,174.511292,568200
2010-03-03,218.160004,219.220001,214.589996,216.080002,174.245193,500900
2010-03-04,217.910004,217.910004,212.279999,215.839996,174.860870,300600
2010-03-05,217.000000,219.880005,215.460007,219.830002,178.093353,557200
2010-03-08,219.830002,219.830002,216.440002,218.119995,176.707993,293900
2010-03-09,216.990005,218.880005,215.860001,216.970001,175.776352,323100
2010-03-10,217.800003,218.880005,215.389999,215.699997,174.747482,502000
2010-03-11,214.289993,215.460007,209.649994,210.410004,170.461853,730900
2010-03-12,211.979996,213.740005,208.350006,210.000000,170.129608,601600
2010-03-15,209.020004,213.210007,208.649994,212.169998,171.887634,384800
2010-03-16,213.509995,213.509995,210.589996,212.350006,172.033524,290400
2010-03-17,220.000000,226.649994,219.490005,222.800003,180.499481,895300
2010-03-18,223.009995,227.000000,222.270004,225.660004,182.816483,406000
2010-03-19,224.350006,225.990005,221.160004,224.350006,181.755203,514700
2010-03-22,223.000000,225.800003,222.009995,225.699997,182.848892,296900
2010-03-23,225.679993,227.770004,224.800003,227.000000,183.902069,301200
2010-03-24,226.009995,226.919998,223.750000,225.000000,182.281784,327500
2010-03-25,225.009995,227.699997,224.350006,225.410004,182.613998,486500
2010-03-26,225.929993,225.940002,218.080002,219.270004,177.639694,538100
2010-03-29,219.000000,220.429993,215.429993,220.050003,178.271606,314600
2010-03-30,220.009995,220.119995,217.720001,219.130005,177.526291,222800
2010-03-31,218.770004,221.779999,216.710007,217.759995,176.416351,324800
2010-04-01,211.440002,211.979996,206.949997,211.050003,170.980347,1632300
2010-04-05,210.690002,210.690002,205.570007,206.000000,166.889084,645300
2010-04-06,203.619995,205.089996,198.059998,198.550003,160.853531,1399900
2010-04-07,198.750000,201.410004,197.860001,199.020004,161.234329,1117600
2010-04-08,197.559998,204.589996,197.399994,204.559998,165.722473,1329100
2010-04-09,203.979996,208.899994,203.979996,206.110001,166.978241,774700
2010-04-12,205.369995,207.000000,204.649994,205.800003,166.727142,561300
2010-04-13,205.690002,207.720001,204.539993,206.899994,167.618210,335900
2010-04-14,208.199997,211.429993,207.509995,211.380005,171.247681,586400
2010-04-15,212.000000,212.270004,206.619995,206.699997,167.456177,579800
2010-04-16,206.100006,206.679993,199.229996,200.750000,162.635864,821200
2010-04-19,199.520004,203.630005,199.419998,202.610001,164.142731,454800
2010-04-20,204.850006,204.850006,201.770004,203.179993,164.604492,319500
2010-04-21,202.399994,205.350006,199.279999,201.199997,163.000443,386700
2010-04-22,202.000000,208.330002,200.660004,207.789993,168.339264,698700
2010-04-23,206.910004,211.889999,206.910004,211.020004,170.956024,591600
2010-04-26,204.300003,204.300003,192.399994,192.949997,156.316772,1816800
2010-04-27,192.000000,193.779999,185.009995,185.500000,150.281204,1042000
2010-04-28,187.789993,190.990005,181.179993,184.440002,149.422455,1106400
2010-04-29,186.850006,191.169998,185.520004,190.389999,154.242767,699500
2010-04-30,189.429993,189.919998,182.479996,184.000000,149.065964,846600
2010-05-03,185.610001,187.410004,184.259995,185.759995,150.491806,421000
2010-05-04,184.039993,184.500000,176.960007,177.679993,143.945908,668200
2010-05-05,174.399994,178.440002,173.490005,174.800003,141.612732,766600
2010-05-06,173.800003,179.419998,167.240005,171.619995,139.036423,1279100
2010-05-07,171.600006,175.990005,169.529999,172.119995,139.441513,1232400
2010-05-10,176.520004,181.110001,174.610001,176.570007,143.046631,597500
2010-05-11,174.619995,174.619995,169.759995,170.990005,138.526093,940400
2010-05-12,171.529999,174.179993,171.009995,173.970001,140.940277,463900
2010-05-13,174.240005,175.259995,172.050003,172.369995,139.644028,314000
2010-05-14,171.600006,172.729996,168.649994,169.720001,137.497192,517100
2010-05-17,169.539993,172.699997,167.139999,171.000000,138.534164,552400
2010-05-18,172.259995,175.809998,167.520004,168.490005,136.500687,582900
2010-05-19,167.919998,169.649994,164.000000,167.949997,136.063232,535600
2010-05-20,165.770004,165.770004,160.100006,160.100006,129.703629,657800
2010-05-21,159.179993,167.050003,158.000000,166.470001,134.864197,1070800
