Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,46.349998,47.110001,46.259998,46.939999,39.375153,1148600
2010-01-05,47.250000,48.180000,46.959999,48.049999,40.306267,1592300
2010-01-06,47.849998,48.619999,47.779999,48.490002,40.675343,1745900
2010-01-07,48.259998,51.049999,48.250000,50.950001,42.738892,3558600
2010-01-08,50.349998,54.419998,50.099998,53.669998,45.020531,4848000
2010-01-11,53.610001,55.410000,53.500000,55.000000,46.136204,3159800
2010-01-12,53.660000,53.950001,52.840000,53.349998,44.752106,3841800
2010-01-13,52.180000,53.250000,51.360001,52.779999,44.273960,2413300
2010-01-14,51.790001,53.209999,51.270000,52.889999,44.366226,1802900
2010-01-15,51.980000,52.480000,51.380001,51.730000,43.393181,2039900
2010-01-19,50.840000,52.939999,50.590000,52.939999,44.408173,1689400
2010-01-20,52.410000,52.410000,50.619999,51.470001,43.175083,2002000
2010-01-21,51.310001,51.639999,48.980000,49.470001,41.497414,2264300
2010-01-22,49.240002,49.240002,47.740002,47.770000,40.071377,2049400
2010-01-25,48.700001,49.189999,47.279999,47.630001,39.953945,1626500
2010-01-26,47.430000,48.400002,46.820000,47.290001,39.668739,2935300
2010-01-27,47.060001,47.209999,44.840000,46.410000,38.930553,3368300
2010-01-28,46.849998,46.939999,45.130001,45.549999,38.209141,1538100
2010-01-29,46.080002,46.770000,44.980000,45.160000,37.882008,2110900
2010-02-01,45.730000,46.980000,45.549999,46.939999,39.375153,2299600
2010-02-02,50.150002,52.259998,49.119999,51.090000,42.856327,8399900
2010-02-03,51.110001,53.049999,51.020000,51.840000,43.485458,3425700
2010-02-04,51.009998,51.209999,49.820000,50.099998,42.025871,2765300
2010-02-05,49.930000,50.570000,48.889999,50.480000,42.344631,3215000
2010-02-08,50.259998,51.520000,49.930000,50.110001,42.034264,2097900
2010-02-09,51.169998,52.889999,51.000000,52.240002,43.820988,2641200
2010-02-10,52.009998,52.480000,51.459999,51.980000,43.602890,2198500
2010-02-11,51.889999,55.840000,51.889999,54.860001,46.018757,4053400
2010-02-12,53.750000,56.439999,53.080002,54.950001,46.094269,4198100
2010-02-16,56.139999,57.450001,55.950001,57.110001,47.906155,3499800
2010-02-17,57.500000,57.500000,55.959999,56.459999,47.506466,2400800
2010-02-18,56.119999,57.599998,55.840000,57.490002,48.373135,1744900
2010-02-19,57.110001,58.630001,56.889999,57.930000,48.743355,1946700
2010-02-22,58.470001,58.470001,56.959999,57.180000,48.112286,1993600
2010-02-23,57.029999,57.639999,55.270000,55.639999,46.816502,2451500
2010-02-24,56.180000,56.790001,55.520000,55.950001,47.077347,2428600
2010-02-25,54.480000,56.209999,53.860001,56.029999,47.144650,2192600
2010-02-26,55.990002,57.009998,55.169998,56.779999,47.775719,1675000
2010-03-01,57.200001,59.029999,57.200001,58.959999,49.610012,2341300
2010-03-02,59.490002,59.520000,58.730000,59.240002,49.845615,3112900
2010-03-03,59.580002,60.470001,58.880001,59.180000,49.795132,2724700
2010-03-04,59.349998,60.360001,59.099998,59.730000,50.257904,2610800
2010-03-05,60.029999,60.990002,59.750000,60.700001,51.074085,2550300
2010-03-08,60.709999,60.930000,59.720001,60.020000,50.501915,2069200
2010-03-09,59.750000,61.470001,59.500000,61.130001,51.435894,2504200
2010-03-10,61.369999,61.369999,59.540001,60.230000,50.678616,4113000
2010-03-11,59.880001,59.930000,58.560001,59.439999,50.013897,2389100
2010-03-12,60.240002,60.500000,59.650002,60.369999,50.796410,2220000
2010-03-15,59.889999,60.240002,58.939999,60.220001,50.670189,2589700
2010-03-16,60.410000,61.020000,58.990002,60.700001,51.074085,3562000
2010-03-17,61.650002,61.650002,59.959999,60.169998,50.628128,3462400
2010-03-18,59.889999,60.450001,58.860001,59.330002,49.921352,3887000
2010-03-19,58.160000,60.180000,58.060001,58.160000,48.936871,3043300
2010-03-22,57.900002,60.270000,57.650002,59.950001,50.443024,1820600
2010-03-23,60.090000,62.689999,60.090000,62.349998,52.462418,3014900
2010-03-24,62.320000,63.200001,61.759998,61.810001,52.008045,3131500
2010-03-25,62.540001,63.439999,61.520000,61.560001,51.797703,2615600
2010-03-26,61.830002,63.400002,61.630001,62.360001,52.470837,1880200
2010-03-29,62.900002,63.180000,62.430000,63.080002,53.076664,2177000
2010-03-30,63.220001,63.230000,61.580002,62.150002,52.294144,2284200
2010-03-31,61.930000,62.490002,61.610001,61.950001,52.125870,2397000
2010-04-01,62.470001,63.630001,61.959999,62.340000,52.453999,2262900
2010-04-05,62.820000,65.980003,62.820000,65.629997,55.222271,3273700
2010-04-06,65.370003,65.459999,64.900002,65.120003,54.793148,2415400
2010-04-07,64.739998,65.349998,64.209999,64.709999,54.448162,2630300
2010-04-08,64.360001,65.589996,63.750000,65.029999,54.717415,3117600
2010-04-09,66.730003,66.730003,65.610001,66.070000,55.592499,3111300
2010-04-12,66.449997,66.449997,64.919998,65.129997,54.801567,2838400
2010-04-13,65.160004,66.120003,65.029999,66.059998,55.584080,1656600
2010-04-14,66.160004,67.790001,66.099998,67.720001,56.980831,2047600
2010-04-15,67.540001,67.980003,66.440002,67.010002,56.383430,2128500
2010-04-16,66.699997,67.169998,65.000000,65.910004,55.457870,2088200
2010-04-19,65.769997,66.629997,64.559998,65.930000,55.474709,1873700
2010-04-20,66.910004,69.349998,66.809998,67.040001,56.408680,3173300
2010-04-21,67.440002,67.919998,65.949997,66.739998,56.156242,2356100
2010-04-22,65.980003,68.320000,64.779999,68.059998,57.266926,1881100
2010-04-23,68.260002,69.839996,67.570000,69.760002,58.697327,2334100
2010-04-26,70.239998,71.500000,70.010002,70.309998,59.160118,2942100
2010-04-27,74.449997,76.349998,71.989998,72.400002,60.918686,9373000
2010-04-28,73.199997,74.949997,73.070000,73.809998,62.105076,4623600
2010-04-29,74.709999,76.949997,74.220001,75.790001,63.771072,4009900
2010-04-30,75.750000,76.559998,72.050003,72.230003,60.775631,3565500
2010-05-03,72.669998,74.250000,72.599998,73.250000,61.633900,2891000
2010-05-04,71.959999,72.010002,69.330002,70.650002,59.446194,5014200
2010-05-05,68.820000,71.800003,67.300003,70.410004,59.244255,4479100
2010-05-06,69.949997,72.000000,58.910000,67.239998,56.576942,8957800
2010-05-07,64.849998,68.489998,64.570000,65.309998,54.953026,6749900
2010-05-10,69.720001,72.379997,69.599998,72.129997,60.691494,4854300
2010-05-11,70.769997,72.949997,70.599998,71.760002,60.380173,2946800
2010-05-12,72.739998,75.449997,72.519997,75.089996,63.182098,2981300
2010-05-13,75.180000,76.230003,73.650002,74.040001,62.298603,2855100
2010-05-14,73.290001,73.309998,70.680000,71.550003,60.203457,4568600
2010-05-17,71.750000,72.440002,68.709999,71.269997,59.967854,4033200
2010-05-18,73.040001,73.449997,69.510002,69.949997,58.857193,2625300
2010-05-19,68.040001,69.769997,66.510002,68.470001,57.756382,3783300
2010-05-20,66.029999,66.080002,62.000000,63.700001,53.732765,7800300
2010-05-21,62.000000,66.199997,60.360001,65.870003,55.563232,4074500
2010-05-24,66.000000,66.809998,64.070000,64.230003,54.179848,2162600
2010-05-25,61.450001,65.110001,60.500000,64.940002,54.778744,4194500
2010-05-26,66.419998,68.620003,65.540001,65.980003,55.656017,3562400
2010-05-27,68.099998,69.620003,67.730003,69.589996,58.701149,2377400
2010-05-28,69.779999,70.199997,67.019997,67.980003,57.343071,3170300
2010-06-01,67.080002,69.099998,66.050003,66.089996,55.748798,1911800
2010-06-02,67.169998,69.889999,66.160004,69.779999,58.861420,2779600
2010-06-03,71.220001,72.000000,69.139999,70.540001,59.502514,3427800
2010-06-04,69.000000,70.000000,65.500000,66.349998,55.968105,4142600
2010-06-07,66.519997,66.519997,62.860001,62.939999,53.091679,3060900
2010-06-08,63.500000,65.500000,62.799999,65.190002,54.989620,2923400
2010-06-09,65.949997,67.510002,65.400002,65.889999,55.580097,3417100
2010-06-10,67.570000,70.839996,67.570000,70.480003,59.451885,3982600
2010-06-11,69.040001,72.430000,68.919998,72.220001,60.919636,2585100
2010-06-14,73.690002,74.339996,72.080002,72.410004,61.079903,2619200
2010-06-15,73.000000,75.459999,72.980003,75.370003,63.576744,2652100
2010-06-16,74.620003,75.040001,74.040001,74.510002,62.851326,3103900
2010-06-17,75.150002,75.199997,72.959999,73.809998,62.260822,2259000
2010-06-18,74.059998,74.949997,73.349998,74.300003,62.674156,2796500
2010-06-21,76.000000,77.099998,74.330002,74.970001,63.239311,3687300
2010-06-22,75.010002,75.570000,72.010002,72.209999,60.911182,3050500
2010-06-23,72.300003,73.849998,70.610001,73.150002,61.704102,2393800
2010-06-24,72.089996,72.849998,70.750000,71.360001,60.194191,2625000
2010-06-25,71.849998,72.690002,70.540001,72.589996,61.231720,5343100
2010-06-28,72.570000,72.760002,70.400002,70.459999,59.435017,3046100
2010-06-29,68.980003,69.019997,65.500000,66.239998,55.875324,4498100
2010-06-30,66.190002,67.360001,65.019997,65.129997,54.939011,3268500
2010-07-01,64.870003,66.639999,63.240002,64.820000,54.677517,5136200
2010-07-02,65.010002,65.669998,63.709999,64.239998,54.188271,3766900
2010-07-06,65.860001,66.300003,63.040001,63.570000,53.623100,3913900
2010-07-07,63.689999,67.589996,63.580002,67.410004,56.862251,4362500
2010-07-08,68.279999,69.199997,67.190002,68.940002,58.152859,3937700
2010-07-09,69.000000,71.639999,68.370003,71.529999,60.337578,3400900
2010-07-12,71.260002,71.699997,69.870003,70.660004,59.603729,3155700
2010-07-13,72.349998,74.239998,71.959999,73.730003,62.193363,4266500
2010-07-14,73.480003,75.379997,72.900002,74.639999,62.960957,4053000
2010-07-15,74.940002,74.940002,72.050003,72.699997,61.324528,4563000
2010-07-16,71.779999,72.540001,69.360001,69.500000,58.625225,3625200
2010-07-19,70.430000,71.010002,68.519997,70.660004,59.603729,1924400
2010-07-20,68.989998,72.739998,68.820000,72.540001,61.189541,2450500
2010-07-21,73.500000,75.239998,72.769997,73.150002,61.704102,3241200
