Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,33.910000,33.980000,33.709999,33.869999,26.467556,1574200
2010-01-05,33.919998,34.169998,33.599998,33.930000,26.514442,2497100
2010-01-06,33.840000,33.919998,33.360001,33.549999,26.217497,2829500
2010-01-07,33.450001,33.450001,32.970001,33.040001,25.818958,3232600
2010-01-08,33.040001,33.119999,32.680000,32.830002,25.654852,2203200
2010-01-11,32.830002,33.000000,32.599998,32.930000,25.732994,2827700
2010-01-12,32.869999,33.580002,32.770000,33.320000,26.037756,2601600
2010-01-13,33.459999,33.900002,33.330002,33.820000,26.428488,2485500
2010-01-14,33.779999,33.779999,33.240002,33.650002,26.295637,1976300
2010-01-15,33.669998,33.730000,32.799999,32.990002,25.779890,3794500
2010-01-19,33.029999,33.230000,32.959999,33.049999,25.826777,1858400
2010-01-20,32.860001,32.900002,32.500000,32.869999,25.686106,1605400
2010-01-21,32.830002,33.029999,32.400002,32.619999,25.490744,2414600
2010-01-22,32.599998,33.029999,32.389999,32.779999,25.615786,2738400
2010-01-25,33.099998,33.099998,32.580002,32.770000,25.607964,1691600
2010-01-26,32.610001,32.869999,32.380001,32.759998,25.600143,1866100
2010-01-27,32.869999,33.169998,32.610001,33.049999,25.826777,2346000
2010-01-28,33.169998,33.590000,33.090000,33.520000,26.194050,3139500
2010-01-29,33.650002,33.709999,33.049999,33.110001,25.873659,2490600
2010-02-01,33.279999,33.459999,33.139999,33.349998,26.061207,1188600
2010-02-02,33.430000,33.660000,33.250000,33.660000,26.303453,1581200
2010-02-03,33.580002,33.630001,33.279999,33.320000,26.037756,1809300
2010-02-04,33.520000,33.630001,32.439999,32.439999,25.350080,3430200
2010-02-05,32.330002,32.509998,32.180000,32.470001,25.373531,3018800
2010-02-08,32.560001,33.090000,32.490002,32.689999,25.545444,1956800
2010-02-09,32.939999,33.619999,32.869999,33.320000,26.037756,2823600
2010-02-10,33.259998,33.480000,33.049999,33.320000,26.037756,1662300
2010-02-11,33.509998,33.599998,33.040001,33.560001,26.225311,1294900
2010-02-12,33.320000,33.400002,32.840000,33.040001,25.818958,2936000
