Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,81.760002,82.129997,79.510002,80.129997,60.466415,1579100
2010-01-05,79.870003,80.93,79.230003,80.790001,60.964481,1131000
2010-01-06,80.730003,81.419998,80.019997,80.300003,60.594738,832400
2010-01-07,79.879997,80.760002,78.93,80.190002,60.511723,1284100
2010-01-08,79.639999,80,78.199997,78.730003,59.409996,1281100
2010-01-11,79.239998,80.120003,78.290001,79.269997,59.817474,1356700
2010-01-12,78.459999,79.150002,77.510002,77.980003,58.844051,1694800
2010-01-13,78.089996,79.650002,77.75,79.519997,60.00613,1346400
2010-01-14,79.349998,79.550003,78.550003,79.120003,59.704288,785100
2010-01-15,78.889999,79.25,78.25,78.970001,59.591103,1438600
2010-01-19,78.900002,80.720001,78.849998,80.639999,60.851284,1330800
2010-01-20,80.209999,80.360001,79.110001,79.75,60.179699,1262300
2010-01-21,79.93,80.25,78.43,78.739998,59.417545,1944300
2010-01-22,78.720001,79.43,77.5,77.669998,58.610104,2070100
2010-01-25,78.57,79.290001,77.07,78.760002,59.432632,1502600
2010-01-26,78.139999,79.559998,78.050003,78.330002,59.108147,1222900
2010-01-27,78.529999,80,77.519997,79.959999,60.338161,1669900
2010-01-28,80.269997,80.610001,77.580002,78.550003,59.274158,1664300
2010-01-29,78.769997,80.339996,78.540001,79.18,59.749569,1834300
2010-02-01,79.510002,81.059998,79.449997,80.470001,60.722984,1303200
2010-02-02,80.699997,81.400002,79.910004,81.139999,61.2286,1392000
2010-02-03,80.709999,80.769997,79.739998,79.809998,60.22496,1056900
2010-02-04,79.279999,79.82,76.57,76.68,57.863083,2768200
2010-02-05,76.879997,78.07,75.779999,77.629997,58.579948,2080000
2010-02-08,77.559998,78.110001,75.870003,76.019997,57.365025,1531600
2010-02-09,76.769997,76.980003,75.339996,75.809998,57.206547,1472800
2010-02-10,75.709999,76.900002,74.739998,76.050003,57.387657,1105000
2010-02-11,75.940002,76.800003,75.260002,76.739998,57.90831,1133900
2010-02-12,75.790001,76.660004,75.379997,76.550003,57.764965,1325000
2010-02-16,77.080002,78.239998,76.809998,78.080002,58.91951,1662100
2010-02-17,78.519997,79.110001,78.190002,78.75,59.425091,1244300
2010-02-18,78.5,80.279999,78.489998,79.949997,60.330616,1244600
2010-02-19,80.150002,82.129997,79.919998,81.699997,61.651173,1650700
2010-02-22,81.900002,82.220001,80.980003,81.339996,61.379517,1215600
2010-02-23,81.139999,81.830002,80.18,80.330002,60.617359,1645700
2010-02-24,80.730003,81.580002,80.309998,81.529999,61.522877,1282600
2010-02-25,80.769997,81.989998,80.339996,81.910004,61.809662,1091800
2010-02-26,82.089996,83.230003,81.650002,82.190002,62.020901,1707600
2010-03-01,83.43,85.199997,83.059998,84.620003,63.854614,1846800
2010-03-02,85.120003,86.459999,84.900002,85.139999,64.247009,1310000
2010-03-03,85,85.639999,84.75,84.790001,63.982903,1071400
2010-03-04,84.730003,85.980003,84.730003,85.839996,64.775215,1099300
2010-03-05,86.379997,87.540001,86.169998,87.419998,65.967514,1430700
2010-03-08,87.550003,88.239998,87.169998,87.580002,66.088242,1161100
2010-03-09,87.389999,88.290001,87,87.690002,66.171257,1242500
2010-03-10,87.75,88.089996,87.019997,87.809998,66.261803,1106400
2010-03-11,87.470001,88.160004,86.639999,88.150002,67.014435,1339200
2010-03-12,88.510002,89.290001,88.25,88.989998,67.653023,1129300
2010-03-15,89.050003,89.339996,88.07,88.900002,67.58461,698600
2010-03-16,89.099998,90.970001,88.800003,90.75,68.991043,1122100
2010-03-17,90.900002,92.010002,90.529999,91.739998,69.743668,1175100
2010-03-18,91.260002,91.989998,91.080002,91.82,69.804474,890000
2010-03-19,90.910004,92.230003,90.839996,90.910004,69.112679,1352200
2010-03-22,90.5,92.089996,90.389999,91.790001,69.781685,1188800
2010-03-23,91.370003,92.300003,90.599998,92.129997,70.040154,1072700
2010-03-24,92.099998,93.510002,91.839996,92.93,70.648323,1541000
2010-03-25,93.25,94.199997,91.949997,92.099998,70.017357,1660400
2010-03-26,92.300003,92.690002,91.440002,92.139999,70.047745,1428800
2010-03-29,92.5,92.830002,92,92.639999,70.427879,1015800
2010-03-30,92.75,93.540001,92.550003,93.160004,70.823196,1271600
2010-03-31,92.650002,93.18,91.919998,91.989998,69.933754,1493800
2010-04-01,92.449997,92.660004,91.75,92.400002,70.245415,1014500
2010-04-05,92.809998,94.150002,92.559998,93.779999,71.294533,1050700
2010-04-06,93.199997,95.169998,92.980003,94.699997,71.993942,1199400
2010-04-07,94.419998,94.940002,92.940002,93.18,70.838394,1316700
2010-04-08,93.080002,93.470001,92.629997,93.050003,70.739571,974700
2010-04-09,93.260002,94.739998,92.970001,94.629997,71.94075,951900
2010-04-12,94.440002,94.769997,93.75,93.93,71.408585,886100
2010-04-13,94.010002,95.470001,93.769997,95.18,72.358856,1177900
2010-04-14,95.339996,95.540001,94.5,95.169998,72.351257,1055300
2010-04-15,94.790001,95.309998,93.209999,93.269997,70.906799,1160300
2010-04-16,93.269997,94.209999,91.779999,91.860001,69.834908,1690500
2010-04-19,91.25,93.150002,91.230003,92.459999,70.291039,1123200
2010-04-20,92.919998,93.739998,92.199997,93.730003,71.256516,932500
2010-04-21,93.349998,94.980003,93.269997,94.379997,71.750664,1235600
2010-04-22,93.629997,96.18,93.110001,95.910004,72.913826,1134500
2010-04-23,95.779999,96.660004,95.110001,96.139999,73.088684,1088200
2010-04-26,96.040001,97.900002,95.760002,97.209999,73.902138,1394900
2010-04-27,96.5,96.879997,94.769997,94.860001,72.115578,1501600
2010-04-28,95.129997,96.050003,94.779999,95.120003,72.313225,1272900
2010-04-29,96.169998,99.269997,95.720001,99.220001,75.430191,1469200
2010-04-30,98.75,99.660004,96.760002,96.910004,73.674057,1639500
2010-05-03,97.290001,100.580002,97.290001,100.110001,76.106812,1581100
2010-05-04,99.220001,99.610001,97.220001,98.269997,74.707985,2011900
2010-05-05,97.529999,98.690002,96.360001,96.980003,73.72731,1228600
2010-05-06,96.519997,97.480003,89.040001,94.25,71.651848,2581900
2010-05-07,93.910004,94.889999,89.059998,92.959999,70.671143,2680100
2010-05-10,95.480003,98.489998,94.860001,98.410004,74.8144,2071900
2010-05-11,97.260002,98.980003,96.970001,97.860001,74.396271,2068600
2010-05-12,98.559998,99.269997,97.620003,98.599998,74.958855,1782100
2010-05-13,98.139999,98.959999,97.18,97.510002,74.130188,1519900
2010-05-14,96.910004,96.989998,92.800003,93.839996,71.340157,2159000
2010-05-17,94.389999,95.389999,91.959999,94.080002,71.522614,1401400
2010-05-18,94.900002,94.980003,90.910004,91.18,69.317932,1862200
2010-05-19,90.779999,92.519997,89.209999,90.800003,69.029037,1911200
2010-05-20,89.160004,89.650002,86.860001,87.029999,66.162971,2254800
2010-05-21,85.940002,90.660004,85.599998,90.470001,68.778183,2707800
2010-05-24,90.540001,91.089996,88.870003,88.900002,67.58461,1709200
2010-05-25,87.080002,90.040001,85.779999,89.919998,68.360039,2146600
2010-05-26,90.139999,91.739998,89.400002,90.980003,69.165886,3905400
2010-05-27,92.639999,94.260002,91.32,94.120003,71.553032,2117200
2010-05-28,93.830002,94.150002,92.470001,92.690002,70.465897,1506500
2010-06-01,91.529999,93.110001,89.989998,91.190002,69.325523,1442000
2010-06-02,91.620003,92.93,90.290001,92.870003,70.602722,1897300
2010-06-03,93.309998,93.309998,91.480003,91.889999,69.857697,993600
2010-06-04,89.57,91.309998,87.309998,87.720001,66.687538,1854800
2010-06-07,88.110001,89.379997,86.519997,86.599998,65.836082,1866500
2010-06-08,86.690002,88.540001,85.040001,88.209999,67.060028,1980300
2010-06-09,88.849998,90.360001,87.449997,87.849998,66.786362,1547200
2010-06-10,88.989998,91.089996,88.309998,91,69.181107,1596800
2010-06-11,89.339996,91.419998,88.449997,91.269997,70.00174,1325700
2010-06-14,91.720001,92.489998,90.900002,91.510002,70.185837,1857000
2010-06-15,92.029999,93.720001,91.400002,93.629997,71.811829,1645600
2010-06-16,93.379997,94.370003,92.690002,93.699997,71.865479,1381600
2010-06-17,93.589996,94.169998,93.150002,93.839996,71.972893,1418300
2010-06-18,94.290001,94.290001,93.230003,93.82,71.957542,1702000
2010-06-21,94.870003,95,92.449997,92.830002,71.198242,1005800
2010-06-22,92.860001,93.690002,91.660004,91.839996,70.438927,2148000
2010-06-23,91.849998,94.010002,91.519997,93.18,71.466682,2010300
2010-06-24,92.57,93.059998,91.050003,91.169998,69.925064,1291900
